Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	2.41636	-0.551863	3.4559	261	0	26	261	52	78	104	131	157	183	209	235	0.280632	2857	0	26	261	52	78	104	131	157	183	209	235	1.4384	1.7168	1.7624	1.6048	1.6064	1.4984	1.4968	1.3872	1.5216	1.7496	1.5056	1.57164	2	0.242	0.246687	0.250824	0.225333	0.213624	0.22304	0.220907	0.214667	0.232	0.237635	0.22432	0.230094	0.248517	0.064525	0.0114287	0.017926	0.0301863	0.0834994	0.0948118	0.0884616	0.0869458	0.091295	0.0782886	0.082276	0.0536028	0.0718068	0.0583756	0.0808447	0.025383	0.0833354	0.0957088	0.0832005	0.0856307	0.0419643	0.0266225	0.080043	0.0863308	0.0718901	0.0823423	0.0496868	0.0237694	0.0467572	0.052777	0.073941	0.0645791	0.0669474	0.0524175	0.0364766	0.0313308	0.0303334	0.069644	0.0902732	0.0760078	0.0747979	0.0467885	0.0321911	0.0323871	0.0230125	0.0108124	0.0742946	0.0865947	0.0813876	0.0770046	0.0642667	0.0487998	0.0475756	0.0421873	0.00550174	0.0144446	0.0690507	0.0821583	0.068917	0.085292	0.0365806	0.0493156	-0.00273224	0.0423529	0.0902753	0.0420616	0.0101583	0.00259595	0.0106	-0.0209094	-0.0204855	-0.0709315	-0.025	0.0158528	-0.0319264	-0.0052811	0.00257202	-0.0337405	-0.0342412	-0.0816222	-0.034937	0.0107418	-0.0380531	0.0093801	-0.0289331	-0.0274081	-0.0706245	-0.0241546	0.0174851	-0.0254237	-0.0336595	-0.026987	-0.0741913	-0.0357357	0.00875612	-0.0425107	0.00268817	-0.0376529	0.000330033	0.0465439	-0.00379572	-0.0473705	-0.00296443	0.0441316	-0.00515464	0.0440075	0.0846677	0.0345156	0.0463282	-0.00702427	-0.0445894
1	3.58347	-0.394314	3.5222	3832	0	383	3832	766	1150	1533	1916	2299	2682	3066	3449	0.403353	3328	0	383	3832	766	1150	1533	1916	2299	2682	3066	3449	1.536	1.8904	1.8944	1.8296	1.832	1.6536	1.6376	1.5288	1.6512	1.9344	1.6504	1.73076	2	0.292267	0.29678	0.29601	0.289139	0.295297	0.2936	0.28368	0.29	0.292107	0.294961	0.291787	0.29233	0.294584	0.00354459	0.00839115	0.00274282	-0.000330873	0.00699962	0.00465994	-0.00204875	0.00611979	-0.00125496	0.00160956	0.00527114	0.00341432	0.0052187	0.00136183	0.00730814	-0.00466279	0.0221402	0.00593918	0.00573234	0.00878886	-0.00107735	0.00178297	0.00873908	0.00751643	-0.000440395	0.00802456	-0.0040553	-0.0019499	0.0128477	0.0206294	0.00916529	0.00582618	0.0125483	0.000457562	0.00914286	0.0210669	0.00968137	0.00932034	0.00680859	0.000486963	0.00436564	0.00251579	0.00514722	0.00524991	-0.0018254	0.00363597	0.0152757	-0.00154675	-0.000387384	0.00445852	0.00215751	-0.00191693	0.00903107	0.00463718	0.0138418	0.000171888	0.0745226	0.0868836	0.0816376	0.0666179	0.0406233	0.042562	0.0187266	0.0434783	0.0898462	0.0362196	0.00980159	0.00330721	-0.00863514	-0.0328603	-0.0275811	-0.0680772	-0.0357576	0.0111528	-0.0320415	-0.00626881	-0.0176029	-0.0426263	-0.0373563	-0.0791105	-0.0470556	0.00060513	-0.0428982	-0.00983491	-0.0341051	-0.0328835	-0.0657448	-0.0405004	0.00717469	-0.0335063	-0.020466	-0.0192882	-0.0519622	-0.0260678	0.0186065	-0.0207798	0.00395062	-0.0299946	-0.0031816	0.0436902	-0.00294551	-0.0355351	-0.0047053	0.0363051	-0.0062282	0.0320088	0.0783591	0.036867	0.0454186	-0.00352467	-0.0424648
2	1.89737	-1.56159	2.43658	79	0	8	79	16	24	32	40	47	55	63	71	0.0274416	273	0	8	79	16	24	32	40	47	55	63	71	1.068	1.2288	1.2368	1.1056	1.1672	1.0752	1.0512	1.0496	1.1248	1.2848	1.088	1.13455	2	0.0372	0.09718	0.098949	0.0445939	0.0723636	0.0354667	0.02368	0.0270667	0.0588267	0.117122	0.0396267	0.0592796	0.17082	0.573833	0.455981	0.358045	0.501421	0.694069	0.65296	0.619626	0.599264	0.622948	0.590437	0.698477	0.666198	0.580266	0.534946	0.723558	0.548849	0.71253	0.581875	0.535555	0.73231	0.62312	0.674462	0.598333	0.498957	0.441586	0.667016	0.560293	0.635483	0.680683	0.59085	0.573052	0.526445	0.692133	0.616186	0.640041	0.659501	0.477628	0.446846	0.559828	0.528758	0.584343	0.5627	0.495619	0.48925	0.357595	0.340059	0.599163	0.542101	0.489988	0.684549	0.598103	0.643243	0.671494	0.497707	0.503096	0.36583	0.0422535	0.128136	0.0555556	-0.025	0.05	-0.09375	-0.0681818	0.037037	0.206294	0.136364	0.0761409	0.113782	0.109375	-0.0193452	-0.0694444	-0.0375	-0.0673077	0.106758	0.0477941	0.0833333	-0.0746528	-0.0119048	-0.143519	-0.138889	-0.0595238	0.053429	0.00347222	-0.0595238	0.00757576	-0.189394	-0.0833333	-0.0606061	0.0833333	-0.0448718	-0.0290698	-0.0658915	-0.0875	0.00490196	0.0441919	-0.12037	-0.125	-0.0648148	-0.0625	0.0365419	-0.0555556	0.1	0.0952381	0.210227	0.152778	-0.0170455	0.196721	0.046875	0.0545455	0.0666667	-0.0597944
3	2.39469	-1.87842	3.10977	248	0	25	248	50	74	99	124	149	174	198	223	0.0132306	1288	0	25	248	50	74	99	124	149	174	198	223	1.1144	1.296	1.3024	1.1624	1.1944	1.1088	1.0944	1.076	1.1704	1.356	1.1344	1.18269	2	0.0628	0.125887	0.125292	0.0705576	0.0836848	0.0494933	0.04192	0.0425333	0.07808	0.145177	0.0623467	0.0807065	0.171204	0.43737	0.339734	0.296726	0.408988	0.537586	0.514588	0.510983	0.456609	0.478017	0.467093	0.571417	0.495028	0.409206	0.413363	0.566158	0.439073	0.505641	0.411913	0.413353	0.575022	0.467069	0.47477	0.413512	0.326191	0.3307	0.510119	0.425502	0.468104	0.467481	0.365316	0.368562	0.360178	0.505633	0.440696	0.438937	0.447174	0.276621	0.321115	0.423766	0.430412	0.461816	0.432089	0.363497	0.363759	0.261052	0.241434	0.40928	0.367722	0.371461	0.51945	0.439247	0.463683	0.456693	0.34374	0.27131	0.252377	0.0883621	0.0952647	0.0642857	0.0493421	0.0586854	0.0239899	0.0555556	0.021645	0.106952	0.0328947	-0.0111762	-0.033188	-0.0181686	-0.0699405	-0.0756173	-0.0239726	-0.00108507	0.00150742	-0.025515	-0.045393	-0.0330836	-0.054878	-0.0813008	-0.0720816	-0.0141844	-0.00581573	-0.0332056	-0.00308642	-0.0157658	-0.072619	-0.0547945	0.05	0.039361	0.0210843	-0.0339744	-0.075	-0.0622066	-0.00093633	0.00551713	-0.0188492	0.00171821	-0.0571429	0.0200803	0.0382231	0.060241	-0.0108696	0.035865	0.07628	0.037037	0.054902	0.0991097	0.0762195	0.0103144	-0.0165289	-0.0451001
4	2.00365	-0.919246	3.12153	101	0	10	101	20	30	40	51	61	71	81	91	0.120435	1323	0	10	101	20	30	40	51	61	71	81	91	1.2336	1.4096	1.4272	1.248	1.2536	1.1928	1.2064	1.1512	1.2632	1.4384	1.2416	1.27869	2	0.128933	0.15854	0.151493	0.101103	0.0968727	0.0867733	0.09168	0.0832	0.116907	0.160343	0.109013	0.116805	0.171415	0.262813	0.128425	0.0903246	0.158587	0.398502	0.358002	0.34176	0.324161	0.294797	0.279481	0.369727	0.324693	0.27063	0.25431	0.375302	0.151304	0.285938	0.237877	0.219152	0.329289	0.151988	0.157179	0.289097	0.239602	0.212551	0.349169	0.244543	0.255456	0.191996	0.270013	0.262163	0.247275	0.353417	0.27483	0.256763	0.199659	0.152992	0.250668	0.289406	0.281338	0.324136	0.252827	0.215108	0.177494	0.120589	0.0878013	0.25796	0.246373	0.23016	0.342057	0.255393	0.235474	0.194506	0.155448	0.128694	0.0978556	0.085307	0.098725	0.0992754	0.110119	0.0973684	0.103758	0.0542169	0.0985663	0.139827	0.0749158	0.0282407	-0.0159236	0.0226449	-0.0122951	0.0111111	-0.0667476	0.0153904	0.0133418	-0.0489583	-0.0180723	0.00434618	-0.0197133	0.0145108	-0.0475078	0.0151072	0.0486291	-0.0318761	0.0131279	-0.0153846	0.0243309	-0.0598485	0.0362903	0.0745435	-0.00572519	-0.0540335	-0.022619	-0.0887534	-0.0677458	0.0138515	-0.084507	0.0331439	-0.0147493	0.0206612	0.0527761	-0.0170604	-0.036	-0.00117371	0.0364168	-0.0254453	0.0465517	0.0983665	0.0304136	0.0302546	-0.0338542	-0.0450888
5	2.19233	-0.903341	2.85145	156	0	16	156	31	47	62	78	94	109	125	140	0.124928	710	0	16	156	31	47	62	78	94	109	125	140	1.2536	1.4624	1.4928	1.2504	1.2408	1.18	1.1872	1.1632	1.2456	1.4184	1.228	1.28385	2	0.139333	0.16628	0.17223	0.0973091	0.0935636	0.08032	0.08304	0.0885333	0.10752	0.142656	0.101547	0.115667	0.15932	0.207353	0.0870507	0.0523293	0.111935	0.334476	0.308917	0.271064	0.262736	0.244192	0.216538	0.331782	0.23955	0.19742	0.170995	0.327758	0.0830001	0.228149	0.201114	0.163439	0.305589	0.130267	0.111745	0.180925	0.163302	0.126686	0.302714	0.163944	0.158355	0.122417	0.204981	0.193641	0.172837	0.310404	0.198511	0.17934	0.170356	0.105833	0.203584	0.239859	0.219758	0.284379	0.189825	0.149341	0.131829	0.0549001	0.0767317	0.212711	0.195522	0.173248	0.305148	0.205188	0.191624	0.169028	0.0921897	0.0908388	0.0715858	0.0856401	0.0985342	0.0481322	0.0669935	0.014652	0.00975177	-0.00852273	0.0461957	0.103584	0.0766284	0.0136866	-0.0212144	-0.00153186	-0.0597826	-0.0599593	-0.0727273	-0.0492272	0.0191116	-0.00634058	-0.0415123	0.00293427	-0.0644258	-0.0769904	-0.0910628	-0.0310586	0.00616907	-0.0165289	0.035473	-0.0289855	-0.0296296	-0.0590909	-0.012	0.0366162	-0.00330688	-0.0295056	-0.0310811	-0.0764411	-0.0431442	0.0114706	5.4637e-18	-0.0144033	-0.0342262	-0.00775194	0.0668622	0.0366972	-0.0255376	0.0175439	0.0760298	0.0620155	0.0416667	0.0834114	0.0736715	0.0438624	0.0189003	-0.0409366
6	2.10013	-1.04319	3.62263	126	0	13	126	25	38	50	63	76	88	101	113	0.0905333	4194	0	13	126	25	38	50	63	76	88	101	113	1.2648	1.488	1.516	1.3432	1.36	1.2808	1.2888	1.228	1.3392	1.4928	1.32	1.35651	2	0.145067	0.18134	0.185349	0.141745	0.142085	0.127147	0.13328	0.124533	0.155147	0.174857	0.147787	0.150758	0.209471	0.252101	0.146888	0.093943	0.155619	0.381824	0.360927	0.319625	0.294312	0.296328	0.257288	0.332583	0.315377	0.286756	0.261506	0.325409	0.167988	0.298924	0.277429	0.232556	0.315719	0.169179	0.182762	0.302999	0.26065	0.222947	0.315241	0.207227	0.218318	0.182476	0.267536	0.257467	0.214394	0.301058	0.19677	0.204459	0.181846	0.114217	0.255464	0.285462	0.252536	0.305185	0.210772	0.19531	0.181202	0.133217	0.098038	0.293528	0.280078	0.244116	0.327144	0.237119	0.247994	0.206724	0.192803	0.117556	0.109463	0.089527	0.0966184	0.0840366	0.1243	0.0525	0.0809748	0.0716216	0.0888889	0.13618	0.0773002	0.0127581	-0.0496262	0.0228744	-0.0322045	-0.0389631	-0.0391996	-0.0166207	0.0284091	-0.0386792	-0.0261538	0.0264675	-0.0156585	-0.0177858	-0.0238436	-0.00964506	0.0437399	-0.0266667	0.0517241	-0.0041507	0.00542784	-0.000718391	0.00483092	0.0605817	-0.00754831	-0.0329861	-0.0359623	-0.0512821	-0.0332765	0.00815494	-0.0507766	0.00689655	-0.00334821	0.0197201	0.0502059	-0.00338753	-0.0171569	0.0154321	0.0581639	-0.0029976	0.0162907	0.0733066	0.0102108	0.0448369	-0.0265036	-0.0658294
7	3.35739	-1.16413	2.45729	2277	0	228	2277	455	683	911	1139	1366	1594	1822	2049	0.0685282	287	0	228	2277	455	683	911	1139	1366	1594	1822	2049	1.524	1.8528	1.8696	1.7952	1.812	1.6192	1.62	1.536	1.6248	1.912	1.6288	1.70858	2	0.288	0.28504	0.27839	0.286085	0.283867	0.275733	0.27808	0.296133	0.280533	0.286369	0.28016	0.28349	0.287362	0.0158053	0.00918837	0.00602926	0.00548818	0.014432	0.0279176	0.0234412	0.016019	0.0183161	0.0198332	0.0225307	0.0144435	0.010746	0.0192965	0.0256794	0.00156134	0.0225177	0.010914	0.0220681	0.0197674	0.00131179	0.0133967	0.0119531	0.0117503	0.0274334	0.0254309	0.0119394	0.00359667	0.0159135	0.0151208	0.0103419	0.0157774	0.0119708	0.0158793	0.00729695	0.0151387	0.000690613	0.0130505	0.0182897	0.0190728	0.0224679	0.0139921	0.0207918	0.0174992	0.0145416	-0.00315506	0.00824709	0.0173678	0.0181513	0.0196738	0.0135704	0.0114132	0.0290353	-0.000225748	-0.000920343	0.00336551	0.0725462	0.0729609	0.0743476	0.0730078	0.0306352	0.025	-0.0147321	0.0335884	0.0736389	0.0403998	0.000960254	-0.00460455	-0.002849	-0.0443376	-0.0441645	-0.084243	-0.0381284	0.00101698	-0.0290444	-0.00541933	-0.00158978	-0.0440613	-0.0465676	-0.0875772	-0.0353407	0.00112287	-0.0286851	0.00202578	-0.0392999	-0.0443723	-0.0842912	-0.033681	0.00875508	-0.0235602	-0.0393428	-0.0399573	-0.0833333	-0.0354818	0.00272482	-0.0262821	-0.00151057	-0.0469502	0.00601504	0.0433008	0.0127436	-0.0422744	0.00693413	0.0458104	0.0200893	0.0503221	0.0900821	0.0523007	0.0381368	0.00495295	-0.0285498
8	3.22389	-1.90128	3.79512	1675	0	168	1675	335	503	670	838	1005	1173	1340	1508	0.0125521	6239	0	168	1675	335	503	670	838	1005	1173	1340	1508	1.4496	1.7464	1.7696	1.6728	1.68	1.5336	1.5576	1.4424	1.568	1.8144	1.5496	1.61673	2	0.246933	0.257527	0.265678	0.251939	0.255576	0.243573	0.253067	0.2428	0.2568	0.269835	0.24592	0.253604	0.281521	0.0918643	0.0756997	0.0514129	0.0778157	0.125849	0.114436	0.105883	0.0886279	0.0926739	0.0816138	0.113906	0.100332	0.0962446	0.0872149	0.127348	0.0750312	0.095834	0.0963076	0.0899263	0.115575	0.0798181	0.0967992	0.102395	0.0953332	0.0789197	0.119357	0.0943422	0.105994	0.101389	0.0918686	0.093351	0.0779491	0.118826	0.0971211	0.0914784	0.0969773	0.0939285	0.0856053	0.0873887	0.0867459	0.109937	0.087821	0.0916291	0.103605	0.0849264	0.0557283	0.0784054	0.0911668	0.0791366	0.107558	0.0945736	0.0897851	0.0929714	0.0990038	0.0667327	0.0589565	0.0797521	0.0619658	0.04941	0.0644599	0.0251603	0.0363084	-0.0108225	0.0326984	0.0788399	0.0249356	-0.00894138	-0.0355408	-0.0104442	-0.0533893	-0.0499502	-0.0925847	-0.0411511	-0.0049009	-0.0511591	-0.0241389	-0.00591168	-0.0430453	-0.0364734	-0.0777778	-0.0359195	0.00793816	-0.0384239	0.0212644	-0.0244	-0.0189335	-0.0557501	-0.0120167	0.0267555	-0.0149234	-0.0360601	-0.0287971	-0.0834788	-0.0272265	0.00723527	-0.0358073	0.0159001	-0.0371094	0.0114745	0.0545543	0.00566488	-0.0423948	-0.00222222	0.0445912	-0.00407213	0.0486767	0.0826649	0.0359922	0.037326	-0.00910125	-0.0444459
9	2.90009	-0.534232	2.04999	794	0	79	794	159	238	318	397	476	556	635	715	0.292259	112	0	79	794	159	238	318	397	476	556	635	715	1.4784	1.8032	1.8424	1.736	1.728	1.5776	1.5848	1.4584	1.5712	1.8552	1.5696	1.65498	2	0.257333	0.2633	0.270531	0.258691	0.257358	0.257333	0.26112	0.251067	0.25616	0.266923	0.253067	0.259353	0.26635	0.0170532	0.00782182	-0.002037	0.0103232	0.0279624	0.0366031	0.0262748	0.0216156	0.0274366	0.0272615	0.0171753	0.0208016	0.0227338	0.010241	0.00808671	-0.00256197	0.00712067	0.0194823	0.0063565	0.00850028	0.00280712	-0.00822818	0.0219315	0.0251167	0.0116254	0.00965904	0.00874872	-0.00509974	-0.00271931	0.0286742	0.0295492	0.0233783	0.0185053	0.0150305	0.00946502	0.00216049	0.00940754	0.0143491	0.0314254	0.0281161	0.0229891	0.0100595	0.00185473	-0.00748419	-0.0114966	0.00956171	0.0267516	0.0264732	0.0279899	0.0246536	0.00825593	0.0115338	0.00744681	0.00252843	0.0107408	-0.00319888	0.0713283	0.0723958	0.0564608	0.0706459	0.026341	0.0280388	-0.0209227	0.015515	0.0649194	0.0197411	0.00314659	-0.0186946	-0.00565844	-0.0407622	-0.0458751	-0.0818353	-0.0524055	-0.00753775	-0.0504496	-0.0200206	-0.00712589	-0.0435957	-0.0452704	-0.0871788	-0.0546018	-0.00908655	-0.0555556	0.0128046	-0.0229762	-0.022792	-0.0664171	-0.0326511	0.0125647	-0.0311891	-0.0385074	-0.0381497	-0.0893839	-0.0489766	-0.000830452	-0.044964	-0.00267953	-0.0434579	-0.0104857	0.0347736	-0.00957854	-0.0469419	-0.0122549	0.0337719	-0.00462208	0.0355805	0.0746002	0.0265858	0.0443578	0.00192519	-0.0437378
