Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	2.34249	-1.91974	2.60759	220	0	22	220	44	66	88	110	132	154	176	198	0.0120298	405	0	22	220	44	66	88	110	132	154	176	198	1.0744	1.2504	1.2784	1.1312	1.1368	1.0648	1.0384	1.0256	1.1152	1.2928	1.0864	1.13585	2	0.0412	0.109587	0.119911	0.0584121	0.0608364	0.0301867	0.01792	0.0141333	0.05344	0.123439	0.0410133	0.0609162	0.15608	0.49318	0.399008	0.29437	0.47347	0.600695	0.590392	0.558377	0.522889	0.552896	0.515187	0.639466	0.535044	0.479106	0.429265	0.623413	0.475832	0.628733	0.494646	0.4413	0.661661	0.571427	0.631335	0.483831	0.395615	0.335046	0.589442	0.488168	0.558364	0.674529	0.495123	0.479006	0.434514	0.613562	0.546917	0.545946	0.604532	0.414265	0.318192	0.475576	0.450071	0.505801	0.453706	0.353229	0.374278	0.258087	0.270848	0.45065	0.450483	0.404793	0.592091	0.517183	0.522076	0.601083	0.420362	0.437778	0.253199	0.0947917	0.0998818	6.16791e-18	0.109649	0.047619	0.131944	0.0277778	-0.0388889	0.317149	0.268939	0.068394	-0.17029	-0.11553	-0.134964	-0.0897436	-0.0679348	-0.0199653	0.150673	0.119167	-0.169444	-0.108796	-0.159091	-0.164815	-0.151709	-0.12963	0.123049	0.0972222	0.057971	0.06	0.0595238	0.0416667	0.154762	0.214848	0.2	-0.0126582	-0.0503876	0.0482456	-0.0104167	0.201569	0.19697	-0.00438596	-0.0263158	-0.05	0.14	0.126984	-2.22045e-18	-0.0289855	0.217803	0.193333	-0.0208333	0.342138	0.284722	0.122264	0.0895062	-0.0672614
1	1.88725	-1.734	2.10574	77	0	8	77	15	23	31	39	46	54	62	69	0.0184501	128	0	8	77	15	23	31	39	46	54	62	69	1.0704	1.2048	1.2208	1.1064	1.1288	1.0344	1.0304	1.0232	1.0928	1.2376	1.0784	1.11164	2	0.0377333	0.0854867	0.0877281	0.0451636	0.0546424	0.0158933	0.0139733	0.0128	0.0430933	0.093981	0.03392	0.0476741	0.180801	0.669622	0.543665	0.447269	0.601363	0.723577	0.712682	0.688619	0.646163	0.675953	0.651268	0.739107	0.800569	0.682733	0.655538	0.793552	0.710778	0.757276	0.643386	0.608761	0.764622	0.681095	0.844516	0.625124	0.557695	0.510518	0.687736	0.593938	0.827023	0.75987	0.669621	0.645101	0.614953	0.742326	0.683479	0.789601	0.749903	0.589478	0.592011	0.672961	0.65796	0.696043	0.664498	0.661719	0.618551	0.514582	0.518387	0.640638	0.617562	0.581752	0.722927	0.649474	0.783963	0.735363	0.562167	0.59646	0.522158	0.0594262	0.0688657	-0.0972222	-0.0357143	0.0166667	0.104167	-0.1875	-0.05	0.00568182	-0.09375	0.0620187	0.0178571	0.0833333	-0.104167	-0.046875	-0.145833	0.0238095	0.0787338	-0.0541667	0.0104167	0.0138889	0.0555556	0.222222	-0.05	0.15873	0.271044	-0.118056	0	0.0238095	0.222222	0.0138889	-3.46945e-18	0.12013	-0.0357143	-0.181159	-0.0381944	-0.3125	-0.0595238	-0.0393939	-0.0833333	0.151042	0	0.133333	0.363636	0.0277778	-0.166667	-0.133333	-0.102273	-0.208333	-0.101852	-0.0927273	-0.0637255	0.0176559	0.00877193	0.0858037
2	1.78881	-1.08795	3.38009	61	0	6	61	12	18	24	31	37	43	49	55	0.0816676	2399	0	6	61	12	18	24	31	37	43	49	55	1.1808	1.2856	1.3296	1.1544	1.2232	1.1632	1.1552	1.12	1.2224	1.3936	1.22	1.22255	2	0.0998667	0.11238	0.13063	0.0628242	0.0939515	0.0757333	0.07136	0.0666667	0.1032	0.153493	0.100747	0.0973502	0.189645	0.449726	0.340572	0.214933	0.349257	0.619676	0.596838	0.532893	0.465176	0.510171	0.451086	0.582303	0.501415	0.51264	0.446016	0.625551	0.341729	0.49385	0.501087	0.419821	0.618396	0.380585	0.41423	0.48759	0.492717	0.410579	0.621847	0.456008	0.508744	0.453546	0.440021	0.489385	0.414186	0.582054	0.455972	0.469286	0.429791	0.307923	0.367179	0.452854	0.403059	0.482527	0.405657	0.382062	0.34522	0.237744	0.179304	0.449476	0.490408	0.411745	0.598117	0.471289	0.493391	0.447904	0.363156	0.283	0.195821	0.064069	0.111647	0.0231481	0.0555556	0.0280797	0.0197133	0.00882353	0.0651341	0.132504	0.136201	0.0597357	-0.0109536	0.0361742	-0.0195833	-0.0102163	-0.0625	0.00282118	0.0630123	0.0581349	-0.06661	-0.0484267	-0.100962	-0.0476939	-0.10409	-0.0377778	0.0180606	0.0180041	0.013754	-0.00543478	-0.0255102	-0.0778388	-0.0355903	0.0403162	0.00868056	-0.05	-0.0442982	-0.0825959	0.015625	0.0459137	0.0234848	-0.0112474	-0.0206271	0.00990099	0.0822156	0.0756014	-0.0597222	0.0272989	0.108942	0.0412844	0.0648148	0.139031	0.0741422	0.0476768	0.0135364	-0.0367172
3	1.9683	-1.78684	3.53148	93	0	9	93	19	28	37	47	56	65	74	84	0.0163365	3400	0	9	93	19	28	37	47	56	65	74	84	1.1216	1.2544	1.3008	1.1592	1.196	1.1064	1.1152	1.0824	1.1696	1.3096	1.14	1.17775	2	0.0678667	0.100247	0.121417	0.0625091	0.0792727	0.0479467	0.0516267	0.0456	0.0802667	0.116578	0.0633067	0.0760579	0.215458	0.609503	0.52232	0.427699	0.536093	0.686543	0.667021	0.640085	0.634684	0.642823	0.617161	0.708721	0.668515	0.611877	0.562088	0.716719	0.612782	0.656171	0.615789	0.570477	0.714824	0.646172	0.626351	0.599058	0.556195	0.51687	0.683276	0.614972	0.675663	0.664029	0.578272	0.582173	0.545608	0.690786	0.640494	0.640568	0.642458	0.522847	0.536122	0.598274	0.582847	0.646321	0.620364	0.575866	0.572382	0.478354	0.433987	0.585821	0.573978	0.533367	0.678926	0.643246	0.653872	0.650541	0.571519	0.510397	0.462753	0.153549	0.0803872	0.0181518	0.0800654	0.0465116	0.0525362	-0.045	0.052673	0.0888083	0.0921829	-0.00082672	-0.0844298	-0.0895468	-0.136234	-0.102398	-0.130952	-0.0550073	-0.0254598	-0.0384339	-0.0270716	-0.00793651	-0.00715072	-0.0264798	-0.112319	-0.0324444	0.0203058	-0.00131234	0.00151515	0.0335052	-0.00434028	-0.000825083	-0.0283172	0.0681818	0.0138889	0.0198675	-0.0349265	-0.0288462	0.0126984	0.0796378	0.0416667	0.0214646	0.0170455	0.0740741	0.0546055	0.0567766	-0.0324561	0.0238095	0.09717	0.0165017	0.0177596	0.0990146	0.0621469	0.0130228	0.0202991	-0.00803489
4	1.75364	-1.10995	1.75455	57	0	6	57	11	17	23	29	34	40	46	51	0.0776332	57	0	6	57	11	17	23	29	34	40	46	51	1.1296	1.252	1.2768	1.1288	1.156	1.1072	1.1032	1.0736	1.1648	1.3064	1.132	1.1664	2	0.0708	0.10598	0.115801	0.0567152	0.0675879	0.0490133	0.0477867	0.0413333	0.0774933	0.124281	0.0623467	0.0744671	0.162446	0.478152	0.337613	0.23324	0.367635	0.647937	0.60338	0.576688	0.525098	0.516384	0.488729	0.642236	0.54795	0.484161	0.449491	0.660367	0.328883	0.520818	0.460312	0.425146	0.641167	0.400472	0.403288	0.49535	0.422127	0.384103	0.633752	0.471572	0.514045	0.459733	0.447255	0.448378	0.416884	0.614064	0.480453	0.479825	0.421666	0.276977	0.392224	0.467474	0.452457	0.540649	0.44867	0.40432	0.365717	0.237793	0.214871	0.504186	0.471449	0.438321	0.644202	0.512347	0.529906	0.489914	0.397326	0.285883	0.250901	0.0594008	0.0877483	0.111111	-0.0833333	0.416667	0.416667	0.5	0.416667	0.159091	0.25	0.0359537	-0.0833333	-0.208333	0.291667	0.291667	0.375	0.291667	0.0340909	0.125	1.38778e-17	-0.652778	-0.277778	-0.0277778	-0.0277778	-0.194444	-0.323232	-0.527778	-0.0185185	-0.0166667	0.107143	0.5	0.216667	0.0643939	0.125	-0.0606061	0.0206093	0.030303	0.270833	0.357955	0.0833333	0.0916667	-2.27091e-17	0.047619	0.0795455	-0.166667	-1.20676e-17	0.0362319	0.0289855	-0.186275	0.0727513	0.129435	0.0503472	0.0416276	-0.0498282	-0.103489
5	2.33194	-0.353583	2.3596	215	0	22	215	43	65	86	108	129	151	172	194	0.443014	229	0	22	215	43	65	86	108	129	151	172	194	1.3464	1.612	1.628	1.3568	1.2776	1.2136	1.2256	1.1688	1.2496	1.4088	1.2336	1.33825	2	0.1872	0.193413	0.196272	0.115188	0.0895879	0.0911467	0.0920533	0.0909333	0.104693	0.110182	0.09696	0.12433	0.14822	0.104832	0.00698634	0.0182678	0.0230672	0.209271	0.147454	0.142513	0.227201	0.133935	0.13201	0.121302	0.189828	0.110859	0.105097	0.122525	0.0149645	0.159465	0.0831374	0.0827119	0.103685	0.0232961	0.0369159	0.133541	0.060276	0.0579947	0.0929689	0.0506275	0.0677359	0.0106617	0.158363	0.0974012	0.0970119	0.11319	0.0757389	0.0770004	0.0262209	-0.00125744	0.21682	0.155337	0.151632	0.130211	0.0835355	0.0775074	0.0446786	0.00144018	0.00562216	0.181562	0.101484	0.104695	0.119446	0.0902785	0.0909794	0.0532502	0.0250933	0.0217335	0.0195151	0.115757	0.124647	0.115304	0.114224	0.0392157	0.0889968	0.0261628	0.0948845	0.120437	0.0703125	0.00114943	0.0112952	0.0201782	-0.0298982	0.00490196	-0.0431818	0.00667318	0.034485	-0.0146144	-0.0157973	0.0104167	-0.0348259	-0.0103448	-0.0448113	-0.010101	0.0265152	-0.0238715	0.0197869	-0.0404896	-0.00498188	-0.0704657	-0.0190217	0.0342569	-0.0155622	-0.056652	-0.0123153	-0.0850816	-0.0378323	0.0232663	-0.0437764	0.0461847	-0.0247934	0.0315315	0.0872469	0.0215827	-0.0774232	-0.00419287	0.05893	-0.0272331	0.0535714	0.107286	0.033908	0.0540029	-0.00676819	-0.0685689
6	1.73519	-0.548383	3.68519	54	0	5	54	11	16	22	27	32	38	43	49	0.282889	4844	0	5	54	11	16	22	27	32	38	43	49	1.2816	1.42	1.4328	1.3248	1.3792	1.308	1.312	1.2736	1.3688	1.5016	1.3432	1.35869	2	0.157467	0.156553	0.158829	0.125467	0.148024	0.142827	0.14256	0.1504	0.170293	0.17617	0.155253	0.153077	0.217453	0.308773	0.123134	0.0822936	0.155457	0.453841	0.439083	0.425281	0.379144	0.385592	0.366002	0.366952	0.347551	0.352453	0.328619	0.355997	0.116357	0.35968	0.361428	0.337453	0.349919	0.169308	0.122547	0.324261	0.330465	0.30893	0.366956	0.243849	0.197613	0.185577	0.331656	0.35074	0.335272	0.36972	0.273702	0.210002	0.207119	0.107701	0.330487	0.355807	0.33625	0.343649	0.272678	0.222215	0.209651	0.1156	0.0907266	0.353854	0.366267	0.338283	0.378409	0.297114	0.255627	0.233318	0.147178	0.116643	0.0910243	0.0648734	0.0762527	0.0709707	0.0898148	0.0795455	0.0833333	0.0419162	0.0799808	0.128986	0.0733533	0.0154139	-0.0140766	0.0421359	0.0222561	0.0378978	-0.0175781	0.0302579	0.0706616	0.0207259	-0.00958273	0.000949668	0.00530303	0.00801282	-0.0329425	0.00761035	0.0497423	-0.0021164	0.0144799	0.0200803	0.0408022	-0.0130792	0.00665266	0.0527102	-0.00492264	0.00519422	0.00966184	-0.0288221	-0.0142774	0.0323105	-0.0112613	0.0140237	-0.0114247	-0.00501253	0.0414591	-0.015775	-0.0327381	-0.026862	0.027957	-0.0354331	0.0215232	0.0802597	0.0218182	0.0471344	0.0093633	-0.0418895
7	2.27655	-0.678311	4.53871	189	0	19	189	38	57	76	95	113	132	151	170	0.209744	34571	0	19	189	38	57	76	95	113	132	151	170	1.4608	1.7056	1.7352	1.6112	1.6584	1.552	1.5584	1.4808	1.5744	1.7816	1.56	1.60713	2	0.254267	0.252567	0.253166	0.229006	0.247842	0.2528	0.253227	0.266533	0.25856	0.263294	0.255147	0.25331	0.28547	0.127467	0.0556544	0.0379605	0.0462163	0.206895	0.200441	0.185126	0.172959	0.166775	0.153949	0.185153	0.150456	0.147174	0.140443	0.172422	0.0288526	0.141404	0.144407	0.132819	0.162131	0.0578666	0.0247045	0.128514	0.143216	0.136306	0.176332	0.0956843	0.0680787	0.0631666	0.148426	0.145702	0.15093	0.173634	0.110855	0.0805817	0.0761232	0.0378664	0.137062	0.148249	0.141825	0.159426	0.110231	0.0839991	0.0698927	0.045838	0.0326651	0.149483	0.146562	0.147723	0.174023	0.125771	0.100519	0.0797747	0.0559014	0.0395214	0.0335702	0.0742188	0.0745791	0.0621009	0.0638428	0.032646	0.0467896	0.0048913	0.0529392	0.100062	0.0521255	0.00696881	-0.014057	-0.00902472	-0.0287568	-0.0239786	-0.0680921	-0.0262951	0.0169555	-0.0211362	-0.0214112	-0.0148174	-0.0330024	-0.0376984	-0.07038	-0.0246437	0.0170881	-0.024024	0.018018	-0.0154424	-0.00502172	-0.0463466	-0.00740132	0.036723	-0.0029511	-0.0133625	-0.014574	-0.0467017	-0.0203674	0.0202456	-0.00899779	0.00189087	-0.0302747	0.00637681	0.0423973	0.0163108	-0.037156	0.00686106	0.0350324	0.0134977	0.039881	0.0729778	0.0445376	0.0361987	0.00541126	-0.0306196
8	3.53412	-1.19935	4.29936	3421	0	342	3421	684	1026	1368	1711	2053	2395	2737	3079	0.0631904	19923	0	342	3421	684	1026	1368	1711	2053	2395	2737	3079	1.532	1.8744	1.9184	1.784	1.8048	1.6544	1.6416	1.5408	1.6736	1.92	1.6688	1.72844	2	0.292267	0.2915	0.30159	0.285164	0.290339	0.29456	0.287733	0.2944	0.301173	0.291456	0.297547	0.29343	0.29703	0.0144328	0.00288075	-0.00900744	0.00597955	0.0446084	0.0268146	0.0339509	0.00525411	0.0119996	0.0121627	0.0283042	0.0139194	0.00933503	0.0127442	0.0311579	0.00524276	0.0159094	0.0168972	0.0215191	0.0318203	0.0123692	0.0187537	0.00226757	0.00260287	-0.00317441	0.0197194	0.00225966	-0.00576307	-0.00260525	0.0128026	0.0173593	0.0157245	0.0424815	0.0186757	0.0129602	0.0177613	-0.0185456	0.0162188	0.0100943	0.0148673	0.0314425	0.00920628	0.00892358	0.015761	-0.00493373	0.0126274	0.00731888	0.00887582	0.00725426	0.0230364	0.0116294	0.0102229	0.00911964	-0.0124838	-0.00516341	0.00323087	0.0833624	0.08763	0.0669734	0.0730543	0.0475218	0.0385154	0.00860507	0.0475806	0.091572	0.0528188	0.00253299	-0.0185435	-0.0105044	-0.0431763	-0.0460851	-0.0735345	-0.0399695	0.00478157	-0.0307058	-0.0234664	-0.0144977	-0.0493231	-0.0530997	-0.076597	-0.0457516	0.000805687	-0.039382	0.0102765	-0.0226298	-0.028172	-0.0496795	-0.0209134	0.0259372	-0.00937904	-0.0336498	-0.038623	-0.0584795	-0.0266583	0.0153746	-0.0246404	-0.00643777	-0.0292611	0.0016572	0.0465394	0.0066762	-0.0213816	0.00945626	0.0533463	0.0172332	0.0374415	0.0754793	0.0420699	0.0419959	0.00301764	-0.0365054
9	3.5556	-1.14662	3.04344	3594	0	359	3594	719	1078	1438	1797	2156	2516	2875	3235	0.0713476	1105	0	359	3594	719	1078	1438	1797	2156	2516	2875	3235	1.5312	1.8592	1.892	1.7912	1.816	1.632	1.612	1.524	1.6456	1.9096	1.6296	1.71295	2	0.291733	0.278893	0.282923	0.277455	0.279697	0.282027	0.274987	0.287067	0.28592	0.283515	0.281013	0.282294	0.285225	0.0147057	0.00989038	0.00441389	0.00751326	0.0305763	0.0275553	0.0214255	0.0184055	0.0219391	0.0166267	0.0296533	0.00340146	0.0192107	0.0188905	0.0162098	0.0109616	0.0184663	0.0159212	0.0128207	0.027126	0.00778504	0.0136314	0.00754458	0.0171968	0.0100297	0.0154894	0.0177271	-0.00203672	0.00665596	0.014748	0.0157039	0.00619351	0.0306794	0.0122373	0.0183746	0.00969868	-0.00247249	0.012358	0.0165912	0.00987988	0.0186702	0.00516386	0.0150763	0.00778751	0.00609726	-0.00332813	0.0190292	0.017623	0.0203285	0.0282605	0.0162829	0.0241565	0.0188235	0.0101694	0.00916576	0.00736326	0.0681492	0.0717334	0.0646897	0.0690936	0.0148611	0.0147402	-0.00892857	0.0221202	0.0764635	0.0119873	0.000368732	-0.0085771	-0.00141393	-0.0457694	-0.0491418	-0.0777439	-0.0445529	0.00345754	-0.0481588	-0.00956332	-0.00278352	-0.0460298	-0.0481434	-0.0757468	-0.0460027	0.0014832	-0.0519172	0.00669306	-0.0386045	-0.0421271	-0.0714639	-0.0409415	0.0111464	-0.0385135	-0.0431937	-0.0485839	-0.0781558	-0.0468617	0.00359657	-0.0461016	-0.00691244	-0.0351606	-0.00304414	0.047066	-0.00275275	-0.0213011	0.0010304	0.049138	0.00286458	0.0315534	0.081146	0.0296515	0.0469841	0.000248385	-0.0473253
