Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	1.85444	-1.8139	3.76878	72	0	7	72	14	22	29	36	43	50	58	65	0.0153499	5872	0	7	72	14	22	29	36	43	50	58	65	1.0936	1.2232	1.2568	1.1544	1.2272	1.1024	1.076	1.0232	1.0552	1.1528	1.1376	1.13658	2	0.0518667	0.08242	0.0964601	0.0578182	0.0851515	0.0460267	0.0339733	0.0132	0.0245333	0.0542823	0.0624533	0.0552896	0.25046	0.761029	0.620125	0.582826	0.648506	0.749924	0.728959	0.722082	0.699084	0.718911	0.705587	0.75046	0.80005	0.748575	0.722077	0.808521	0.620014	0.835203	0.762922	0.737551	0.823628	0.675105	0.775673	0.828139	0.729735	0.703605	0.805203	0.754345	0.870203	0.898654	0.864268	0.780533	0.76045	0.842196	0.803234	0.888995	0.908124	0.87191	0.792146	0.780426	0.771075	0.816215	0.800698	0.836498	0.844534	0.712365	0.538055	0.747293	0.716241	0.70114	0.775998	0.738883	0.810703	0.830261	0.716933	0.655665	0.553063	0.103668	0.112257	0.017507	0.0778186	-0.102025	-0.0810811	-0.106132	-0.111667	-0.0169903	0.0046729	0.0532191	-0.0347722	-0.0224359	-0.139236	-0.127133	-0.199432	-0.142267	-0.0746047	-0.03125	-0.0473856	-0.0471698	-0.208974	-0.222222	-0.247881	-0.209981	-0.11378	-0.0702862	-0.0059952	-0.152422	-0.127371	-0.175439	-0.0968468	-0.0415314	0.00275482	-0.0703422	-0.167339	-0.20625	-0.186111	-0.0622504	-0.0348259	-0.0515695	-0.0768608	-0.03125	0.0564056	0.123123	-0.0439394	-0.0226537	0.0470925	0.105932	0.0377095	0.140862	0.15824	0.0820619	0.136243	0.0522617
1	2.46526	-1.8445	4.40162	292	0	29	292	58	88	117	146	175	204	234	263	0.0143053	25213	0	29	292	58	88	117	146	175	204	234	263	1.3072	1.5032	1.5536	1.4072	1.4152	1.2784	1.1048	1.1016	1.2536	1.4264	1.3464	1.33615	2	0.1712	0.18584	0.210071	0.159927	0.166485	0.131413	0.0456533	0.0556	0.114133	0.149714	0.158987	0.14082	0.279136	0.461478	0.263102	0.218645	0.27534	0.408628	0.391919	0.370062	0.397153	0.379249	0.369891	0.4318	0.449789	0.413001	0.382693	0.484811	0.304107	0.669665	0.537439	0.508936	0.608658	0.444821	0.566202	0.598015	0.489595	0.467026	0.553474	0.542377	0.648028	0.836275	0.527003	0.460615	0.460336	0.531081	0.533948	0.618611	0.753652	0.599852	0.493098	0.468988	0.475518	0.499172	0.519359	0.568855	0.64434	0.497621	0.216996	0.42818	0.402668	0.400492	0.46456	0.475561	0.537776	0.68298	0.536815	0.331608	0.224693	0.0864421	0.0935458	0.055993	0.0373791	-0.0316092	-0.184333	-0.181227	-0.0707331	0.0255765	-0.0305128	-1.21832e-05	-0.0445842	-0.039104	-0.10514	-0.287116	-0.270968	-0.162119	-0.0671526	-0.124947	-0.03926	-0.062935	-0.133885	-0.301797	-0.30836	-0.211916	-0.101273	-0.139519	-0.0101323	-0.115403	-0.258918	-0.230927	-0.116561	-0.0360339	-0.0865922	-0.0645102	-0.222146	-0.219359	-0.131944	-0.026117	-0.0734586	-0.161368	-0.137311	-0.0393258	0.0796537	0.0237288	0.0280411	0.132104	0.241832	0.16948	0.107955	0.216199	0.181388	0.0567265	0.0416667	-0.0131009
2	3.67701	-1.12283	3.62525	4753	0	475	4753	951	1426	1901	2377	2852	3327	3802	4278	0.0753643	4219	0	475	4753	951	1426	1901	2377	2852	3327	3802	4278	1.4408	1.7176	1.7376	1.68	1.6744	1.5192	1.5432	1.4912	1.6512	1.8984	1.6392	1.63571	2	0.2424	0.2406	0.249239	0.251333	0.246073	0.236107	0.248587	0.272	0.296533	0.298573	0.28368	0.260466	0.272513	0.0435954	0.00466113	0.00558212	0.0079773	0.00888405	0.0125519	0.0115487	0.0228495	0.0176501	0.0181906	0.013692	0.0493339	0.0287323	0.0357397	0.0363263	0.00853427	0.0353202	0.0293161	0.0322226	0.0217267	0.0170921	-0.00586608	0.106013	0.107085	0.100314	0.103556	0.0980208	0.0948848	0.0928344	0.0632851	0.0818399	0.0841089	0.072665	0.0827425	0.0859976	0.0718026	0.0366024	0.0450857	0.0577952	0.0586394	0.0506316	0.0630643	0.0633554	0.0553237	0.0393706	0.00102601	0.0579282	0.0669355	0.0598689	0.0478809	0.0655964	0.0609282	0.0608532	0.0649872	0.0206452	0.00783803	0.0840065	0.0846161	0.0755556	0.0766106	0.0368558	0.0447502	-0.0154867	0.0369466	0.0889344	0.040623	-0.00496604	-0.0141871	-0.00993429	-0.0479601	-0.0441249	-0.101185	-0.0466499	-0.00332956	-0.0504272	-0.00929318	-0.00478225	-0.0463374	-0.0439578	-0.0965376	-0.0473561	-0.00260213	-0.0486213	0.00293351	-0.0378904	-0.0328513	-0.0959687	-0.0310016	0.00988102	-0.0374618	-0.0394737	-0.0356965	-0.093901	-0.0411442	0.00470285	-0.0400715	0.00279642	-0.0592329	-2.2124e-18	0.0445287	-0.00475342	-0.0610561	-0.00297089	0.0409669	-0.00501475	0.0479586	0.0994439	0.0520095	0.0469608	0.00874636	-0.0405622
3	1.93818	-1.76743	4.49417	87	0	9	87	17	26	35	44	52	61	70	78	0.0170831	31201	0	9	87	17	26	35	44	52	61	70	78	1.1832	1.2736	1.3416	1.2064	1.2888	1.1752	1.0624	1.016	1.192	1.264	1.184	1.19884	2	0.1004	0.10344	0.119399	0.077697	0.112085	0.0799467	0.0287467	0.0088	0.0880533	0.0937628	0.0837867	0.0814651	0.286929	0.702601	0.570059	0.510571	0.610618	0.713101	0.702951	0.69956	0.633012	0.665411	0.654717	0.698269	0.693006	0.693047	0.677065	0.752134	0.500185	0.820554	0.754659	0.735162	0.812856	0.639361	0.732136	0.818725	0.741744	0.714541	0.814611	0.744227	0.838009	0.938811	0.688531	0.695158	0.679543	0.756327	0.689215	0.741662	0.836425	0.645012	0.69299	0.706982	0.700152	0.743485	0.69613	0.723036	0.784119	0.633162	0.51817	0.688634	0.696035	0.67648	0.748539	0.687743	0.745721	0.837338	0.757541	0.541243	0.474591	0.0617038	0.0605699	-0.0160256	0.0703851	0.0204545	-0.106649	-0.19	-0.0137712	0.0256248	-0.045584	0.0150166	-0.0428333	-0.0388991	-0.0741135	-0.178639	-0.246846	-0.0724966	-0.0543377	-0.132719	-0.0509966	-0.0138418	-0.0953333	-0.217279	-0.272759	-0.105493	-0.0533012	-0.119372	0.0131918	-0.0354938	-0.137209	-0.238836	-0.0233612	-0.0188201	-0.0401107	-0.0658015	-0.181548	-0.251121	-0.0615385	-0.0558411	-0.095655	-0.118123	-0.150266	0.0111607	0.0282828	-0.0249221	-0.0585206	0.141541	0.155251	0.108374	0.15625	0.201469	0.171084	0.0159812	-0.0224014	-0.0294393
4	3.25785	-1.10843	3.27872	1811	0	181	1811	362	543	724	906	1087	1268	1449	1630	0.0779066	1900	0	181	1811	362	543	724	906	1087	1268	1449	1630	1.3224	1.516	1.5264	1.4792	1.5336	1.4384	1.4504	1.4608	1.62	1.8376	1.6008	1.52596	2	0.176933	0.181093	0.176293	0.18023	0.193515	0.203893	0.206507	0.255333	0.279413	0.286462	0.264373	0.21855	0.234557	0.0840873	0.00041557	0.00642823	0.0185176	0.0249328	0.0317633	0.0233634	0.01739	0.0451597	0.0418871	0.0543942	0.0765168	0.103092	0.108637	0.112136	0.0428086	0.0717007	0.0897103	0.0907515	0.0926384	0.0440192	0.0355128	0.141988	0.193637	0.198169	0.192352	0.159472	0.1072	0.131486	0.0797699	0.127629	0.127392	0.116849	0.123271	0.134479	0.128829	0.0935289	0.0524748	0.105666	0.1047	0.0950864	0.107143	0.123009	0.116878	0.0940928	0.00351749	0.045796	0.0974638	0.0948049	0.0928333	0.101947	0.120681	0.100764	0.0966504	0.0129719	0.0112679	0.0539579	0.0568664	0.0585317	0.0469624	-0.000692521	0.0164384	-0.0532915	0.0358796	0.0480039	0.0254876	0.00247137	-0.00866228	-0.0151754	-0.0645701	-0.0525814	-0.113565	-0.0343241	-0.0138735	-0.0459089	-0.00684866	-0.0163225	-0.0623075	-0.0536042	-0.112577	-0.0360169	-0.0156982	-0.0382913	-0.0128931	-0.0592302	-0.049301	-0.118957	-0.0311828	-0.0103761	-0.0408705	-0.0672295	-0.0484069	-0.120228	-0.024552	0.000852273	-0.0282456	0.0179539	-0.0532626	0.0244003	0.0491477	0.0182106	-0.0616987	0.0187449	0.0490897	0.014218	0.0799859	0.11203	0.0786026	0.0299427	0.00456253	-0.0259264
5	3.5587	-1.09465	2.92423	3620	0	362	3620	724	1086	1448	1810	2172	2534	2896	3258	0.0804171	840	0	362	3620	724	1086	1448	1810	2172	2534	2896	3258	1.3208	1.5328	1.5456	1.4888	1.5128	1.4104	1.4136	1.496	1.6744	1.9144	1.6232	1.53935	2	0.176133	0.176893	0.17771	0.180776	0.182994	0.18352	0.18304	0.273867	0.298453	0.291255	0.273013	0.217969	0.227413	0.0554783	-0.000501147	0.0179878	0.00706747	0.0185481	0.0207464	0.020169	0.0225641	0.0239153	0.0219915	0.0255589	0.0408278	0.0401693	0.0379173	0.04407	0.0140538	0.0260314	0.0380241	0.0371203	0.0507539	0.0144007	0.0136809	0.113475	0.164522	0.170985	0.152638	0.150311	0.111474	0.118808	0.0483741	0.107337	0.112359	0.103628	0.105802	0.0773864	0.0765769	0.0441332	0.0313766	0.0714079	0.0731484	0.0690022	0.0673414	0.0515106	0.051096	0.0372549	0.00313346	0.0473044	0.0879278	0.0872702	0.0819991	0.0824905	0.0688905	0.0702066	0.0611404	0.0124424	0.00628714	0.0656179	0.0724163	0.0594961	0.0565268	0.0337199	0.022807	-0.0277778	0.0168803	0.0633945	0.0261354	0.000349406	-0.00987601	-0.00910125	-0.0388558	-0.0390136	-0.0876453	-0.0449984	-0.00498182	-0.0358527	-0.0108859	-0.00927479	-0.0405644	-0.0373406	-0.0954301	-0.0429244	-0.00714635	-0.0370015	0.000300842	-0.0311203	-0.0335875	-0.0853609	-0.0396904	0.000807568	-0.0302721	-0.0348307	-0.0347648	-0.083134	-0.0359051	0.00469152	-0.0279451	0.00152207	-0.0507246	-0.00953471	0.0330256	-0.000768049	-0.0503428	-0.0048909	0.0349181	0.00500385	0.0547062	0.112103	0.0644841	0.0514144	0.0117227	-0.0401877
6	3.28904	-1.25136	3.4884	1946	0	195	1946	389	584	778	973	1168	1362	1557	1751	0.0560589	3079	0	195	1946	389	584	778	973	1168	1362	1557	1751	1.3048	1.4824	1.4896	1.4328	1.4736	1.3584	1.3704	1.4384	1.6256	1.832	1.6312	1.49447	2	0.168	0.16442	0.163775	0.159455	0.171164	0.16176	0.1656	0.244	0.286667	0.299034	0.28144	0.205938	0.233482	0.127402	0.0126799	0.0160219	0.0186361	0.0389445	0.0442153	0.0297371	0.04697	0.0379926	0.043567	0.0437191	0.0982484	0.0916942	0.0887974	0.0909639	0.0327708	0.10682	0.0946551	0.0958382	0.0944605	0.040853	0.0323699	0.277447	0.31482	0.326402	0.315258	0.294384	0.282526	0.286433	0.171052	0.243838	0.240893	0.233098	0.230003	0.227797	0.222969	0.0722121	0.11063	0.160015	0.162659	0.148459	0.152163	0.151195	0.151536	0.0705192	0.012454	0.105229	0.159984	0.160591	0.154278	0.151186	0.152185	0.153476	0.116885	0.0373249	0.016496	0.0657506	0.0726445	0.0590102	0.0564721	0.0062751	-0.00408998	-0.0744681	-0.00334362	0.0479731	0.0184911	0.00278747	-0.00763081	-0.0089173	-0.0600962	-0.0629937	-0.143591	-0.0712665	-0.0168429	-0.0522053	-0.0120264	-0.0150484	-0.0634184	-0.0682652	-0.152538	-0.0632563	-0.0195695	-0.054914	0.00255624	-0.0504926	-0.054929	-0.123624	-0.0564935	-0.00754359	-0.0337449	-0.0540293	-0.0598385	-0.129526	-0.0567602	-0.00981582	-0.0388751	-0.000406504	-0.0757576	0.000499002	0.0426374	0.00952381	-0.0851118	-0.0113078	0.0490777	0.0258216	0.0785846	0.130863	0.138781	0.0488499	0.0414804	-0.0161393
7	1.75882	-1.90065	2.9749	57	0	6	57	11	17	23	29	34	40	46	51	0.0125703	944	0	6	57	11	17	23	29	34	40	46	51	1.0344	1.1224	1.1744	1.1008	1.1208	1.0704	1.0048	1.0328	1.0712	1.1488	1.068	1.08625	2	0.0188	0.0498867	0.0639477	0.0392727	0.0495273	0.0315733	0.00229333	0.0177333	0.0324267	0.0518615	0.0310933	0.0353105	0.213821	0.810965	0.73272	0.587192	0.752109	0.821088	0.835313	0.792378	0.76362	0.808479	0.764867	0.828909	0.842387	0.82488	0.769961	0.853155	0.714031	0.955903	0.86697	0.816826	0.902072	0.824969	0.899631	0.841297	0.783331	0.705518	0.824785	0.778121	0.849251	0.959188	0.848014	0.828248	0.775954	0.861777	0.826357	0.867696	0.935127	0.810732	0.762762	0.813886	0.778943	0.831963	0.808348	0.816902	0.856978	0.6917	0.630519	0.835603	0.81478	0.761707	0.852369	0.815776	0.860919	0.933651	0.788131	0.751097	0.624839	-0.00875	0.168245	-0.0138889	0.0625	-0.0972222	-0.0694444	0.0694444	0.0378788	0.0177866	0.0648148	0.208509	-0.0803571	-0.0552536	-0.160038	-0.273438	-0.0652174	-0.103472	-0.0339015	-0.0467172	-0.141975	-0.139847	-0.22428	-0.26749	-0.25	-0.305556	-0.285885	-0.180556	0.0227273	-0.0833333	-0.195833	-0.0366667	-0.0217391	0.0712121	0.0138889	-0.044	-0.242337	-0.0595238	0.0555556	0.0214646	0.0192308	-0.28268	0.00757576	0.0641026	0.0290909	-0.0192308	0.0833333	0.153333	0.154959	0.0972222	-0.0735294	0.0124875	-0.0544444	0.0715488	0.0307329	-0.0487139
8	3.03786	-1.06637	2.81447	1091	0	109	1091	218	327	436	546	655	764	873	982	0.0858279	652	0	109	1091	218	327	436	546	655	764	873	982	1.1752	1.2664	1.2768	1.2544	1.3776	1.3344	1.3264	1.5176	1.616	1.8296	1.548	1.41113	2	0.0958667	0.0926267	0.0933699	0.0902303	0.136739	0.15216	0.14512	0.2844	0.27472	0.27645	0.240053	0.171067	0.184986	0.131122	0.0273926	0.0214898	0.0188006	0.0687908	0.0489204	0.0400459	0.0401086	0.0805076	0.0783929	0.0730886	0.128645	0.192195	0.185323	0.182328	0.0453322	0.113393	0.160808	0.162	0.167316	0.055409	0.0408948	0.221084	0.375817	0.377696	0.353078	0.232172	0.153267	0.199885	0.12497	0.264383	0.271808	0.236482	0.209427	0.191923	0.18915	0.103188	0.050857	0.138139	0.140269	0.122443	0.128809	0.139172	0.128049	0.110218	0.0226637	0.0762322	0.201159	0.201483	0.17587	0.162792	0.17138	0.16007	0.125943	0.036406	0.00626934	0.095	0.0793651	0.0708138	0.0632716	0.0210784	0.0172101	-0.0390625	0.0261525	0.0828877	0.0355191	-0.00794899	-0.00661132	-0.016102	-0.0629713	-0.0603632	-0.125	-0.0621499	-0.00391111	-0.0455114	-0.00467836	-0.0114437	-0.0490196	-0.060166	-0.123848	-0.0571429	0.000433377	-0.035014	-0.0093985	-0.0302673	-0.0499266	-0.119765	-0.0440574	0.00166667	-0.0359135	-0.0686789	-0.0600091	-0.151263	-0.0405138	0.025534	-0.0263348	0.0112745	-0.0835979	0.00747384	0.0802294	0.0175879	-0.105684	0.00502874	0.0899804	0.0185185	0.0550693	0.137525	0.0711382	0.0678079	0.0223242	-0.0412543
9	2.30165	-1.33407	1.83685	200	0	20	200	40	60	80	100	120	140	160	180	0.0463371	69	0	20	200	40	60	80	100	120	140	160	180	1.1024	1.2208	1.248	1.0936	1.1856	1.1704	1.1368	1.1816	1.288	1.4232	1.2944	1.21316	2	0.0557333	0.08952	0.093966	0.0425939	0.0765333	0.0813867	0.0632	0.0988	0.133493	0.163539	0.136693	0.0941327	0.157297	0.384754	0.197571	0.119749	0.256757	0.474745	0.429088	0.401366	0.33068	0.367833	0.349341	0.464142	0.443975	0.445721	0.425219	0.579603	0.246738	0.491796	0.458524	0.433424	0.602947	0.308883	0.300086	0.532567	0.526619	0.509263	0.658639	0.504922	0.479289	0.555335	0.37177	0.446242	0.430463	0.540627	0.455411	0.477206	0.4988	0.338647	0.263989	0.371606	0.363133	0.386803	0.362424	0.387994	0.38968	0.300128	0.132816	0.319793	0.40475	0.390664	0.498568	0.412751	0.443421	0.465208	0.355217	0.174919	0.132519	0.132653	0.117011	0.130952	-0.216667	-0.416667	-0.35	-0.3125	-0.222222	0.0292208	4.62593e-18	0.0379797	-0.0833333	-0.217593	-0.36875	-0.339286	-0.339286	-0.264583	-0.053719	-0.0757576	-0.161765	-0.280864	-0.401235	-0.361111	-0.348765	-0.25463	-0.128205	-0.128205	-0.15	-0.322917	-0.166667	-0.392857	-0.114035	0.0334596	-0.0265152	-0.143824	-0.182692	-0.27439	0.0694444	0.221591	0.0648148	-0.0427083	-0.032967	0.208333	0.312354	0.208333	-0.0943627	0.111111	0.219251	0.183333	0.1206	0.227511	0.19881	0.0836077	0.0309789	-0.0509376
