Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	3.02385	-1.53447	4.11775	1056	0	106	1056	211	317	422	528	634	739	845	950	0.0292098	13115	0	106	1056	211	317	422	528	634	739	845	950	1.4048	1.6304	1.6592	1.528	1.5864	1.4496	1.416	1.2152	1.5128	1.6904	1.5592	1.51382	2	0.2228	0.224013	0.229663	0.204727	0.222485	0.208	0.194027	0.118133	0.240533	0.25501	0.257813	0.216109	0.270802	0.18212	0.0439891	0.0289803	0.0482486	0.126161	0.134912	0.111031	0.105754	0.119857	0.0977848	0.13129	0.131594	0.13414	0.117406	0.155447	0.0454713	0.215318	0.195076	0.183218	0.220047	0.11791	0.119735	0.434229	0.36398	0.354498	0.400368	0.380225	0.432163	0.465447	0.218962	0.22935	0.223711	0.25473	0.25094	0.247315	0.304976	0.24783	0.176102	0.202809	0.188134	0.212124	0.216193	0.218084	0.263171	0.245505	0.0593406	0.157626	0.181607	0.170494	0.196695	0.194945	0.195888	0.266599	0.324778	0.0938419	0.0536671	0.0704668	0.072347	0.0612745	0.0468037	-0.00289855	-0.0186029	-0.169558	-0.0373074	0.027176	-0.00946548	0.00879444	-0.0172516	-0.0247617	-0.0739343	-0.0817916	-0.242454	-0.0889108	-0.0245546	-0.0571321	-0.0197617	-0.0266802	-0.0756872	-0.0905235	-0.239121	-0.103038	-0.0356783	-0.0765818	-0.00382514	-0.0540037	-0.0672572	-0.220822	-0.0599721	-0.00742561	-0.0496521	-0.0478521	-0.0706363	-0.211626	-0.056962	0.00361201	-0.0351386	-0.0207138	-0.161275	-0.00385802	0.0491044	0.0145081	-0.169331	-0.0120999	0.0510594	0.0136733	0.161051	0.247831	0.212139	0.0543429	0.0286993	-0.0352654
1	3.12306	-1.51666	3.39789	1328	0	133	1328	266	398	531	664	797	930	1062	1195	0.0304329	2500	0	133	1328	266	398	531	664	797	930	1062	1195	1.2528	1.432	1.4384	1.3728	1.4152	1.332	1.3248	1.2728	1.5792	1.7944	1.5584	1.43389	2	0.137067	0.152187	0.151519	0.139927	0.154303	0.152587	0.148853	0.1492	0.268427	0.283006	0.249973	0.180641	0.22459	0.179692	0.0519551	0.025439	0.0362825	0.132693	0.106621	0.110507	0.0841755	0.0769947	0.0776062	0.119598	0.122624	0.123304	0.119677	0.155879	0.0473027	0.178052	0.167707	0.161706	0.208251	0.0987154	0.107344	0.498482	0.476167	0.47404	0.497847	0.472181	0.485664	0.495609	0.208201	0.272871	0.281993	0.290935	0.268636	0.250925	0.26924	0.237107	0.118997	0.175223	0.17751	0.18504	0.17675	0.173106	0.190025	0.224196	0.0570539	0.131801	0.183957	0.186197	0.210341	0.185146	0.171157	0.210209	0.336802	0.103872	0.0444247	0.0820087	0.0860116	0.0836057	0.0636792	0.0328467	-0.0021059	-0.121394	0.0150677	0.0594575	0.0295322	0.00444105	-0.0187881	-0.0249325	-0.0556499	-0.0966549	-0.213776	-0.0700265	-0.0163132	-0.0653639	-0.0226692	-0.0338738	-0.0661589	-0.100304	-0.223094	-0.0819048	-0.0268462	-0.0680152	-0.0133333	-0.039751	-0.0892505	-0.2	-0.0626263	-0.00453023	-0.0564212	-0.0391806	-0.0722222	-0.174272	-0.0449117	0.00845439	-0.0411822	-0.0391892	-0.16844	-0.0277778	0.0400144	-0.00703463	-0.17815	-0.00385039	0.0683717	0.024789	0.192905	0.277326	0.242945	0.0683401	0.0346359	-0.0337787
2	2.27447	-1.86009	4.3552	188	0	19	188	38	56	75	94	113	132	150	169	0.013801	22657	0	19	188	38	56	75	94	113	132	150	169	1.2512	1.428	1.4664	1.292	1.3424	1.24	1.0664	1.0464	1.1216	1.2936	1.24	1.25345	2	0.1392	0.16254	0.174703	0.116218	0.136267	0.11088	0.0281067	0.0258667	0.0533333	0.104585	0.112693	0.105854	0.274276	0.581983	0.407238	0.338315	0.405256	0.570089	0.540741	0.517321	0.525477	0.511356	0.483848	0.580094	0.557411	0.524658	0.489929	0.611385	0.371779	0.757576	0.62791	0.587199	0.719157	0.569312	0.682518	0.720699	0.595666	0.566546	0.713932	0.657846	0.751188	0.916336	0.708036	0.589664	0.578347	0.699259	0.655097	0.738106	0.874476	0.620336	0.625916	0.58701	0.578521	0.660144	0.6296	0.66671	0.74102	0.359854	0.344416	0.5778	0.528479	0.511822	0.633975	0.591972	0.642981	0.785714	0.458254	0.474451	0.325159	0.0777778	0.104038	0.0120579	0.0388711	-0.0096831	-0.17768	-0.221545	-0.177866	-0.0260889	-0.0589364	0.0253234	-0.0404343	-0.0311073	-0.0961838	-0.244751	-0.301496	-0.229306	-0.106318	-0.150443	-0.087183	-0.0591949	-0.118182	-0.278195	-0.316526	-0.263653	-0.109503	-0.145913	0.0198892	-0.0423777	-0.172695	-0.230453	-0.187107	-0.0385785	-0.0673289	-0.0398126	-0.208835	-0.246	-0.181447	-0.052036	-0.0809372	-0.145072	-0.18936	-0.113506	0.020521	-0.0272727	-0.0240741	0.0280702	0.152806	0.119841	0.0555556	0.138248	0.146994	0.0928211	0.087963	-0.0122169
3	2.35119	-1.97093	2.64652	224	0	22	224	45	67	90	112	134	157	179	202	0.0106924	443	0	22	224	45	67	90	112	134	157	179	202	1.0616	1.2184	1.2224	1.1096	1.2008	1.1208	1.0704	1.0256	1.1432	1.2728	1.1504	1.14509	2	0.0344	0.0925133	0.0955242	0.0477697	0.0845212	0.05664	0.0328	0.0142667	0.06288	0.100499	0.07168	0.0630449	0.179584	0.596979	0.394734	0.306556	0.482975	0.576475	0.592955	0.555824	0.47039	0.563745	0.533483	0.617583	0.629044	0.598675	0.571152	0.70626	0.476839	0.760759	0.653838	0.630268	0.770721	0.561203	0.642938	0.785798	0.618177	0.583717	0.758171	0.652551	0.778505	0.867875	0.641381	0.616104	0.588891	0.721007	0.645855	0.720748	0.786556	0.596042	0.484765	0.581625	0.55824	0.618563	0.596294	0.617377	0.663634	0.517318	0.403616	0.58975	0.586824	0.559156	0.693778	0.61779	0.687735	0.761631	0.705148	0.523962	0.330086	0.0770833	0.110107	-0.0216049	-0.0201149	0.0512821	-0.121212	-0.195652	-0.0265152	0.125	0.0104167	0.0182217	-0.166667	-0.0803571	-0.0477431	-0.230978	-0.246875	-0.109375	0.0302273	-0.0666667	-0.145594	-0.0916667	-0.0324074	-0.255051	-0.267677	-0.103175	0.0818182	-0.0324074	0.112179	0.123016	-0.100877	-0.111111	0.0392157	0.218501	0.0972222	-0.134731	-0.315299	-0.159091	0.0131579	0.0678524	0.0238095	-0.146572	0.00378788	0.0686275	0.122727	0.0833333	-0.00833333	0.157407	0.323764	0.280702	0.216821	0.472154	0.316092	0.113705	0.0164474	-0.0727546
4	3.03686	-1.38642	3.77191	1089	0	109	1089	218	327	436	545	653	762	871	980	0.0410753	5914	0	109	1089	218	327	436	545	653	762	871	980	1.364	1.576	1.5728	1.4584	1.5408	1.404	1.388	1.3536	1.5632	1.7744	1.5864	1.50742	2	0.2	0.195973	0.193229	0.171988	0.19857	0.181813	0.180747	0.195733	0.258667	0.273652	0.26352	0.210354	0.247865	0.149601	0.0362043	0.0286114	0.0461127	0.104064	0.107297	0.116232	0.0730646	0.0805504	0.0803532	0.128145	0.0985085	0.105304	0.121614	0.171968	0.0420612	0.147012	0.15242	0.156056	0.193208	0.0761498	0.0972112	0.297847	0.300004	0.309983	0.369467	0.301205	0.334825	0.350705	0.171287	0.19994	0.212662	0.245949	0.194646	0.212178	0.240295	0.133182	0.140371	0.158529	0.172813	0.195186	0.16233	0.166053	0.189961	0.146695	0.0262863	0.112756	0.139173	0.155758	0.196637	0.139026	0.15443	0.184932	0.192596	0.0547707	0.0304944	0.0759731	0.0776353	0.0597128	0.0803063	0.0160745	0.00888325	-0.107367	-0.00455729	0.0627964	0.00837521	0.00721678	-0.00952489	0.00150027	-0.0581051	-0.084196	-0.182023	-0.0809006	-0.0174981	-0.0721842	-0.0189233	-0.00486685	-0.0734657	-0.0830385	-0.192263	-0.0835687	-0.0179506	-0.0764025	0.0133333	-0.0549769	-0.0626911	-0.188157	-0.0728175	-0.00315657	-0.0618941	-0.0525328	-0.0813916	-0.184524	-0.0873984	-0.0126218	-0.0693884	-0.0273973	-0.0948795	-0.0180055	0.0480357	-0.0097561	-0.116815	-0.00837743	0.0649997	0.0181518	0.108117	0.164062	0.134259	0.0428238	0.0264	-0.0255183
5	1.82929	-1.4951	2.56028	67	0	7	67	13	20	27	34	40	47	54	60	0.0319819	363	0	7	67	13	20	27	34	40	47	54	60	1.0944	1.2176	1.2624	1.0952	1.168	1.1048	1.064	1.0432	1.1328	1.2408	1.1416	1.14225	2	0.0536	0.0889	0.108999	0.0388242	0.0699758	0.0479467	0.02992	0.024	0.0603733	0.0934823	0.0661867	0.0620189	0.18838	0.629111	0.474323	0.294131	0.497452	0.729671	0.67926	0.619007	0.627394	0.642237	0.589663	0.729607	0.693141	0.642201	0.577427	0.77833	0.538653	0.769071	0.679795	0.61361	0.81802	0.608308	0.6708	0.744737	0.641014	0.566632	0.804003	0.699076	0.781664	0.851445	0.661125	0.639212	0.574018	0.767378	0.690437	0.735547	0.783734	0.627845	0.549024	0.612018	0.571118	0.664924	0.635961	0.634355	0.660916	0.526031	0.420475	0.606109	0.601434	0.535397	0.736403	0.656706	0.696023	0.750933	0.627729	0.491863	0.357648	0.056882	0.129991	-0.158333	-0.158333	-0.183333	-0.214286	-0.166667	0.130952	0.0522727	-0.239583	0.0791023	-0.201923	-0.172222	-0.116071	-0.261364	-0.298611	-0.0173611	0.129371	-0.0895833	-0.259259	-0.303419	-0.264957	-0.194444	-0.340278	-0.271605	-0.0261708	-0.259259	0.0677083	0.0576923	-0.0833333	-0.128788	0.0512821	0.219697	0.0694444	-0.0897436	-0.163717	-0.245833	0.025641	0.167749	0.0833333	-0.12029	-0.111111	0.0333333	0.292011	-1.23358e-17	-0.197917	0.222222	0.334499	0.166667	0.261649	0.383438	0.299769	0.0994561	0.00932401	-0.0654417
6	2.09557	-0.701724	2.90519	125	0	13	125	25	38	50	63	75	88	100	113	0.198736	804	0	13	125	25	38	50	63	75	88	100	113	1.1968	1.3392	1.3456	1.2544	1.2848	1.2664	1.2856	1.296	1.3848	1.5112	1.356	1.32007	2	0.1092	0.12334	0.12183	0.0905212	0.105709	0.120107	0.128587	0.164133	0.175413	0.18355	0.160427	0.134802	0.177303	0.25876	0.0859805	0.065907	0.0970862	0.364607	0.344362	0.327977	0.266054	0.265448	0.248679	0.321576	0.26565	0.273663	0.265097	0.336492	0.101758	0.25716	0.280269	0.268718	0.333095	0.130156	0.103844	0.34358	0.378631	0.373331	0.437712	0.336256	0.261906	0.253684	0.26868	0.327222	0.322261	0.366524	0.283284	0.230238	0.208333	0.0924173	0.242234	0.300945	0.295444	0.305175	0.245158	0.217911	0.195956	0.113226	0.0572375	0.263993	0.31143	0.304365	0.358673	0.271151	0.227039	0.206395	0.118215	0.05332	0.0536037	0.0943775	0.110243	0.0961538	0.0924797	0.104444	0.090535	0.0387324	0.0528455	0.0232955	-0.00106838	0.0151801	0.0344888	0.0402369	0.0577652	0.0180412	-0.0574128	-0.0273297	-0.0481795	-0.078125	-0.0124444	0.00962596	0.013285	0.00170068	-0.0654762	-0.0378251	-0.0563886	-0.0940171	-0.0165525	-0.0225061	-0.0627778	-0.169065	-0.0827506	-0.0544613	-0.127622	-0.0492725	-0.0516796	-0.169591	-0.0925926	-0.0508604	-0.117424	-0.0152778	-0.135989	-0.0737548	-0.0177739	-0.0903614	-0.119818	-0.0469012	0.00819352	-0.0612613	0.0867508	0.135811	0.0836187	0.0434643	0.0100457	-0.0387319
7	3.29066	-0.649374	2.01319	1953	0	195	1953	391	586	781	977	1172	1367	1562	1758	0.224195	103	0	195	1953	391	586	781	977	1172	1367	1562	1758	1.3104	1.4888	1.4984	1.4744	1.5576	1.476	1.504	1.5712	1.6496	1.9328	1.612	1.55229	2	0.1716	0.162573	0.161281	0.166436	0.183261	0.203733	0.214293	0.3144	0.276853	0.270577	0.258987	0.216727	0.214985	0.040198	-0.000417066	0.00402061	0.000855106	0.015722	0.0225905	0.0240416	0.00126289	0.020385	0.0176492	0.0183179	0.0114851	0.0355991	0.0427446	0.0371815	0.0127728	0.0193804	0.0475498	0.0449923	0.0374884	0.00536764	0.00364407	0.0868095	0.171215	0.18448	0.15947	0.130462	0.0647832	0.0623497	0.0161891	0.0894888	0.0913081	0.0792186	0.0544694	0.0291614	0.0234358	0.0135624	0.00282287	0.0505353	0.0492379	0.0454341	0.0320917	0.0133021	0.0166965	0.0405033	-0.00452014	0.0165651	0.0864972	0.0928719	0.0814336	0.0614153	0.033853	0.0285714	0.0456128	-0.00152849	0.00343622	0.0965074	0.0882716	0.070614	0.0796821	0.034359	0.0387427	-0.0103834	0.0170509	0.0875523	0.0398551	-0.00341236	-0.0206699	-0.00999071	-0.0518125	-0.0475858	-0.109848	-0.0692754	-0.00312002	-0.0507515	-0.0180122	-0.00615006	-0.0484634	-0.0412384	-0.105556	-0.0618102	-0.00186763	-0.0469799	0.00909392	-0.0326797	-0.0238645	-0.0877083	-0.0453348	0.0150726	-0.0273998	-0.0417567	-0.0378634	-0.122528	-0.0635314	0.00301649	-0.0453306	-0.000384025	-0.0758076	-0.012848	0.055251	-0.000789889	-0.0895789	-0.0127946	0.0498757	-0.00883002	0.0691581	0.148678	0.0748863	0.0665166	0.0111111	-0.0572996
8	1.82857	-0.620268	2.87331	67	0	7	67	13	20	27	34	40	47	54	60	0.239735	747	0	7	67	13	20	27	34	40	47	54	60	1.2136	1.3464	1.3696	1.2232	1.2496	1.2264	1.2368	1.2072	1.2856	1.4184	1.2728	1.27724	2	0.116933	0.131007	0.13178	0.0924121	0.1008	0.104053	0.107627	0.116133	0.1248	0.15039	0.123627	0.118142	0.170875	0.301197	0.100419	0.0717662	0.120326	0.419974	0.392706	0.376045	0.350683	0.352791	0.333086	0.412332	0.316319	0.320991	0.298666	0.397677	0.126292	0.310717	0.317857	0.293848	0.376243	0.153199	0.136548	0.320109	0.33158	0.311571	0.41176	0.324651	0.264953	0.243066	0.31086	0.333778	0.31696	0.377265	0.342602	0.284436	0.24754	0.122237	0.280796	0.332204	0.318303	0.352895	0.313579	0.25531	0.227536	0.115067	0.0711694	0.325091	0.344772	0.327196	0.412371	0.364756	0.311266	0.270034	0.154648	0.120302	0.0859587	0.089813	0.113992	-0.0141509	0.0304487	0.00905797	-0.0329861	-0.0486111	-0.102564	0.041744	0.0407407	0.0284185	-0.0922222	-0.0625	-0.130208	-0.131356	-0.129573	-0.164216	-0.0453566	-0.0725446	-0.147829	-0.0771144	-0.149718	-0.141414	-0.150132	-0.164303	-0.0386653	-0.0813492	0.0121359	-0.0376344	-0.0471698	-0.0973783	-0.0384058	0.0504858	-0.0274725	-0.0105994	-0.0261364	-0.113889	-0.0608108	0.0289206	-0.0537634	0.00666667	-0.0712366	-0.021164	0.0588118	-0.00485437	-0.0932099	-0.00115741	0.0721212	0.00656168	0.0787037	0.114015	0.0563187	0.041039	-0.0168612	-0.0543303
9	3.30842	-1.90194	3.05691	2034	0	203	2034	407	610	814	1017	1220	1424	1627	1831	0.012533	1140	0	203	2034	407	610	814	1017	1220	1424	1627	1831	1.1432	1.2424	1.2384	1.2008	1.2832	1.2296	1.2152	1.144	1.5696	1.7328	1.5456	1.32225	2	0.0782667	0.0889067	0.0837961	0.0788848	0.106097	0.109547	0.0996267	0.08	0.271413	0.285579	0.249973	0.139281	0.211552	0.327902	0.0484381	0.0276552	0.0703505	0.109687	0.101084	0.100183	0.133545	0.148517	0.172104	0.157301	0.187415	0.20754	0.219484	0.230185	0.101009	0.352999	0.368975	0.384077	0.387449	0.26068	0.270326	0.710981	0.693913	0.70111	0.713438	0.666348	0.671969	0.720686	0.353998	0.499357	0.508969	0.486946	0.467691	0.410887	0.465805	0.402929	0.214482	0.319304	0.326531	0.306248	0.316812	0.284904	0.337378	0.38837	0.103653	0.273404	0.410638	0.422808	0.404382	0.390603	0.348066	0.411404	0.51579	0.162416	0.0645044	0.0858553	0.0780977	0.0536398	0.0261044	0.00919913	-0.0610731	-0.252604	-0.0574935	-0.00726654	-0.00952381	0.00338319	-0.027897	-0.0340155	-0.0672496	-0.139963	-0.348136	-0.135823	-0.101044	-0.128413	-0.0240661	-0.0329861	-0.0796975	-0.138889	-0.349341	-0.124306	-0.094123	-0.122159	-0.00550314	-0.0423573	-0.103083	-0.312312	-0.0987859	-0.067288	-0.0853414	-0.0567633	-0.165162	-0.277286	-0.103147	-0.0611377	-0.0791667	-0.0853333	-0.211538	-0.0580808	-0.0178253	-0.0510204	-0.218553	-0.0103359	0.021542	0.0140845	0.301523	0.449636	0.338235	0.0804912	0.0483133	-0.0181266
