Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	3.66012	-0.412825	3.68799	4572	0	457	4572	914	1372	1829	2286	2743	3200	3658	4115	0.386523	4875	0	457	4572	914	1372	1829	2286	2743	3200	3658	4115	1.5376	1.8832	1.9	1.796	1.8224	1.6456	1.6592	1.5128	1.6608	1.9336	1.6664	1.72887	2	0.294	0.29618	0.293312	0.281818	0.293564	0.29008	0.296587	0.2804	0.292853	0.297773	0.299573	0.292376	0.295579	0.00843624	0.00944049	0.0143057	0.00526139	0.027064	0.0243945	0.0180179	0.0114139	0.00444195	0.0054074	0.0138941	0.0175577	0.00920136	0.00477898	0.0160494	-0.00734164	0.0148369	0.0177007	0.00902378	0.0183776	0.000877576	-0.000454752	0.0191257	0.00305126	0.0127365	0.0259422	-0.00480548	0.00752857	0.0165243	0.00910121	0.00321096	0.00448205	0.0164632	-0.00279536	-0.0042879	0.00357626	-0.00282009	0.0131048	0.0104173	0.0062234	0.0139904	0.00409713	-0.000159086	0.0104207	-0.000526647	-0.00545622	-0.000609649	0.00749235	0.0068219	0.0216426	0.010081	0.00321563	0.0100664	0.00785409	0.00673621	-0.00102548	0.0866554	0.0915055	0.0741811	0.0797872	0.0411359	0.0386115	-0.0135135	0.0512112	0.0921852	0.0370959	0.00819922	-0.0115716	-0.00688741	-0.0445087	-0.045739	-0.0896159	-0.0311999	0.00395603	-0.0400815	-0.0176846	-0.0147191	-0.0507102	-0.0529823	-0.0987654	-0.0407186	-0.00185092	-0.0515212	0.00110254	-0.0307298	-0.0347571	-0.0840807	-0.0189927	0.0154896	-0.0321994	-0.0350988	-0.035816	-0.0819833	-0.0236586	0.0110227	-0.0348008	-0.00327256	-0.0506101	0.0154101	0.0475961	0.000942951	-0.049729	0.0156615	0.0529432	0.00945626	0.0639251	0.096739	0.0516334	0.0366529	-0.0103725	-0.0467069
1	2.88694	-1.43422	2.05975	771	0	77	771	154	231	308	386	463	540	617	694	0.0367946	115	0	77	771	154	231	308	386	463	540	617	694	1.2728	1.5384	1.5392	1.3672	1.3128	1.2368	1.2328	1.2152	1.3096	1.5008	1.288	1.34669	2	0.150933	0.19268	0.180246	0.160582	0.120679	0.107893	0.105973	0.118267	0.13968	0.172589	0.129653	0.143561	0.182394	0.152041	0.0805119	0.0698032	0.103258	0.259493	0.256991	0.250085	0.180959	0.159281	0.130393	0.269158	0.169999	0.12565	0.101034	0.246391	0.0556895	0.168289	0.128578	0.0996827	0.245088	0.0815839	0.0816794	0.147562	0.0955161	0.0707565	0.218778	0.107314	0.112288	0.115142	0.151804	0.136393	0.109976	0.243924	0.120925	0.121942	0.10592	0.0592369	0.134922	0.16404	0.138722	0.244709	0.11907	0.0992133	0.0931766	0.0483383	0.0513878	0.144803	0.124835	0.0977869	0.230745	0.123839	0.122365	0.115516	0.0658575	0.0656799	0.0574654	0.107701	0.110951	0.0613821	0.061828	0.0296684	0.0568182	-0.00284091	0.0373711	0.113733	0.0524055	0.00605228	-0.051176	-0.0285695	-0.0640708	-0.0571742	-0.0888021	-0.0579136	0.00589906	-0.055161	-0.0436371	-0.0293601	-0.0492662	-0.0465686	-0.080079	-0.0509921	0.0117417	-0.0508405	0.00704225	-0.0155827	-0.00656985	-0.0505698	-0.0229659	0.0495824	-0.0128205	-0.0118644	-0.0190557	-0.049435	-0.0205224	0.0401515	-0.0164729	-0.000674764	-0.0221675	-0.00793651	0.0600991	0.00975976	-0.0383096	-0.0079023	0.0550469	2.4347e-18	0.0333333	0.0965141	0.0477239	0.0625	0.00765607	-0.0472494
2	3.48247	-0.791138	4.31555	3037	0	304	3037	607	911	1215	1519	1822	2126	2430	2733	0.161757	20680	0	304	3037	607	911	1215	1519	1822	2126	2430	2733	1.5544	1.8856	1.8976	1.7808	1.824	1.6432	1.6728	1.5344	1.6512	1.9248	1.6712	1.73091	2	0.303733	0.295907	0.297255	0.285758	0.2956	0.291307	0.30304	0.2936	0.292427	0.297617	0.305653	0.296536	0.299426	0.0130796	0.00628409	0.00419427	0.00146977	0.0498449	0.0367737	0.0357529	0.0127045	0.0132939	0.0122131	0.0380537	0.0137595	0.0112656	0.0143955	0.0502935	0.00928101	-0.000508556	-0.000784078	0.00102742	0.0260533	-0.00206129	-0.0107937	0.00078064	0.000822958	0.0103748	0.0254999	0.00389693	0.00989819	-0.00817706	0.0176058	0.0135732	0.00785739	0.037463	0.0133278	0.0130748	0.00253127	-0.0102044	0.0155778	0.011248	0.0118664	0.0336845	0.010064	0.0119647	-0.0010953	-0.00430298	0.00316652	0.00114648	0.00134904	0.00413135	0.0320391	-8.71788e-05	0.0100531	-0.00466549	-0.0226109	0.000683202	-0.0080127	0.0760685	0.0765736	0.0639253	0.0744089	0.026378	0.0436944	-0.00649913	0.0389593	0.0838558	0.0388462	-0.000375197	-0.0154915	-0.00830764	-0.0460048	-0.0370316	-0.0845083	-0.0422949	0.00242667	-0.0372199	-0.0136564	-0.00676819	-0.0479768	-0.0330454	-0.0857488	-0.039807	0.0017712	-0.0368414	0.00758417	-0.0321012	-0.0199021	-0.0713083	-0.0237171	0.0172668	-0.0192226	-0.0425554	-0.0269967	-0.0785075	-0.0296556	0.00925843	-0.0318089	0.0159501	-0.0428686	0.0125118	0.0509756	0.0140252	-0.0461942	-0.0070028	0.0377217	0.0044289	0.0412116	0.0850202	0.0494306	0.0392083	0.000701262	-0.0369187
3	2.52325	-0.943152	2.16468	334	0	33	334	67	100	134	167	200	234	267	301	0.113985	146	0	33	334	67	100	134	167	200	234	267	301	1.2736	1.5384	1.544	1.2632	1.1608	1.1312	1.1264	1.128	1.172	1.2824	1.168	1.25345	2	0.1492	0.182093	0.176591	0.125915	0.0636485	0.05952	0.0589867	0.0705333	0.0765867	0.0943134	0.07136	0.102613	0.144991	0.214525	0.0394229	0.0316732	0.0607233	0.40315	0.365421	0.361186	0.292425	0.177408	0.161561	0.448551	0.232662	0.124432	0.116988	0.410276	0.0819484	0.230921	0.125982	0.11226	0.407403	0.0586677	0.0657323	0.181321	0.10348	0.091073	0.388414	0.184739	0.177006	0.175184	0.195596	0.121437	0.109662	0.400827	0.171034	0.167374	0.151724	0.0711142	0.234853	0.19462	0.179656	0.42856	0.14817	0.127326	0.119823	0.0387242	0.0345431	0.20651	0.119724	0.112635	0.400926	0.169495	0.159589	0.135887	0.0576663	0.0665171	0.0454072	0.111194	0.117365	-0.0664557	0.0407407	0.00775194	0.0248016	-0.0233333	-0.0140693	0.0875947	0.0400433	0.00996424	-0.103333	-0.0194444	-0.0399465	-0.0112028	-0.0934211	-0.0432848	0.0313995	-0.0252083	-0.122222	-0.0240595	-0.0540541	-0.0223214	-0.103877	-0.0655136	0.014506	-0.0398429	0.0816832	0.0731481	0.0979853	0.0288462	0.0740741	0.145062	0.107724	-0.0388199	-0.0252058	-0.0606884	-0.0446735	0.0478983	-0.0292553	0.00987654	-0.0471888	-0.00568182	0.0655201	0.0227273	-0.077381	-0.0517241	0.0365079	-0.00383142	0.0645161	0.12695	0.0701389	0.0674142	0.0194064	-0.0533135
4	3.55846	-1.29339	1.99478	3618	0	362	3618	724	1085	1447	1809	2171	2533	2894	3256	0.0508876	99	0	362	3618	724	1085	1447	1809	2171	2533	2894	3256	1.5416	1.8632	1.9032	1.784	1.8168	1.644	1.6504	1.5224	1.656	1.9072	1.6432	1.72109	2	0.2972	0.288413	0.299179	0.289758	0.293988	0.287733	0.291947	0.2856	0.295093	0.293884	0.291733	0.29223	0.296609	0.0139757	0.00365314	0.000474073	0.00325216	0.0227603	0.0244601	0.0271798	0.0206917	0.0156059	0.0113653	0.0289252	0.016357	0.0147194	0.00978557	0.0348235	0.0125345	0.0265175	0.0151935	0.00903703	0.0287597	0.0088155	0.0119091	0.015873	0.00712022	0.0068401	0.0311365	0.00979554	0.0190313	0.0095629	0.0072209	0.00113165	0.00667521	0.0270417	0.0085243	0.00864832	0.00102859	-0.00734257	0.013627	0.0131788	0.0118626	0.0296839	0.0118163	0.0149846	0.00881807	0.00301149	-0.00409818	0.0271203	0.0167975	0.0125647	0.0331766	0.0119619	0.0146614	0.00944335	0.00747282	-0.00698597	0.00844147	0.0706034	0.0790828	0.0593324	0.0712078	0.0200372	0.038172	-0.00182482	0.0408705	0.075385	0.0324149	0.00430086	-0.011323	-0.0076193	-0.0492284	-0.0378433	-0.0700248	-0.0273182	0.00479786	-0.0418225	-0.0172263	-0.0105219	-0.0557537	-0.0436699	-0.0772339	-0.0379907	5.67472e-05	-0.0493974	0.00508475	-0.0403121	-0.0264413	-0.0637109	-0.0228252	0.0179426	-0.0293803	-0.0456989	-0.031104	-0.0614875	-0.0259121	0.0111583	-0.0361458	0.0133236	-0.0217391	0.02	0.054741	0.0095648	-0.0279139	0.00510204	0.0428806	-0.00913901	0.037007	0.0759982	0.0261518	0.0357489	-0.00832145	-0.049176
5	1.92706	-0.938328	1.94205	85	0	9	85	17	26	34	43	51	59	68	77	0.115258	88	0	9	85	17	26	34	43	51	59	68	77	1.1808	1.32	1.356	1.1184	1.1496	1.1144	1.0904	1.1032	1.1688	1.3008	1.1456	1.18618	2	0.1004	0.12688	0.140727	0.0522061	0.0674667	0.0554133	0.04176	0.0576	0.0776	0.115927	0.0648	0.0818891	0.148114	0.378358	0.196314	0.1133	0.228232	0.628662	0.554566	0.509949	0.41457	0.401429	0.347391	0.624563	0.381941	0.346867	0.285446	0.632783	0.16494	0.415953	0.34992	0.286656	0.648762	0.237749	0.23338	0.356153	0.327061	0.263299	0.635358	0.383108	0.37585	0.421321	0.360045	0.357758	0.303373	0.614	0.39442	0.366737	0.388525	0.214382	0.306289	0.368381	0.328935	0.50841	0.328389	0.267434	0.265599	0.126748	0.128455	0.361965	0.341098	0.282275	0.615575	0.377283	0.352609	0.374974	0.247843	0.218918	0.112141	0.0863095	0.116231	0.216667	-0.0555556	6.93889e-18	0.202381	0.178571	0.0952381	0.207386	0.119048	0.0372741	0.291667	-0.252315	-0.114583	0.03125	-0.0535714	-0.00297619	0.106534	0.0922619	0.277778	-0.143939	-0.123457	0.0617284	-0.107639	-0.047619	0.109428	0.119048	-0.466667	-0.3	-0.133333	-0.4375	-0.208333	-0.193939	-0.233333	-0.0121655	-0.0243711	0.0833333	0.130952	0.296212	0.3125	0.0440613	0.047619	0.111111	0.213805	0.166667	-0.190476	-0.0555556	0.0227273	0.0238095	0.0780591	0.167636	0.123016	0.090983	0.00793651	-0.0725766
6	2.02487	-0.695951	3.45084	106	0	11	106	21	32	42	53	64	74	85	95	0.201395	2824	0	11	106	21	32	42	53	64	74	85	95	1.2696	1.4568	1.4776	1.18	1.2912	1.24	1.2256	1.2232	1.2984	1.4368	1.2928	1.30836	2	0.147867	0.16768	0.170949	0.0769212	0.115309	0.113227	0.105173	0.123067	0.133813	0.156561	0.135787	0.131487	0.192561	0.301041	0.107219	0.0851625	0.0993607	0.611779	0.511066	0.489616	0.312763	0.268834	0.255726	0.561407	0.293671	0.231212	0.226845	0.577132	0.0912028	0.321221	0.26405	0.254672	0.603005	0.123487	0.121559	0.286266	0.235133	0.215108	0.589881	0.247657	0.250043	0.285252	0.291242	0.252629	0.240246	0.561227	0.256674	0.232053	0.2757	0.107239	0.271031	0.270144	0.255038	0.48509	0.240418	0.212826	0.249487	0.0880327	0.0612325	0.266598	0.235228	0.215682	0.547194	0.237949	0.214854	0.259142	0.112316	0.0627318	0.0471472	0.0978333	0.100802	-0.124369	0.0693642	0.0636095	0.0214885	0.0357143	0.043501	0.128582	0.0474684	0.019875	-0.204969	-0.0228041	-0.0347547	-0.0637376	-0.048913	-0.0440388	0.0358484	-0.029732	-0.178136	-0.0341592	-0.0427752	-0.07526	-0.0478979	-0.046841	0.0296534	-0.0313531	0.166667	0.1577	0.129691	0.129762	0.145285	0.227094	0.155303	-0.0253165	-0.0672131	-0.0412281	-0.0339052	0.0489177	-0.00653595	-0.0399501	-0.0139665	-0.0229592	0.0762939	3.18033e-18	0.0153257	0.0254386	0.10891	0.0412281	0.0201923	0.0936043	0.0370748	0.0603409	0.0157127	-0.0484692
7	3.55622	-1.33321	2.69569	3599	0	360	3599	720	1080	1440	1800	2159	2519	2879	3239	0.0464287	496	0	360	3599	720	1080	1440	1800	2159	2519	2879	3239	1.5312	1.8752	1.892	1.7616	1.796	1.6472	1.6408	1.5168	1.6608	1.9208	1.6368	1.71629	2	0.294667	0.29298	0.288601	0.2792	0.283842	0.290293	0.28864	0.285333	0.2952	0.29494	0.285973	0.289061	0.293571	0.0160308	-0.0131503	-0.00344031	0.00487891	0.021297	0.0301256	0.0342037	0.00617687	0.0136688	0.020913	0.0379728	-0.00346596	0.0045398	0.00838469	0.023304	0.00739206	0.0105302	0.0127487	0.0184042	0.0348461	0.0170483	0.0154195	0.00240798	0.0103866	0.0101133	0.0344692	0.023075	0.011721	0.0105293	-0.000537011	0.0215492	0.0207815	0.035584	0.019126	0.00786263	0.0108133	0.0151057	-0.00382432	0.015144	0.017218	0.0282876	0.0184249	0.010321	0.00568709	0.00315827	0.0081536	-0.0115854	0.0113951	0.0133882	0.0344075	0.0187312	0.0087156	0.00867965	0.0114744	0.00725782	0.00500802	0.0726662	0.0813661	0.0589959	0.066792	0.0413212	0.0226231	-0.0160681	0.0310781	0.0761826	0.0386855	0.00664222	-0.0181747	-0.0059305	-0.0365033	-0.0463079	-0.081086	-0.0428564	0.00406919	-0.0382207	-0.0255435	-0.0148872	-0.042269	-0.0530986	-0.0861555	-0.0544768	-0.00281378	-0.0458333	0.00907494	-0.015793	-0.0257104	-0.0639019	-0.0267697	0.0204448	-0.0210074	-0.0321921	-0.0408581	-0.0724359	-0.0342569	0.00905999	-0.0350354	-0.013702	-0.0434149	-0.00856583	0.0417998	-0.00507357	-0.0316043	0.00320988	0.0488032	0.00654582	0.0387464	0.0854377	0.0403824	0.048585	0.00744048	-0.040664
8	2.86211	-1.94149	2.40407	728	0	73	728	146	218	291	364	437	510	582	655	0.0114423	254	0	73	728	146	218	291	364	437	510	582	655	1.1056	1.3072	1.336	1.1328	1.156	1.0872	1.0704	1.0576	1.1584	1.4272	1.1328	1.1792	2	0.0585333	0.1242	0.134499	0.0598909	0.0696606	0.0420267	0.0319467	0.0316	0.07184	0.168184	0.05776	0.0772856	0.139927	0.288676	0.19913	0.140798	0.278964	0.391216	0.386291	0.348101	0.321487	0.34386	0.318137	0.448143	0.296898	0.264235	0.224279	0.423634	0.286556	0.345627	0.268194	0.22214	0.438658	0.322673	0.315625	0.245114	0.207258	0.157427	0.385218	0.295555	0.284614	0.312722	0.245822	0.26681	0.229247	0.406973	0.344501	0.296154	0.289349	0.192482	0.160122	0.293848	0.279295	0.314703	0.285149	0.19775	0.184109	0.126505	0.126485	0.232883	0.249249	0.202103	0.390095	0.319519	0.259499	0.268696	0.19516	0.180438	0.129997	0.125	0.132877	0.0436508	0.129902	0.0666667	0.0804094	-0.0673077	0.0163934	0.0972727	0.103495	0.0102454	-0.0592262	0.0126029	-0.0686275	-0.032277	-0.132937	-0.0856808	2.59255e-18	-0.015411	-0.051252	0.00246132	-0.0649573	-0.0625	-0.137179	-0.100457	-0.00808081	-0.0225225	0.0373134	0.0339506	-0.012931	-0.0496795	-0.0442708	0.0360108	0.0282051	-0.039644	-0.0360082	-0.184722	-0.106061	-0.01875	-0.0350242	-0.0112613	-0.0756173	-0.0401235	0.046133	0.0175439	-0.0950292	-0.0638889	0.0475301	0.0282486	0.0392157	0.133078	0.0935673	0.0745368	0.0516667	-0.0220468
9	2.17711	-0.980019	2.47065	150	0	15	150	30	45	60	75	90	105	120	135	0.104708	296	0	15	150	30	45	60	75	90	105	120	135	1.2032	1.3608	1.3896	1.176	1.1512	1.1176	1.0976	1.1024	1.192	1.3288	1.1728	1.20836	2	0.111733	0.13324	0.14514	0.0807636	0.0662182	0.05648	0.0442667	0.0552	0.0862933	0.123401	0.0766933	0.089039	0.144866	0.307957	0.122411	0.0636839	0.143041	0.526928	0.486592	0.463827	0.358491	0.310146	0.282781	0.561219	0.324486	0.2564	0.226233	0.551105	0.131884	0.331491	0.240239	0.208952	0.553566	0.174683	0.176308	0.270396	0.219343	0.178722	0.531479	0.290983	0.299708	0.304535	0.259474	0.250916	0.217034	0.522946	0.298107	0.260838	0.259677	0.104713	0.23944	0.283404	0.261284	0.465794	0.256102	0.207559	0.186255	0.0599405	0.0706734	0.274733	0.248137	0.212111	0.529526	0.288721	0.268814	0.263636	0.153502	0.109038	0.0757451	0.115032	0.104523	-0.0479798	0.0526316	0.0743243	0.0380952	-0.0564516	0.0912698	0.0588843	0.0852713	0.0136518	-0.123311	-0.0525568	-0.0234929	-0.0910853	-0.142361	-0.0195833	-0.0208698	-0.0216667	-0.157895	-0.0888889	-0.0752315	-0.124691	-0.137346	-0.0272331	-0.0258243	-0.0250545	0.122396	0.132812	0.0735294	0.0320513	0.209596	0.143162	0.203431	-0.0255102	-0.0396825	-0.0726496	0.0357143	0.0669697	0.0462963	0.00308642	-0.0637255	0.0515873	0.0524242	0.0465116	-0.0166667	0.0833333	0.0857511	0.103175	0.0577558	0.114617	0.0899621	0.0445036	-0.00804598	-0.0468814
