Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	1.89131	-1.72968	2.43969	78	0	8	78	16	23	31	39	47	55	62	70	0.0186344	275	0	8	78	16	23	31	39	47	55	62	70	1.0632	1.1792	1.2008	1.104	1.1568	1.076	1.0144	1.004	1.064	1.2208	1.1128	1.10873	2	0.0337333	0.0746467	0.0827242	0.0424242	0.0635394	0.0344533	0.00698667	0.00213333	0.0288533	0.0809524	0.0510933	0.0455946	0.195049	0.715295	0.554465	0.488367	0.624038	0.742857	0.720489	0.70774	0.653247	0.683593	0.676085	0.74666	0.756973	0.698632	0.681135	0.79592	0.606478	0.89764	0.761536	0.741212	0.8598	0.74111	0.855352	0.890517	0.740889	0.722031	0.848279	0.778313	0.888774	0.977271	0.832775	0.751524	0.737107	0.839438	0.781902	0.854949	0.927664	0.806548	0.604554	0.676619	0.67378	0.712814	0.67837	0.677407	0.743228	0.483954	0.456083	0.712161	0.690464	0.678224	0.779554	0.713595	0.771238	0.866298	0.764098	0.712192	0.507314	0.0379464	0.0696041	-0.0909091	-0.272727	-0.261111	-0.395833	-0.386364	-0.24359	-0.172727	-0.183333	-0.000245098	-0.0381944	-0.243056	-0.170139	-0.198864	-0.3125	-0.166667	-0.0121212	-0.0119048	-0.106838	-0.0111111	-0.106838	-0.213675	-0.217172	-0.0897436	0.0191919	-0.0518519	-0.0972222	-0.179487	-0.256944	-0.208333	-0.0128205	0.0416667	-0.111111	-0.131653	-0.374498	-0.111111	-0.0238095	0.132102	-0.0572917	-0.25	-0.0769231	0.0444444	0.0993266	0	0	0.152778	0.25974	0.178571	0.144309	0.348148	0.372896	0.2391	0.171756	-0.0864229
1	2.61183	-1.60977	2.64187	409	0	41	409	82	123	164	205	245	286	327	368	0.0245603	438	0	41	409	82	123	164	205	245	286	327	368	1.0888	1.2328	1.232	1.108	1.2096	1.1856	1.1184	1.092	1.2816	1.4344	1.3016	1.20771	2	0.05	0.0929933	0.0894431	0.0491273	0.0861818	0.088	0.05168	0.0504	0.130507	0.17396	0.143253	0.0914132	0.165334	0.404436	0.17889	0.116024	0.236436	0.435517	0.413168	0.382888	0.264781	0.338025	0.315152	0.436317	0.333798	0.363951	0.351936	0.505621	0.153985	0.622963	0.536551	0.531299	0.677512	0.435476	0.434341	0.619697	0.526381	0.511543	0.67842	0.550135	0.585927	0.75069	0.374674	0.441578	0.42804	0.539731	0.447758	0.440937	0.595819	0.412676	0.286447	0.398384	0.383712	0.420527	0.387514	0.378917	0.483107	0.353596	0.160814	0.351152	0.436773	0.421894	0.533005	0.439374	0.427339	0.581728	0.457438	0.183726	0.122055	0.0798611	0.118932	-0.0138889	-0.00775194	-0.113636	-0.336538	-0.3	-0.0344828	-0.0163352	-0.120968	0.0282073	-0.122967	-0.0576637	-0.130208	-0.304617	-0.44	-0.0748874	-0.0974026	-0.127193	-0.124677	-0.0922432	-0.183463	-0.338542	-0.39372	-0.0694444	-0.0851371	-0.145833	0.0307018	-0.0194444	-0.181159	-0.154762	0.0505952	-0.00261233	0.0297619	-0.1	-0.272549	-0.2375	0.00252525	-0.0108225	-0.0717593	-0.224638	-0.117647	0.0666667	0.126437	0.0722222	0.0297619	0.175926	0.354257	0.258333	0.247653	0.348654	0.204096	0.0369507	-0.00428922	-0.0267426
2	2.7828	-0.600653	3.65874	606	0	61	606	121	182	242	303	364	424	485	545	0.250811	4558	0	61	606	121	182	242	303	364	424	485	545	1.3744	1.6168	1.6264	1.4824	1.5664	1.4568	1.464	1.5032	1.6104	1.8288	1.6136	1.55847	2	0.207333	0.210967	0.208659	0.190121	0.207624	0.209227	0.218133	0.2784	0.276	0.273153	0.27344	0.232096	0.253542	0.106376	0.0172409	0.0198612	0.0135915	0.144778	0.146408	0.14454	0.0814103	0.0665295	0.0672159	0.151808	0.0655675	0.0704587	0.0668481	0.179522	0.0309423	0.0680295	0.0563657	0.0659617	0.166061	0.0263039	0.0214126	0.1974	0.23646	0.230134	0.298199	0.239271	0.22112	0.218631	0.109952	0.132226	0.128688	0.205635	0.136481	0.130487	0.122217	0.0261858	0.0813873	0.114725	0.103799	0.176177	0.112151	0.103438	0.106822	0.0481039	0.00230685	0.0784981	0.108921	0.0966988	0.180942	0.103396	0.0953016	0.0830376	0.0591653	0.00639769	0.00672114	0.0792304	0.080487	0.0468397	0.0788818	0.0447059	0.040684	-0.0211864	0.0172276	0.0783715	0.0371018	0.00265304	-0.0407035	-0.00499232	-0.0405963	-0.0458851	-0.11128	-0.0581725	0.00306651	-0.0431791	-0.0426434	-0.00750981	-0.0467149	-0.047605	-0.111837	-0.0603517	-0.00406396	-0.0429695	0.0293491	-0.0065024	-0.0158076	-0.0707908	-0.0207439	0.046247	-0.00757576	-0.0396341	-0.0449827	-0.105923	-0.0563492	0.00776486	-0.0394654	-0.00425671	-0.0608567	-0.029476	0.0395452	0.00287977	-0.0632403	-0.0151188	0.0515315	0.00858369	0.0790563	0.13222	0.102629	0.0516316	0.0216843	-0.0306084
3	1.83407	-1.76219	1.74892	68	0	7	68	14	20	27	34	41	48	54	61	0.0172907	56	0	7	68	14	20	27	34	41	48	54	61	1.0528	1.1784	1.1792	1.1056	1.14	1.0672	1.052	1.0024	1.06	1.1304	1.0728	1.09462	2	0.0294667	0.0727667	0.0717333	0.0449091	0.0573455	0.03168	0.02496	0.0012	0.02736	0.0488208	0.03216	0.0402184	0.207509	0.776718	0.605117	0.553564	0.685287	0.754862	0.762158	0.753576	0.706017	0.746734	0.734513	0.789773	0.814424	0.763538	0.750871	0.831016	0.701359	0.851709	0.782923	0.770974	0.849469	0.732713	0.805257	0.902211	0.770006	0.757668	0.851937	0.815567	0.912834	0.934523	0.831136	0.770527	0.759115	0.838188	0.807179	0.877657	0.897098	0.712815	0.749962	0.781862	0.770474	0.814244	0.798699	0.82335	0.837792	0.491881	0.535633	0.784096	0.74227	0.727962	0.814449	0.780638	0.853039	0.876113	0.655695	0.654489	0.549911	0.066886	-0.0037037	-0.416667	-0.0208333	0.416667	0.1	-0.333333	-0.133333	-0.333333	-0.333333	-0.0507812	-0.0729167	-0.302083	-0.0520833	-0.2	-0.541667	-0.433333	-0.541667	-0.541667	0	0.212963	-0.0277778	-0.037037	-0.0277778	-0.0277778	-0.0277778	-0.0277778	0.0833333	0	0.25	0	0.277778	0	0	-0.150285	-0.153302	-0.375	-0.0208333	-0.375	-0.375	-0.0761494	0	-0.25	0	0	-0.222222	-0.233333	-0.222222	-0.222222	0.135256	0.180657	0.226378	0.0808081	0.107843	0.0401979
4	1.74217	-1.23166	3.18875	55	0	6	55	11	17	22	28	33	39	44	50	0.0586591	1544	0	6	55	11	17	22	28	33	39	44	50	1.1448	1.26	1.3056	1.1184	1.2016	1.128	1.1072	1.0264	1.1744	1.2704	1.1928	1.17542	2	0.0797333	0.105987	0.121773	0.0499515	0.0848121	0.0578667	0.0512533	0.0145333	0.0808	0.103231	0.08896	0.0762637	0.20858	0.602665	0.346565	0.273592	0.396283	0.742083	0.675047	0.6382	0.580957	0.58063	0.542465	0.708149	0.640209	0.578918	0.532495	0.748118	0.412439	0.665301	0.59333	0.548403	0.758862	0.457244	0.497091	0.775876	0.653891	0.60213	0.832113	0.704945	0.800609	0.824518	0.646153	0.618342	0.570145	0.763924	0.650411	0.684721	0.706171	0.492488	0.588222	0.609676	0.575939	0.689928	0.615972	0.610314	0.62527	0.443617	0.270907	0.580445	0.572159	0.520025	0.727544	0.602016	0.631459	0.657905	0.562933	0.350187	0.310829	0.0721685	0.106263	-0.105159	0.0762712	0.00326797	-0.00320513	-0.15	0.0465116	0.0631818	0.0473485	0.0564167	-0.153212	0.00520833	-0.0663842	-0.0647727	-0.190789	-0.0572917	-0.0232257	-0.0400641	-0.289187	-0.0466667	-0.175926	-0.164021	-0.261364	-0.121864	-0.0675597	-0.0873016	0.142857	-0.00157233	0.0125786	-0.0833333	0.116667	0.142548	0.180556	-0.0634715	-0.108428	-0.193182	-0.069209	0.00244755	-0.0652778	-0.0289855	-0.115854	0.0440252	0.0893142	0.0943396	-0.0923423	0.0608974	0.116883	0.0392157	0.196607	0.302632	0.316893	0.0437593	0.0818452	0.00118283
5	3.05246	-0.7182	2.26601	1128	0	113	1128	226	338	451	564	677	790	902	1015	0.191337	185	0	113	1128	226	338	451	564	677	790	902	1015	1.1232	1.2016	1.1984	1.1752	1.1968	1.1632	1.1712	1.648	1.68	1.928	1.6368	1.37476	2	0.0666667	0.0678067	0.0670693	0.0673333	0.0710303	0.0757333	0.0774933	0.361467	0.30048	0.305188	0.272533	0.157527	0.170818	0.144677	0.0227702	-0.0066461	0.0160262	0.106085	0.108561	0.120319	0.0534979	0.0576682	0.0607266	0.106435	0.0755139	0.0758775	0.0811163	0.128633	0.0184095	0.0550641	0.0848704	0.0911153	0.148796	0.0366592	0.0238958	0.309685	0.51706	0.530531	0.494572	0.480948	0.377122	0.380836	0.118719	0.293886	0.304591	0.287748	0.26444	0.180879	0.187115	0.0660979	0.0343907	0.135914	0.143468	0.137246	0.121454	0.0769943	0.0829683	0.0846353	0.0117222	0.0627749	0.225325	0.230165	0.222388	0.200292	0.117766	0.128998	0.103294	0.018215	-0.000346936	0.11875	0.0977908	0.0762987	0.09	0.0603234	0.0460993	-0.0212264	0.074147	0.112768	0.0645363	-0.0152778	-0.0492424	-0.0287106	-0.0612958	-0.0766093	-0.140405	-0.0588822	-0.0101498	-0.061183	-0.0248167	-0.00721678	-0.0456577	-0.0660268	-0.120173	-0.0311245	0.00613938	-0.0373563	0.0198198	-0.0125	-0.0287698	-0.109877	-0.025974	0.0238928	-0.0170807	-0.0422886	-0.0509479	-0.111715	-0.0316456	0.0126858	-0.0235944	-0.0125448	-0.0792683	-0.0217391	0.0448519	0.00228311	-0.0629921	0.00694444	0.0587022	0.0146751	0.126227	0.203555	0.157783	0.074253	0.0315849	-0.0462921
6	1.81177	-1.57451	3.52711	65	0	7	65	13	20	26	33	39	46	52	59	0.0266375	3366	0	7	65	13	20	26	33	39	46	52	59	1.1232	1.2216	1.26	1.1336	1.2144	1.1368	1.1	1.0256	1.124	1.2592	1.1712	1.16087	2	0.0694667	0.0881667	0.103629	0.0542424	0.0853212	0.06352	0.0462933	0.0137333	0.0550933	0.0972606	0.0822933	0.0690018	0.230387	0.676853	0.496471	0.407878	0.534104	0.729868	0.708582	0.676045	0.625087	0.651784	0.633417	0.724073	0.662015	0.654153	0.61714	0.753326	0.481109	0.733508	0.691586	0.659192	0.792658	0.56694	0.608555	0.814947	0.729565	0.690954	0.828558	0.751983	0.818291	0.867831	0.751993	0.724893	0.687673	0.804638	0.736846	0.77337	0.815407	0.671684	0.65006	0.684983	0.666433	0.722542	0.687771	0.678987	0.707383	0.493539	0.395668	0.648126	0.655727	0.615391	0.741303	0.668728	0.683809	0.739914	0.681082	0.578741	0.462412	0.0734848	0.102669	-0.00502008	0.0714286	0.0263158	-0.0194805	-0.167969	-0.128571	0.041064	0.030754	-0.00603425	-0.12931	-0.0332031	-0.134177	-0.137153	-0.266304	-0.253289	-0.0504261	-0.0750868	-0.130991	-0.0445545	-0.115385	-0.162835	-0.255117	-0.203704	-0.0343915	-0.0756614	0.0970588	0.0335498	-0.0277778	-0.0820707	-0.0891204	0.0689394	0.0694444	-0.0341782	-0.128524	-0.225641	-0.210094	-0.0583583	-0.0407407	-0.0947368	-0.177596	-0.166667	-0.0224467	-0.0123457	-0.0960452	-0.0923077	0.0778409	0.0473251	0.111514	0.216523	0.269118	0.0886809	0.125179	0.00449321
7	2.24582	-0.456265	4.50059	176	0	18	176	35	53	70	88	106	123	141	158	0.349731	31666	0	18	176	35	53	70	88	106	123	141	158	1.4376	1.6808	1.716	1.3696	1.632	1.4984	1.5112	1.4216	1.5248	1.728	1.5392	1.55084	2	0.2396	0.247413	0.246871	0.14977	0.23983	0.23216	0.235787	0.232933	0.241013	0.254712	0.248373	0.233497	0.283905	0.189743	0.0260017	0.0199389	0.0295566	0.401889	0.338471	0.334158	0.171871	0.170268	0.165658	0.345748	0.187264	0.173385	0.174261	0.392628	0.0233937	0.171832	0.165708	0.168813	0.374301	0.0224514	0.0386413	0.218695	0.213657	0.199454	0.425137	0.212808	0.227586	0.215404	0.184001	0.185239	0.170469	0.381529	0.180601	0.183934	0.168759	0.0290275	0.164154	0.174269	0.162948	0.322115	0.166964	0.168487	0.161607	0.0419695	0.0244501	0.166058	0.174432	0.16097	0.372271	0.166281	0.169458	0.168301	0.0546476	0.030192	0.0199556	0.0698242	0.077632	-0.0364182	0.0877948	0.0391611	0.0323093	-0.0316159	0.0311375	0.0898779	0.0452036	0.00705749	-0.114605	0.00132913	-0.0420265	-0.052362	-0.113702	-0.051847	-0.000413961	-0.0457079	-0.120484	-0.0108158	-0.0542549	-0.0626573	-0.118056	-0.0523267	-0.000272058	-0.0485543	0.100731	0.0742063	0.0596313	0.00421941	0.0650738	0.116864	0.074452	-0.032344	-0.0403626	-0.116048	-0.0464912	0.00116889	-0.0406712	-0.0125839	-0.0732822	-0.00527009	0.0442792	0.00257898	-0.05828	0.0106796	0.0517718	0.0152091	0.0650298	0.102852	0.0803624	0.0352341	0.00654664	-0.0319499
8	2.02212	-0.332073	3.44149	105	0	11	105	21	32	42	53	63	74	84	95	0.465508	2764	0	11	105	21	32	42	53	63	74	84	95	1.2904	1.468	1.4664	1.1672	1.3104	1.2544	1.2592	1.2744	1.384	1.4936	1.38	1.34073	2	0.1604	0.170693	0.168659	0.0712242	0.122727	0.119733	0.123307	0.151867	0.17648	0.177694	0.1728	0.146871	0.202249	0.280051	0.0287936	0.0157088	0.0406493	0.573531	0.479435	0.466334	0.28797	0.258063	0.252828	0.527613	0.266486	0.23362	0.224248	0.556925	0.0455692	0.259497	0.237982	0.226804	0.551145	0.0571728	0.0645912	0.294472	0.29238	0.281425	0.602749	0.33694	0.32611	0.323041	0.239027	0.259941	0.253572	0.538335	0.279027	0.262743	0.258932	0.0690555	0.231616	0.255705	0.246397	0.447512	0.239292	0.221139	0.221186	0.0699565	0.0288575	0.239262	0.252277	0.245004	0.541706	0.259962	0.240655	0.244626	0.10403	0.0513279	0.0383633	0.0875947	0.0844528	-0.112745	0.0610269	0.0201149	0.0298574	-0.0560606	0.0117117	0.0504406	3.0334e-18	0.000203194	-0.211401	-0.0217087	-0.0731635	-0.0560897	-0.158882	-0.0820195	-0.0477789	-0.0896209	-0.195271	-0.00903614	-0.0498708	-0.0472345	-0.139316	-0.0683951	-0.0303852	-0.0709325	0.180723	0.105811	0.133333	0.0569853	0.107778	0.173525	0.141892	-0.0256986	-0.0441919	-0.124141	-0.0356607	0.00509043	-0.0374449	-0.0083612	-0.0833333	-0.00520833	0.0474338	-4.996e-18	-0.0833333	2.76175e-18	0.0352011	-0.0147059	0.0729462	0.126195	0.0877844	0.0485671	0.00899844	-0.0373657
9	2.13091	-0.366124	2.29497	135	0	14	135	27	41	54	68	81	95	108	122	0.430404	197	0	14	135	27	41	54	68	81	95	108	122	1.2192	1.3608	1.372	1.132	1.1408	1.1256	1.1184	1.2568	1.3296	1.424	1.3088	1.25345	2	0.119867	0.12474	0.128078	0.0615636	0.0557576	0.0599467	0.0541867	0.142267	0.14592	0.152232	0.13696	0.107411	0.148793	0.270793	0.0593159	0.0393012	0.0498272	0.533001	0.433518	0.426591	0.348118	0.2188	0.221337	0.539877	0.316906	0.206015	0.205272	0.542933	0.0569225	0.303753	0.182201	0.185243	0.531064	0.0547769	0.0432191	0.325789	0.326743	0.326495	0.572855	0.458912	0.405529	0.394267	0.256967	0.26164	0.26341	0.502893	0.339555	0.294762	0.269091	0.0723196	0.231753	0.241244	0.246576	0.40496	0.238906	0.21515	0.18845	0.0624236	0.0223216	0.244803	0.238772	0.242403	0.490273	0.31905	0.273943	0.252295	0.0929293	0.0446112	0.0308852	0.141558	0.133687	-0.0178571	0.0878378	0.0732323	0.134804	0.0833333	0.122024	0.222359	0.148438	-0.00453999	-0.131944	0.0255682	0.00932018	0.0736789	-0.0120968	0.0292969	0.149892	0.0619658	-0.0555556	0.0742754	0.0498575	0.116531	0.0182292	0.0808081	0.166093	0.115278	0.166667	0.108025	0.181548	0.0868056	0.0833333	0.28719	0.238889	-0.0681342	-0.0182119	-0.0948276	-0.0285714	0.103755	0.00406504	0.0401891	-0.0493827	-0.00537634	0.145455	0.0648148	-0.0895062	-0.0245098	0.0797258	-0.0315315	0.11697	0.173066	0.133598	0.0579837	0.00932018	-0.0485083
