Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	3.40773	-1.70915	3.76129	2557	0	256	2557	511	767	1023	1279	1534	1790	2046	2301	0.0195368	5771	0	256	2557	511	767	1023	1279	1534	1790	2046	2301	1.3504	1.5296	1.5384	1.492	1.5224	1.4008	1.3288	1.3216	1.5616	1.7088	1.5816	1.48509	2	0.1928	0.18598	0.189997	0.182958	0.191127	0.18064	0.14896	0.1772	0.264533	0.27938	0.267147	0.20552	0.254592	0.184575	0.025442	0.0148238	0.0364648	0.0411054	0.0580861	0.0537888	0.0671585	0.0884631	0.0768175	0.0908993	0.0908942	0.120848	0.101675	0.12331	0.0567247	0.22021	0.224484	0.217578	0.231427	0.1634	0.1829	0.326783	0.334434	0.332783	0.340619	0.336518	0.355634	0.458161	0.233945	0.29741	0.290088	0.293721	0.299717	0.299454	0.382641	0.172664	0.15429	0.216271	0.208892	0.20425	0.22103	0.220661	0.279926	0.184403	0.0554196	0.155356	0.223269	0.213774	0.216711	0.233535	0.24258	0.320285	0.249208	0.0844329	0.0291513	0.0490591	0.0489672	0.0370992	0.0461073	-0.0181065	-0.037119	-0.112069	-0.0419162	0.00209882	-0.0320881	0.00147374	-0.01	-0.0129836	-0.0690187	-0.103963	-0.175176	-0.104219	-0.0495269	-0.0883689	-0.0155327	-0.0103505	-0.0654762	-0.111509	-0.180826	-0.105355	-0.0576661	-0.0886305	0.00291054	-0.0489766	-0.0831234	-0.16715	-0.0925687	-0.0437037	-0.0780098	-0.0513943	-0.118162	-0.170058	-0.10475	-0.0552406	-0.0821048	-0.0506894	-0.108086	-0.0375514	0.00941851	-0.0254563	-0.0793358	-0.0123043	0.0352931	0.00786164	0.0739958	0.176563	0.141743	0.060938	0.0380736	-0.021855
1	1.8524	-0.648252	3.08136	71	0	7	71	14	21	28	36	43	50	57	64	0.224775	1206	0	7	71	14	21	28	36	43	50	57	64	1.2248	1.3704	1.4024	1.2448	1.316	1.2432	1.2584	1.2392	1.3016	1.46	1.2888	1.30451	2	0.123867	0.135107	0.146186	0.0990667	0.118752	0.110347	0.116533	0.132533	0.136213	0.160315	0.134453	0.128488	0.179431	0.276893	0.11449	0.0760811	0.126657	0.373195	0.329332	0.305082	0.321855	0.303291	0.285028	0.340567	0.350413	0.319591	0.296311	0.364215	0.131837	0.292341	0.277722	0.251755	0.328286	0.119303	0.127385	0.369715	0.363761	0.330305	0.404805	0.28894	0.26507	0.238371	0.30757	0.31665	0.289898	0.34919	0.285288	0.290044	0.234822	0.198156	0.297357	0.319833	0.303021	0.308841	0.273069	0.267037	0.211717	0.171995	0.0749122	0.333681	0.32487	0.300487	0.361464	0.307865	0.308561	0.252818	0.21587	0.117391	0.0877348	0.0997191	0.0931713	0.0347222	0.101852	-0.034188	0.0376984	-0.0447761	-0.0331197	0.094697	0.0225225	0.00590872	-0.020073	0.0271667	-0.0672743	-0.0294811	-0.108974	-0.0617816	0.0272023	-0.0339419	-0.0472399	0.00689376	-0.105919	-0.0461394	-0.110465	-0.0658213	0.0235164	-0.0555556	0.029976	-0.0308908	-0.00378788	-0.125389	-0.0443989	0.044984	-0.043578	-0.064554	-0.0286458	-0.126832	-0.086689	0.014745	-0.0416667	0.0379464	-0.0477642	0.0333333	0.0933014	0.0336022	-0.0946078	-0.0438034	0.0366593	-0.0187793	0.0679612	0.140208	0.0778061	0.0454127	-0.0104575	-0.0600939
2	2.84145	-1.90429	3.09724	694	0	69	694	139	208	278	347	416	486	555	625	0.0124657	1251	0	69	694	139	208	278	347	416	486	555	625	1.1496	1.2624	1.2888	1.1792	1.3144	1.2224	1.164	1.0632	1.3336	1.4768	1.332	1.25331	2	0.0838667	0.105607	0.115712	0.0748606	0.125758	0.103413	0.0694933	0.0346667	0.155627	0.186719	0.157387	0.110283	0.19935	0.40984	0.179012	0.104761	0.223053	0.30693	0.315178	0.290803	0.235536	0.308226	0.282118	0.353262	0.338848	0.365443	0.34312	0.446119	0.218587	0.54838	0.50722	0.472226	0.589503	0.404734	0.42889	0.584385	0.478261	0.446895	0.581229	0.480734	0.593054	0.73014	0.44552	0.506319	0.485614	0.560298	0.494354	0.527759	0.617548	0.51971	0.343091	0.429964	0.417824	0.444216	0.432591	0.444366	0.510713	0.408257	0.187802	0.356527	0.440715	0.41451	0.497314	0.432364	0.470397	0.572749	0.512805	0.266833	0.127414	0.0744382	0.0529915	0.0172414	0.0653153	-0.0135501	-0.143707	-0.247253	-0.0870206	-0.0391791	-0.0853018	-0.0238955	-0.0559739	0.00835687	-0.0786192	-0.205054	-0.328277	-0.159135	-0.108578	-0.183363	-0.0268031	0.0251832	-0.0528361	-0.191358	-0.302083	-0.120513	-0.0807128	-0.132479	0.0583333	-0.0364583	-0.166667	-0.268977	-0.0977011	-0.0482194	-0.116935	-0.10848	-0.220609	-0.359223	-0.175546	-0.116992	-0.173358	-0.102963	-0.265957	-0.0907591	-0.0342215	-0.087156	-0.130631	0.037037	0.0813991	0.0259259	0.205208	0.282743	0.18609	0.0564317	0.0295414	0.00314837
3	2.04759	-1.62027	1.76112	112	0	11	112	22	34	45	56	67	78	90	101	0.0239733	58	0	11	112	22	34	45	56	67	78	90	101	1.072	1.1984	1.2224	1.1272	1.1912	1.1224	1.0872	1.0776	1.1848	1.272	1.1632	1.15622	2	0.0397333	0.0862267	0.0963712	0.0575152	0.0844606	0.05888	0.0402133	0.0424	0.0856	0.104481	0.07568	0.070142	0.181918	0.581445	0.429032	0.276793	0.467719	0.614632	0.626753	0.575714	0.475727	0.561288	0.51122	0.626511	0.576099	0.572807	0.512912	0.670045	0.343931	0.662368	0.60024	0.539402	0.704173	0.457981	0.556563	0.713622	0.629163	0.573965	0.725187	0.618621	0.697047	0.75829	0.587745	0.613265	0.563976	0.687892	0.605286	0.639681	0.680713	0.477049	0.52085	0.604183	0.570341	0.637897	0.591931	0.58961	0.607773	0.482305	0.347452	0.606682	0.616899	0.565407	0.695541	0.612211	0.655249	0.699793	0.618204	0.419578	0.297619	0.108073	0.073082	0.208333	0.208333	0.458333	0	-0.247253	-0.0870206	-0.0391791	-0.0853018	-0.0238955	-0.0559739	0.00835687	-0.0786192	-0.205054	-0.328277	-0.159135	-0.108578	-0.183363	-0.0268031	0.0251832	-0.0528361	-0.191358	-0.302083	-0.120513	-0.0807128	-0.132479	0.0583333	-0.0364583	-0.166667	-0.268977	-0.0977011	-0.0482194	-0.116935	-0.10848	-0.220609	-0.359223	-0.175546	-0.116992	-0.173358	-0.102963	-0.265957	-0.0907591	-0.0342215	-0.087156	-0.130631	0.037037	0.0813991	0.0259259	0.205208	0.282743	0.18609	0.0564317	0.0295414	0.00314837
4	3.24755	-0.363737	4.35075	1768	0	177	1768	354	530	707	884	1061	1238	1414	1591	0.432776	22426	0	177	1768	354	530	707	884	1061	1238	1414	1591	1.556	1.8648	1.8856	1.812	1.824	1.6544	1.6584	1.524	1.6536	1.9272	1.6624	1.72931	2	0.306933	0.29316	0.292471	0.293758	0.295503	0.294827	0.298347	0.287467	0.29216	0.299758	0.299787	0.295834	0.2994	0.0143239	0.013823	0.00873602	0.00661014	0.021008	0.014877	0.0140617	0.0152117	0.00924175	0.00995603	0.00801589	0.0263047	0.0308052	0.0193841	0.0210077	0.00726423	0.0193884	0.0175619	0.0155841	0.00626874	0.00276993	0.00429722	0.0316064	0.028503	0.0329599	0.0172288	0.0109892	0.0323845	0.0164336	0.0232272	0.0199701	0.0158319	0.0172525	0.0087467	0.0165897	0.00714392	-0.00287786	0.0231018	0.0188794	0.0131177	0.01779	0.011732	0.0106274	0.00746678	0.0106949	0.0010534	0.0382873	0.0248269	0.0207645	0.0170863	0.0122392	0.0143804	0.00796108	0.0192577	0.00576291	0.0139532	0.0777166	0.0809906	0.0759597	0.0702063	0.0342429	0.0402344	-0.0106007	0.0344642	0.0838336	0.0374016	0.00728102	-0.00276899	-0.00393372	-0.0376673	-0.036045	-0.0804979	-0.0365297	0.00828001	-0.0441401	-0.00848371	-0.0119293	-0.0421314	-0.0457162	-0.0901017	-0.0451005	-0.000186172	-0.053249	-0.00315315	-0.0329729	-0.0360276	-0.079063	-0.0341961	0.00846342	-0.0466084	-0.0311055	-0.0296135	-0.0739796	-0.0279204	0.012664	-0.0393082	-0.00258216	-0.0457383	-0.002149	0.0445412	-0.00882213	-0.0434028	0.00684608	0.0483649	-0.00670365	0.0483572	0.0866923	0.0369181	0.0420895	-0.00974798	-0.0539542
5	2.20511	-0.713812	1.75192	160	0	16	160	32	48	64	80	96	112	128	144	0.193281	56	0	16	160	32	48	64	80	96	112	128	144	1.168	1.316	1.3376	1.1968	1.2528	1.2248	1.2176	1.2744	1.328	1.5176	1.2904	1.284	2	0.0917333	0.106827	0.107508	0.0706061	0.0885455	0.100107	0.0946133	0.152533	0.13968	0.161642	0.128107	0.1129	0.140479	0.199605	0.0522557	0.0387225	0.0797216	0.273723	0.241499	0.219468	0.242802	0.243667	0.222675	0.264172	0.239204	0.247317	0.230685	0.288809	0.0702523	0.222876	0.226738	0.208085	0.262397	0.105107	0.0803526	0.26337	0.312904	0.303533	0.358234	0.255215	0.174237	0.170282	0.195172	0.243821	0.229117	0.258883	0.222467	0.193301	0.178879	0.113112	0.165065	0.228241	0.217469	0.202709	0.198342	0.173883	0.154964	0.121318	0.0269326	0.210075	0.249656	0.233254	0.275742	0.244951	0.220109	0.199744	0.154545	0.0511496	0.0395887	0.14238	0.155309	0.125	0.108333	0.0572917	0.0119048	0	-0.0530303	0.128788	0.0666667	0.0195423	-0.0446009	-0.0383772	-0.0706522	-0.128333	-0.169118	-0.111667	0.00458211	-0.134375	-0.0548611	-0.0198413	-0.0933333	-0.108796	-0.176587	-0.108586	-0.00326797	-0.114583	0.0517241	-0.0153061	-0.0660377	-0.165123	-0.0567633	0.0813131	-0.0574713	-0.0590112	-0.0348399	-0.156489	-0.0496633	0.0578467	-0.0698925	0.0113636	-0.0660256	0.0397727	0.145671	0.0316092	-0.136364	0.00740741	0.129722	0.0399061	0.0798429	0.179447	0.0794956	0.0558068	-0.00858369	-0.0749671
6	2.16942	-1.19675	2.7074	148	0	15	148	30	44	59	74	89	104	118	133	0.0635699	510	0	15	148	30	44	59	74	89	104	118	133	1.1616	1.3112	1.3368	1.144	1.2056	1.1672	1.1544	1.1792	1.2608	1.3712	1.2688	1.2328	2	0.0890667	0.123527	0.126144	0.0632	0.0858061	0.0805867	0.0725333	0.1016	0.12192	0.148665	0.124587	0.103421	0.169385	0.365376	0.204578	0.131341	0.249273	0.433371	0.402584	0.367942	0.352475	0.373397	0.338487	0.439265	0.374272	0.366648	0.332441	0.477406	0.17361	0.423797	0.38749	0.353794	0.49885	0.274442	0.278039	0.437561	0.427172	0.404612	0.553266	0.465704	0.456454	0.493512	0.365863	0.404945	0.377915	0.496227	0.442232	0.422802	0.451454	0.259015	0.314611	0.39364	0.374544	0.407624	0.384087	0.36467	0.381644	0.22843	0.136738	0.316998	0.373132	0.343099	0.460869	0.39743	0.389203	0.417035	0.278796	0.140892	0.120844	0.0792197	0.0952381	3.96508e-18	0.0348837	-0.0194444	-0.158602	-0.142857	-0.0285088	0.00681818	-0.0578704	0.0286866	-0.0574846	-0.036859	-0.106908	-0.1875	-0.178571	-0.0685185	-0.0298626	-0.149225	-0.0967742	-0.0396825	-0.0965608	-0.186869	-0.182171	-0.0664251	-0.0507246	-0.102657	0.0289116	-0.0243902	-0.102083	-0.163194	-0.0817308	-0.00592287	-0.0208333	-0.0739796	-0.10464	-0.170886	-0.0434028	-0.00664811	-0.0366667	-0.0734649	-0.0811688	-0.0185185	0.0423554	-0.0193798	-0.0164141	0.0496454	0.108696	0.0798611	0.0824226	0.174346	0.149306	0.0491413	0.0202788	-0.0256798
7	2.56758	-1.33186	3.85351	369	0	37	369	74	111	148	185	221	258	295	332	0.0465732	7137	0	37	369	74	111	148	185	221	258	295	332	1.3056	1.5312	1.5432	1.4384	1.4744	1.3648	1.3528	1.2704	1.4368	1.6152	1.48	1.43753	2	0.169467	0.192467	0.190478	0.170073	0.185915	0.169867	0.163733	0.150533	0.2064	0.222902	0.219787	0.185602	0.248254	0.244708	0.10681	0.0962445	0.109698	0.230862	0.205839	0.186071	0.200267	0.21321	0.183627	0.223751	0.257684	0.236696	0.204782	0.278016	0.115878	0.291356	0.272148	0.238506	0.289944	0.142158	0.136646	0.449604	0.393672	0.384754	0.42248	0.402268	0.425607	0.445778	0.293875	0.288865	0.290171	0.328214	0.310142	0.328735	0.343632	0.236301	0.248563	0.260666	0.254432	0.278165	0.273261	0.284716	0.299528	0.234915	0.0683346	0.24881	0.249676	0.249696	0.286888	0.274651	0.295014	0.315143	0.269564	0.095017	0.069598	0.0864486	0.113777	0.0667563	0.109745	0.0426045	0.0364078	-0.118627	-0.0125418	0.0705195	0.034744	0.0293108	-0.0289777	0.0087963	-0.0470536	-0.0652027	-0.213625	-0.103487	-0.0239985	-0.0607203	-0.0459011	-0.0112319	-0.0646259	-0.0762442	-0.233716	-0.117317	-0.0439987	-0.0845109	0.0326835	-0.0294521	-0.0196629	-0.199454	-0.0614525	0.0099709	-0.0332014	-0.0479211	-0.066129	-0.216564	-0.119524	-0.0326313	-0.0840036	-0.0261905	-0.138316	-0.0639731	0.0283824	-0.0274262	-0.144915	-0.0313853	0.0428943	-0.021164	0.117681	0.200812	0.149289	0.0575114	0.0242248	-0.0322565
8	3.57173	-1.74173	4.54438	3730	0	373	3730	746	1119	1492	1865	2238	2611	2984	3357	0.0181246	35025	0	373	3730	746	1119	1492	1865	2238	2611	2984	3357	1.4928	1.7888	1.812	1.7328	1.7336	1.5608	1.4856	1.2712	1.5096	1.7152	1.5536	1.60509	2	0.274133	0.272287	0.270165	0.272364	0.269721	0.255467	0.22432	0.146667	0.23408	0.245039	0.250827	0.246824	0.290062	0.129968	0.0252027	0.0122034	0.02442	0.0301409	0.0391104	0.0350649	0.0657001	0.0539312	0.049467	0.057608	0.0874163	0.0797117	0.0700326	0.0834412	0.0292656	0.174522	0.132789	0.141778	0.14392	0.111952	0.118471	0.335019	0.258811	0.269327	0.279473	0.283565	0.335877	0.398274	0.179884	0.163164	0.16756	0.170216	0.184664	0.222668	0.288297	0.23352	0.16057	0.154658	0.153668	0.161944	0.17018	0.198458	0.251619	0.249109	0.0450027	0.114648	0.112307	0.117638	0.118851	0.12924	0.164471	0.226985	0.29926	0.0602584	0.0386114	0.0883876	0.0838574	0.0733696	0.0702436	0.0230496	0.000660066	-0.10375	0.00371873	0.0647372	-0.000463822	0.000242248	-0.0157147	-0.0187524	-0.0685585	-0.0911141	-0.225224	-0.0899245	-0.0315284	-0.0844056	-0.0120027	-0.0201302	-0.0613633	-0.0961634	-0.225321	-0.0882765	-0.0292842	-0.0820068	-0.00878788	-0.0532042	-0.0770364	-0.209929	-0.0706191	-0.0115435	-0.0676125	-0.0375749	-0.0733083	-0.19926	-0.0687257	-0.0140476	-0.0652006	-0.022979	-0.131295	-0.0204678	0.0304708	-0.0296763	-0.12616	-0.00451389	0.0503573	0.00479846	0.1326	0.195489	0.146333	0.0341219	-0.00131648	-0.0354796
9	3.41276	-1.04021	4.26307	2587	0	259	2587	517	776	1035	1294	1552	1811	2070	2328	0.0911569	18326	0	259	2587	517	776	1035	1294	1552	1811	2070	2328	1.5144	1.8064	1.8392	1.7704	1.7752	1.6024	1.6072	1.4688	1.6352	1.8688	1.64	1.68436	2	0.283467	0.27956	0.281292	0.2792	0.281745	0.267787	0.27664	0.256933	0.287733	0.292242	0.291467	0.279824	0.294358	0.0456175	0.00646469	-0.0033305	0.0110721	0.0271397	0.018786	0.0190362	0.0287391	0.0256063	0.0254143	0.0293569	0.0577569	0.0377418	0.0404006	0.0439403	0.0116959	0.0381259	0.0289867	0.0364015	0.0401839	0.00702244	0.0086112	0.105002	0.0836913	0.0778704	0.0878948	0.0743767	0.0693927	0.0779307	0.0645161	0.0825868	0.0851162	0.0867593	0.0920978	0.102585	0.0969706	0.0428234	0.0538054	0.0570469	0.0576173	0.0588506	0.0654838	0.0726283	0.0666713	0.0404754	0.00815262	0.0299022	0.0502687	0.0465347	0.0524098	0.0571714	0.0759877	0.0602558	0.06506	0.026009	0.00647183	0.0747126	0.0712714	0.0748148	0.0771605	0.0451096	0.0401811	-0.0154959	0.0206856	0.0767214	0.0417384	0.00198922	0.00114595	-0.00133223	-0.0338061	-0.0388506	-0.0850244	-0.0537415	-0.00172046	-0.0347592	-0.0036581	-0.00402047	-0.0357657	-0.0404896	-0.0917059	-0.0613996	-0.00333006	-0.0407503	-0.00304762	-0.037717	-0.038358	-0.0904959	-0.0574792	-0.00183731	-0.0356009	-0.0370975	-0.0400176	-0.0861928	-0.0561824	-0.00130089	-0.0379617	-0.0017439	-0.0487478	-0.0145503	0.0356271	0.00653083	-0.0395377	-0.0169122	0.0383705	-0.00156495	0.0367443	0.0828897	0.0635399	0.0453108	0.0225096	-0.025174
