Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	2.44365	-1.92505	2.27439	278	0	28	278	56	83	111	139	167	195	222	250	0.0118835	188	0	28	278	56	83	111	139	167	195	222	250	1.0624	1.2064	1.2376	1.1208	1.1904	1.1176	1.0744	1.0232	1.1544	1.296	1.1712	1.1504	2	0.0345333	0.09082	0.10332	0.0568121	0.0827394	0.0544533	0.03312	0.0125333	0.0722667	0.117874	0.0793067	0.0670708	0.170988	0.539921	0.329678	0.26298	0.410069	0.50757	0.53283	0.505494	0.437242	0.508892	0.480699	0.579917	0.595748	0.543722	0.509423	0.654815	0.394517	0.738653	0.612214	0.579137	0.72516	0.540603	0.594735	0.768828	0.559423	0.520528	0.698378	0.620876	0.758231	0.852333	0.63801	0.608159	0.577739	0.694554	0.642597	0.708048	0.771561	0.622413	0.401485	0.507779	0.495979	0.540973	0.527486	0.541128	0.592523	0.41897	0.296187	0.519956	0.531183	0.500245	0.623625	0.571934	0.636873	0.717679	0.629199	0.47027	0.252737	0.0666667	0.0805556	0.0416667	-0.234848	-0.356061	-0.492424	-0.5	-0.291667	-0.13447	-0.175	0.0173611	0.114583	-0.0295139	-0.150641	-0.235577	-0.215909	-0.0979167	-0.0243506	-0.0492424	0.116667	0.0462963	-0.12963	-0.273504	-0.290404	-0.0555556	-0.0734007	-0.040404	-0.0833333	-0.342593	-0.458333	-0.427083	-0.214286	-0.0765152	-0.194444	-0.131898	-0.297043	-0.287879	-0.0138889	0.0549242	0.0416667	-0.0940171	0.00641026	0	0.0690236	0.119048	-0.0654762	0.0185185	0.152778	0.111111	0.180077	0.448347	0.355556	0.168417	0.0752381	-0.0469965
1	2.23835	-0.575722	3.37556	173	0	17	173	35	52	69	87	104	121	138	156	0.265631	2374	0	17	173	35	52	69	87	104	121	138	156	1.3032	1.4616	1.4912	1.356	1.4112	1.348	1.348	1.3424	1.4304	1.6112	1.4208	1.41127	2	0.165467	0.16584	0.169804	0.132436	0.144727	0.157013	0.153333	0.1896	0.190133	0.201423	0.185867	0.168695	0.199187	0.163396	0.0382028	0.0295137	0.0589144	0.223534	0.211839	0.202127	0.174904	0.18832	0.174558	0.185292	0.170348	0.189696	0.18521	0.194381	0.0438102	0.160428	0.181012	0.167393	0.16801	0.0596469	0.0584142	0.217915	0.257319	0.250921	0.2652	0.200375	0.158828	0.151618	0.1815	0.214668	0.204723	0.232324	0.164021	0.123564	0.114979	0.0654803	0.166771	0.207531	0.204083	0.197103	0.154105	0.12131	0.104776	0.0569888	0.0233879	0.164062	0.195088	0.190377	0.215512	0.164344	0.136467	0.123766	0.0749599	0.0298165	0.0248694	0.0646495	0.0705725	0.0380184	0.0519878	0.0416667	-0.0120321	-0.0301724	-0.000868056	0.0559131	0.000434028	0.00912309	-0.00750883	0.00833333	-0.00691489	-0.0623249	-0.0974771	-0.0487608	0.00231628	-0.0479526	-0.0248049	-0.013209	-0.0292638	-0.0555556	-0.109603	-0.0611334	-0.0123252	-0.0559982	0.0170394	-0.0188172	-0.0454823	-0.10425	-0.0485075	0.00930431	-0.0393432	-0.0311943	-0.0474217	-0.14235	-0.0798193	-0.012249	-0.0593717	-0.0188088	-0.104383	-0.0377562	0.0189793	-0.0196078	-0.0654122	-0.0208333	0.04095	0.00638792	0.0534547	0.114547	0.07723	0.0467056	0.0129816	-0.0377793
2	3.47664	-1.60941	2.60253	2997	0	300	2997	599	899	1199	1499	1798	2098	2398	2697	0.0245806	400	0	300	2997	599	899	1199	1499	1798	2098	2398	2697	1.0856	1.1304	1.1328	1.116	1.1968	1.1728	1.1776	1.2736	1.6952	1.8464	1.5992	1.31149	2	0.0470667	0.0467267	0.0497935	0.0456485	0.0681576	0.07904	0.0805867	0.145733	0.328	0.324779	0.277387	0.13572	0.194918	0.313089	0.0362956	0.0314331	0.0264211	0.0600497	0.0387933	0.0486648	0.0670204	0.0994976	0.0865239	0.0884171	0.107958	0.177376	0.174179	0.185304	0.0684825	0.467032	0.546693	0.537795	0.542243	0.417232	0.356344	0.61176	0.716366	0.715905	0.70374	0.651196	0.605557	0.66092	0.250374	0.463704	0.478971	0.424414	0.404854	0.322403	0.415116	0.311346	0.201266	0.321593	0.334667	0.296606	0.296012	0.257916	0.346798	0.327153	0.0463101	0.184597	0.392362	0.406474	0.35844	0.335206	0.264257	0.392304	0.388944	0.0684448	0.0465542	0.0546875	0.0811782	0.0539683	0.0731132	0.042517	-0.0913655	-0.135246	-0.0254065	0.0563725	0.0247253	0.0106908	0.00241546	0.0123175	0.00124644	-0.111779	-0.21189	-0.0902778	-0.00829791	-0.0314429	-0.0181159	-0.0135802	-0.0258945	-0.152516	-0.26071	-0.120795	-0.0243506	-0.0550505	0.0104987	-0.0030581	-0.121212	-0.230691	-0.0873786	-0.00147964	-0.0338284	-0.0626126	-0.287179	-0.214583	-0.09375	-0.0138414	-0.0412773	-0.234043	-0.202083	-0.102837	0.0143678	-0.013468	-0.177393	0.0355987	0.139152	0.121053	0.214967	0.310638	0.224294	0.0286329	0.0478778	0.0234598
3	2.15304	-0.841031	4.38048	142	0	14	142	28	43	57	71	85	99	114	128	0.144201	24015	0	14	142	28	43	57	71	85	99	114	128	1.42	1.5984	1.6248	1.464	1.5504	1.4584	1.4384	1.3696	1.5088	1.6408	1.4976	1.50647	2	0.231467	0.22656	0.226034	0.175115	0.20983	0.210667	0.201547	0.2052	0.23248	0.227384	0.23088	0.216106	0.275267	0.231735	0.0738176	0.0592727	0.083253	0.324947	0.315317	0.292004	0.210407	0.235492	0.228912	0.302467	0.221731	0.23559	0.230006	0.321714	0.0869646	0.209621	0.229029	0.222558	0.298646	0.105294	0.102323	0.273191	0.283318	0.268748	0.363589	0.246188	0.239625	0.226241	0.233688	0.251126	0.240042	0.327291	0.231791	0.230054	0.209519	0.102617	0.250336	0.267821	0.257869	0.310568	0.244977	0.235932	0.220035	0.116942	0.0735227	0.204075	0.23736	0.22676	0.305604	0.211361	0.212898	0.202361	0.126206	0.0722904	0.0728702	0.0653846	0.0672685	0.025641	0.0736351	0.0420654	0.0420712	-0.0430791	0.0283951	0.0718954	0.0301088	0.00738611	-0.0515351	0.000722324	-0.032512	-0.0227837	-0.118582	-0.0300539	0.00162188	-0.0391271	-0.0548768	-0.00912698	-0.0468889	-0.0280618	-0.118288	-0.0439536	-0.00787416	-0.0551164	0.0538462	-0.000541126	0.0158643	-0.0621891	0.0199784	0.0478979	0.00337598	-0.0334477	-0.0252252	-0.108333	-0.0363757	-0.00291996	-0.0533199	0.0122354	-0.0654336	0.0102837	0.0383722	-0.0164057	-0.0752623	-0.0104167	0.026091	-0.0211524	0.0599735	0.0814635	0.0564129	0.0269136	-0.00226757	-0.0246812
4	3.20601	-1.2849	2.27812	1607	0	161	1607	321	482	643	804	964	1125	1286	1446	0.0518915	190	0	161	1607	321	482	643	804	964	1125	1286	1446	1.0536	1.0856	1.0856	1.0712	1.144	1.1568	1.1912	1.4968	1.7064	1.8864	1.5584	1.31236	2	0.0290667	0.02956	0.0290928	0.0278788	0.0538061	0.0716267	0.0823467	0.276133	0.3248	0.312104	0.237067	0.133953	0.159965	0.222686	0.00967046	0.0530219	0.0314902	0.0643016	0.0761849	0.066017	0.050035	0.127702	0.124562	0.129984	0.150451	0.248805	0.255629	0.250009	0.0461475	0.167288	0.294135	0.312624	0.297202	0.13998	0.0746795	0.477576	0.699094	0.715664	0.667041	0.614749	0.505209	0.478165	0.170408	0.419821	0.437146	0.372635	0.341029	0.243974	0.239768	0.166837	0.0731043	0.20582	0.215883	0.183934	0.184838	0.14669	0.150665	0.211745	0.0275668	0.0906146	0.315302	0.330331	0.278712	0.249924	0.180557	0.187932	0.284112	0.0468938	0.0139368	0.0668403	0.0777778	0.0703125	0.0873656	0.042328	-0.00141243	-0.0388889	0.0246914	0.0658422	0.0675287	0.00301627	-0.0197917	0.00972222	-0.0190972	-0.0429487	-0.108073	-0.0560897	-0.0124723	-0.0271739	-0.0182841	-0.00173611	-0.0405405	-0.0522388	-0.125604	-0.0668277	-0.0198184	-0.0250391	0.0214286	-0.0159314	-0.0696517	-0.169753	-0.0808458	-0.00683666	-0.0321429	-0.107064	-0.116898	-0.160606	-0.0610329	-0.0175536	-0.0243056	-0.0219298	-0.231928	-0.0368421	0.0314151	-0.00411523	-0.293144	-0.0281863	0.0637665	0.0264026	0.176008	0.276832	0.18903	0.0740894	0.0502693	-0.0103852
5	2.3892	-1.58915	2.4665	245	0	25	245	49	74	98	123	147	172	196	221	0.0257542	293	0	25	245	49	74	98	123	147	172	196	221	1.0904	1.22	1.2176	1.108	1.1952	1.1408	1.112	1.128	1.2536	1.3928	1.2704	1.19353	2	0.0493333	0.0925	0.0858353	0.0503394	0.0837333	0.0658667	0.0517867	0.0693333	0.117707	0.158521	0.125493	0.0864045	0.169333	0.456168	0.243525	0.152365	0.307554	0.500913	0.480258	0.457278	0.340896	0.406429	0.384462	0.505469	0.453059	0.436926	0.419204	0.571857	0.291286	0.634906	0.55931	0.553611	0.685594	0.472033	0.491705	0.648499	0.589263	0.588959	0.720263	0.613377	0.66572	0.734571	0.475528	0.515702	0.514699	0.619077	0.533282	0.550555	0.634503	0.414242	0.330545	0.433317	0.423673	0.469294	0.433818	0.423775	0.495323	0.321938	0.197006	0.399979	0.466298	0.460152	0.569985	0.482494	0.498532	0.595046	0.445646	0.269816	0.165787	0.0578125	0.0647249	-0.115942	0.0466667	-0.166667	-0.123016	-0.15625	-0.0530303	0.00516529	-0.0520833	0.0561412	-0.0208333	0.0708333	-0.0572917	0.0108333	-0.171875	0.0447531	0.0687906	0.0158046	-0.0160256	0.0704365	-0.0753968	1.56879e-17	-0.171053	-0.0324074	0.0436364	0.00617284	0.182099	-0.0192308	0.0173611	-0.166667	0.0507246	0.0521212	0.02	-0.12402	-0.286976	-0.252976	-0.0454545	-0.0142045	-0.0533333	-0.133838	0.0178571	0.123188	0.150253	0.108696	-0.0857143	0.116667	0.150138	0.0933333	0.140572	0.247608	0.213068	0.0768849	0.0264858	-0.0368538
6	3.27917	-0.606869	3.79197	1902	0	190	1902	380	571	761	951	1141	1331	1522	1712	0.247247	6194	0	190	1902	380	571	761	951	1141	1331	1522	1712	1.4704	1.7408	1.7672	1.7168	1.7712	1.6376	1.64	1.5456	1.6456	1.9024	1.656	1.68124	2	0.256133	0.257073	0.263953	0.262364	0.273588	0.287787	0.285547	0.302133	0.289547	0.29041	0.292267	0.278255	0.28448	0.0369441	0.00273133	0.00380258	0.00709176	0.013089	0.025634	0.0178081	0.0154969	0.0279989	0.0244716	0.0166829	0.0234407	0.0463454	0.0359087	0.0234636	0.00448454	0.0266445	0.0411236	0.0384677	0.0190177	0.00907556	0.000309981	0.10015	0.126468	0.117542	0.0975132	0.0830139	0.0448912	0.0447582	0.0459011	0.0706688	0.0661905	0.0484919	0.0503226	0.0208051	0.0270977	0.027164	0.0382105	0.0575462	0.0546217	0.0480967	0.0432293	0.0238653	0.023811	0.0231678	0.00246982	0.031414	0.0475999	0.0516784	0.0461366	0.0409199	0.0253025	0.0143442	0.0368673	0.0109701	0.0122381	0.055942	0.0703002	0.0515478	0.0578287	0.0243376	0.008829	-0.0495868	0.0119509	0.0695681	0.0124146	0.0077523	-0.00639863	0.00240674	-0.0311759	-0.0489245	-0.103279	-0.0450426	0.014765	-0.0461435	-0.0141354	-0.00837898	-0.0480292	-0.0559398	-0.114419	-0.0551489	0.00319337	-0.0584917	0.00320116	-0.0355427	-0.0418455	-0.0989071	-0.0341816	0.013933	-0.0419613	-0.0408322	-0.0492424	-0.113995	-0.0547351	0.00721344	-0.0578048	-0.00527903	-0.0815515	-0.00996933	0.0448913	-0.00778112	-0.0691952	-0.00386399	0.0521174	-0.00345679	0.0680621	0.118826	0.0671958	0.0503103	-0.000987654	-0.0540613
7	3.55474	-1.08708	3.52376	3587	0	359	3587	717	1076	1435	1794	2152	2511	2870	3228	0.0818321	3340	0	359	3587	717	1076	1435	1794	2152	2511	2870	3228	1.3896	1.6816	1.688	1.6088	1.632	1.4968	1.536	1.488	1.6528	1.8832	1.6144	1.60647	2	0.213467	0.23088	0.229637	0.222994	0.22743	0.22304	0.24016	0.2672	0.29344	0.287158	0.27792	0.246666	0.259314	0.0524222	0.00100117	0.00563058	0.00291879	0.0327691	0.0254939	0.0258886	0.0175307	0.0145296	0.0150121	0.0309289	0.0439905	0.0304707	0.03171	0.0486627	0.0135442	0.0408502	0.0413976	0.0465479	0.0535337	0.0143473	0.0199361	0.177785	0.17592	0.186222	0.188173	0.190062	0.168873	0.129959	0.0513642	0.0750225	0.0760448	0.0894105	0.0791089	0.0898496	0.0664075	0.0807628	0.0373437	0.0555803	0.0561174	0.073099	0.0598765	0.0654691	0.0570453	0.0974884	0.0106433	0.0345669	0.0522955	0.0437611	0.0703536	0.0606959	0.067075	0.0619025	0.118076	0.0123233	0.00222683	0.0797532	0.0867677	0.0714981	0.0722756	0.0213437	0.0270078	-0.0321337	0.0280157	0.0746814	0.0241935	0.00334136	-0.0125343	-0.00909546	-0.061373	-0.0548036	-0.128544	-0.060276	-0.00795455	-0.0567055	-0.0154864	-0.0114074	-0.0676092	-0.0601925	-0.137643	-0.062369	-0.0154375	-0.0605982	0.00671463	-0.0496271	-0.0427778	-0.11332	-0.0467547	0.00425545	-0.0457265	-0.0518207	-0.05	-0.120298	-0.0453673	0.00133017	-0.0508403	0.00600601	-0.0764177	0.00742894	0.0526871	0.00849673	-0.0855043	0.0014988	0.0508593	0.00154895	0.0918103	0.153	0.0876947	0.0526986	0.0075643	-0.0437393
8	3.35311	-1.86562	3.6823	2255	0	226	2255	451	677	902	1128	1353	1579	1804	2030	0.0136263	4812	0	226	2255	451	677	902	1128	1353	1579	1804	2030	1.332	1.52	1.5432	1.484	1.5528	1.4216	1.3352	1.168	1.3928	1.5864	1.508	1.44036	2	0.183333	0.178647	0.189386	0.183806	0.203442	0.198987	0.15696	0.0917333	0.179413	0.209025	0.240267	0.183182	0.271402	0.323559	0.0617006	0.0260688	0.0490112	0.0881307	0.0938921	0.0801084	0.075733	0.105992	0.0829932	0.112087	0.163597	0.190529	0.161474	0.192325	0.0841552	0.321213	0.314465	0.287879	0.320619	0.215361	0.219415	0.578119	0.53056	0.505255	0.531459	0.505282	0.563403	0.654494	0.42715	0.441072	0.412901	0.433097	0.418821	0.461752	0.544292	0.212116	0.408747	0.431616	0.415615	0.428444	0.420608	0.451281	0.511852	0.153126	0.0800749	0.3272	0.377337	0.351181	0.368279	0.350284	0.379819	0.466348	0.224306	0.116174	0.0641443	0.0684855	0.0658661	0.0559496	0.0591845	-0.0111111	-0.0163978	-0.220528	-0.102454	-0.0119016	-0.0411392	-0.00283172	-0.0131324	-0.0155591	-0.0835181	-0.104113	-0.300833	-0.180403	-0.0853053	-0.119304	-0.0128168	-0.0114926	-0.088841	-0.104674	-0.306357	-0.173668	-0.0871931	-0.115089	-0.00393082	-0.0808429	-0.108356	-0.299718	-0.164292	-0.0859432	-0.111911	-0.0828821	-0.127891	-0.293785	-0.165196	-0.0778661	-0.10307	-0.0494382	-0.208654	-0.076484	0.00429799	-0.0244029	-0.180736	-0.0532581	0.0352224	-0.00410798	0.111111	0.129223	0.195312	0.0193765	0.0605797	0.0274475
9	1.97172	-1.88723	2.87379	94	0	9	94	19	28	38	47	56	66	75	85	0.0129648	748	0	9	94	19	28	38	47	56	66	75	85	1.052	1.1816	1.1912	1.1032	1.1488	1.0784	1.0504	1.0048	1.0784	1.2448	1.1248	1.1144	2	0.0285333	0.07504	0.0749072	0.0394182	0.0592606	0.03632	0.0231467	0.00253333	0.03632	0.0871827	0.0572267	0.0472626	0.209786	0.732958	0.587058	0.539998	0.652788	0.780261	0.748227	0.745188	0.701047	0.708626	0.706681	0.788304	0.787633	0.710983	0.708238	0.824926	0.644876	0.857477	0.751603	0.747515	0.859964	0.710053	0.77391	0.913027	0.759889	0.758286	0.874667	0.817123	0.896229	0.937889	0.827724	0.753634	0.754644	0.853132	0.803029	0.852597	0.888258	0.734189	0.628094	0.691883	0.693613	0.741599	0.711756	0.704206	0.740348	0.511011	0.456545	0.716739	0.695392	0.693802	0.800256	0.739009	0.777646	0.826449	0.765148	0.704548	0.4952	0.092803	0.153382	-0.0490196	-0.0517241	-0.0344828	-0.12931	-0.201613	-0.0188172	0.0844156	-0.00537634	0.0176539	-0.134028	-0.0925926	-0.154412	-0.15625	-0.25	-0.146465	-0.0859951	-0.0532407	-0.175347	-0.0952381	-0.147619	-0.137346	-0.301347	-0.133333	-0.044548	-0.0409357	-0.0277778	-0.0286458	-0.0388889	-0.146552	-0.0401235	0.0667155	0.0913978	-0.115385	-0.147727	-0.241935	-0.0654762	-0.00449811	0.0714286	-0.0952381	-0.108586	0.0185185	0.0757576	0.141414	-0.130208	-0.0402299	0.0525253	0.133333	0.137346	0.326299	0.364146	0.160673	0.15	-0.0470418
