Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	3.08685	-0.512543	2.51326	1221	0	122	1221	244	366	488	611	733	855	977	1099	0.307225	326	0	122	1221	244	366	488	611	733	855	977	1099	1.1664	1.268	1.2776	1.2264	1.264	1.2008	1.208	1.6272	1.6712	1.9264	1.6472	1.40756	2	0.0908	0.0899067	0.0904575	0.0858909	0.0938182	0.0919467	0.0953067	0.3464	0.295467	0.298123	0.279573	0.168881	0.178381	0.109465	0.0129884	0.00931099	0.00471217	0.0838706	0.0601919	0.0605605	0.0420329	0.0389738	0.0354161	0.0633647	0.0495684	0.0568652	0.0554367	0.0796182	0.00274835	0.0133714	0.0518326	0.0416313	0.0727882	-8.10271e-05	0.00302887	0.218169	0.402948	0.40941	0.388447	0.365286	0.285371	0.287317	0.0845723	0.236722	0.241958	0.228879	0.206069	0.146583	0.140023	0.030773	0.0213643	0.115893	0.12007	0.110085	0.101986	0.0641249	0.0662585	0.0553664	0.00428395	0.0660466	0.203333	0.211355	0.193114	0.178581	0.124691	0.127555	0.0538725	0.000587054	-0.00112413	0.0734649	0.062766	0.0291667	0.043514	0.0195531	-0.0042735	-0.0289634	-0.00498188	0.043595	-0.0134409	-0.0114875	-0.0467973	-0.0287733	-0.0535587	-0.0662723	-0.0965625	-0.0761218	-0.0248176	-0.0719614	-0.026348	-0.0152116	-0.0336134	-0.0501089	-0.0795577	-0.0626429	-0.0102309	-0.0590866	0.0139429	-0.0114155	-0.0152838	-0.0542929	-0.0337838	0.0213774	-0.0253304	-0.0245684	-0.0400641	-0.066092	-0.052613	0.0049732	-0.046176	-0.00950292	-0.0469613	-0.0328283	0.0321659	-0.0333333	-0.0329567	-0.0175439	0.042303	-0.0205128	0.0914729	0.164357	0.0913488	0.0700141	0.0110393	-0.0603122
1	3.33583	-1.34251	3.24869	2167	0	217	2167	433	650	867	1084	1300	1517	1734	1950	0.0454455	1773	0	217	2167	433	650	867	1084	1300	1517	1734	1950	1.2632	1.42	1.4272	1.3504	1.3824	1.3048	1.2928	1.2216	1.656	1.8776	1.6496	1.44051	2	0.146667	0.14574	0.146353	0.130667	0.139745	0.14048	0.132373	0.1184	0.309653	0.324852	0.28944	0.184034	0.235742	0.193952	0.00537465	0.0173764	0.0191471	0.0779004	0.0706859	0.0508397	0.040396	0.0412358	0.0417488	0.0708906	0.082557	0.0883834	0.0804468	0.123603	0.0402834	0.106498	0.0971868	0.0907163	0.119857	0.0611218	0.0604224	0.66104	0.637743	0.634985	0.665531	0.655608	0.667442	0.675921	0.212505	0.306702	0.310736	0.310443	0.303144	0.269264	0.278468	0.231833	0.116489	0.185675	0.194839	0.188433	0.183833	0.169528	0.169951	0.229315	0.0146451	0.090433	0.173123	0.173352	0.180998	0.16962	0.153997	0.149875	0.395377	0.0637866	0.0236143	0.0705429	0.0777476	0.0732016	0.063654	0.0114155	0.0224913	-0.241979	-0.0216853	0.0682471	0.0120614	0.00988142	-9.87362e-05	-0.000183554	-0.0537074	-0.0397313	-0.299167	-0.0812252	-0.00862329	-0.0507149	-0.00393143	-0.0105006	-0.0582365	-0.0511416	-0.308047	-0.0950292	-0.0160479	-0.0631579	-0.00209908	-0.0539941	-0.037092	-0.304128	-0.0825321	-0.00391914	-0.049952	-0.0491838	-0.0381016	-0.323113	-0.0799373	-0.00689033	-0.0486111	0.00992063	-0.275673	-0.0424028	0.0388522	-0.00376344	-0.281746	-0.0571429	0.0253831	-0.0152505	0.293149	0.360123	0.376344	0.06111	0.0619534	-0.00825793
2	3.21861	-0.360242	3.85584	1654	0	165	1654	331	496	662	827	992	1158	1323	1489	0.436273	7175	0	165	1654	331	496	662	827	992	1158	1323	1489	1.5304	1.844	1.872	1.7136	1.792	1.6472	1.6592	1.5208	1.6512	1.9048	1.6488	1.70764	2	0.2928	0.284113	0.291169	0.263503	0.288812	0.293013	0.295787	0.2876	0.29072	0.293184	0.290027	0.288248	0.29468	0.0275854	-0.0055356	-0.0153146	-0.00257195	0.0528859	0.0448638	0.0485987	0.0107576	0.0228149	0.0166817	0.0642251	0.021871	0.0280823	0.0241501	0.0729803	0.00943077	0.013503	0.0272972	0.0158349	0.0659511	0.00963708	0.00897666	0.0438221	0.0437922	0.0426966	0.0873061	0.0481157	0.0346343	0.0493318	0.0144397	0.0287028	0.0252772	0.067299	0.0357843	0.0276873	0.0377425	0.00101348	0.0124452	0.0204885	0.0198327	0.0519706	0.028526	0.031339	0.0233571	0.00615993	0.00445842	0.0074453	0.0298484	0.023093	0.0594755	0.0287014	0.0383815	0.0286809	0.0152353	0.0138264	0.00417294	0.0702381	0.064039	0.0553483	0.0610795	0.0243386	0.0318086	-0.0163043	0.0217042	0.0692597	0.0262739	-0.00576902	-0.0218299	-0.0114161	-0.050409	-0.041412	-0.0920213	-0.0523393	-0.0058545	-0.0491625	-0.0139515	-0.00668511	-0.0480373	-0.0383693	-0.0843087	-0.0472799	-0.00139458	-0.044644	0.0114596	-0.026184	-0.0196868	-0.067029	-0.0285265	0.0153888	-0.0269969	-0.0375366	-0.0281263	-0.0801887	-0.038975	0.00834272	-0.037225	0.00828729	-0.0367209	0.000241196	0.0465121	0.00546059	-0.0481392	-0.0117169	0.0365014	-0.00696446	0.0370079	0.0774433	0.0406916	0.041335	0.00530198	-0.0399054
3	2.83882	-0.327823	2.95972	690	0	69	690	138	207	276	345	414	483	552	621	0.470086	911	0	69	690	138	207	276	345	414	483	552	621	1.2928	1.5056	1.5136	1.368	1.4376	1.3616	1.3584	1.524	1.6032	1.8528	1.5976	1.49229	2	0.160533	0.16894	0.167681	0.143042	0.156024	0.16288	0.158187	0.286933	0.265493	0.272821	0.260267	0.200255	0.215093	0.0896825	0.0194968	0.0194019	0.00756617	0.166268	0.138799	0.120713	0.0993826	0.0682254	0.0578605	0.139184	0.0901432	0.0861925	0.061333	0.141757	0.0096444	0.0827487	0.0640753	0.0507022	0.139552	0.00627989	0.01473	0.160475	0.215273	0.214253	0.261157	0.208339	0.177237	0.162322	0.0820027	0.125387	0.119383	0.169898	0.11285	0.0943056	0.0823258	0.0139093	0.0644073	0.0991044	0.0945598	0.125464	0.0770485	0.0606876	0.0549398	0.0335615	-0.00306875	0.093024	0.126177	0.127153	0.171789	0.107677	0.0869965	0.0756725	0.0480775	0.00491252	0.00370489	0.0895936	0.101181	0.0565287	0.0840622	0.0458595	0.053203	-0.00883392	0.0278689	0.0955633	0.0308743	0.0121701	-0.0259087	-0.00695876	-0.0496221	-0.039548	-0.0975068	-0.0550277	0.00360234	-0.0541465	-0.0321301	-0.0159371	-0.0545073	-0.0456349	-0.112658	-0.0650756	-0.00680441	-0.0700369	0.020633	-0.014652	-0.0113742	-0.0603002	-0.0297784	0.0279335	-0.0357815	-0.0435351	-0.0308429	-0.0991179	-0.0460417	0.00833185	-0.0523927	0.00470085	-0.0477321	-0.00514981	0.0485263	-0.0125	-0.0594086	-0.0252381	0.0425502	-0.0191948	0.071407	0.12868	0.0744879	0.0545997	-0.00281532	-0.0530303
4	3.32704	-0.975305	2.12253	2123	0	212	2123	425	637	849	1062	1274	1486	1698	1911	0.105851	133	0	212	2123	425	637	849	1062	1274	1486	1698	1911	1.0784	1.12	1.1272	1.1104	1.1536	1.1224	1.1288	1.596	1.6824	1.944	1.6128	1.33418	2	0.0432	0.04238	0.0422902	0.0419152	0.0539758	0.05952	0.06032	0.328533	0.294773	0.313704	0.2576	0.139837	0.159212	0.179221	0.028364	-0.000707603	0.014325	0.0777558	0.0489767	0.0575498	0.0387597	0.040532	0.0482341	0.0830661	0.100126	0.132121	0.108466	0.12927	0.0212358	0.0967111	0.130187	0.122371	0.136604	0.0333899	0.00354767	0.450586	0.665852	0.67846	0.63126	0.610781	0.511348	0.508721	0.0949218	0.307375	0.321774	0.271315	0.260067	0.172899	0.171891	0.191169	0.0379447	0.155575	0.163599	0.139161	0.137864	0.094711	0.0948919	0.199094	0.00342918	0.0828949	0.275796	0.292263	0.254528	0.229929	0.161354	0.153267	0.254182	0.0314526	0.00657523	0.0752427	0.0913811	0.072807	0.0924092	0.0265152	-0.000925926	-0.113333	-0.0178571	0.05406	0.00490196	0.0185502	-0.0145202	0.0215827	-0.054941	-0.0698635	-0.180412	-0.0706845	-0.0138799	-0.0494792	-0.0348789	0.00172414	-0.0706628	-0.0913371	-0.190904	-0.0914751	-0.0346271	-0.0748588	0.0337302	-0.0333333	-0.0469697	-0.152482	-0.0570988	0.00745921	-0.031746	-0.102273	-0.101967	-0.195017	-0.0878788	-0.0328463	-0.070059	-0.00595238	-0.109195	-0.0364583	0.0370813	-0.00716846	-0.10728	-0.00680272	0.0473485	0.005	0.211678	0.283994	0.215812	0.0580365	0.0185512	-0.0377507
5	3.69657	-0.794475	1.77388	4972	0	497	4972	994	1492	1989	2486	2983	3480	3978	4475	0.160518	59	0	497	4972	994	1492	1989	2486	2983	3480	3978	4475	1.1336	1.2032	1.22	1.188	1.2064	1.1664	1.1624	1.7056	1.74	1.9704	1.6464	1.39476	2	0.0746667	0.07072	0.0741699	0.0713697	0.0748	0.0763733	0.0722667	0.398133	0.327307	0.316675	0.273547	0.166366	0.176901	0.131978	-0.00425998	-0.0181449	-0.0127426	0.0218431	0.0367967	0.0289068	-0.0123465	0.00493281	-0.00231934	0.0252465	0.0265638	0.0325789	0.0194166	0.053292	-0.0108196	0.037439	0.0146598	0.00266563	0.0381743	0.0133181	0.0198124	0.352329	0.568434	0.573036	0.536548	0.527518	0.428661	0.431398	0.0843982	0.267104	0.272542	0.245046	0.231758	0.151299	0.153446	0.0926496	0.0166096	0.121652	0.127399	0.107438	0.10152	0.0593173	0.0624563	0.136345	0.0043901	0.0443675	0.202026	0.207386	0.181448	0.168013	0.102871	0.100901	0.172438	0.00447717	-0.0010858	0.0852273	0.0662393	0.0484375	0.0669557	0.0166667	0.0153061	-0.0711679	0.0392781	0.0725766	0.00270563	-0.0134532	-0.0287519	-0.0130876	-0.0688034	-0.0633418	-0.164201	-0.0460247	-0.0158296	-0.0843963	-0.0171033	-0.000680272	-0.0550082	-0.0482385	-0.149657	-0.0319783	-0.00641711	-0.0726073	0.017803	-0.037234	-0.0379189	-0.123958	-0.00837743	0.0155854	-0.0503565	-0.0583333	-0.05	-0.146318	-0.0222222	-0.00508207	-0.0552677	0.012381	-0.0855263	0.0277778	0.0467234	-0.00284091	-0.0969388	0.0240964	0.0469085	-0.00986193	0.18918	0.246509	0.18639	0.0675816	0.0198473	-0.0472469
6	3.59231	-0.30503	3.85668	3911	0	391	3911	782	1173	1564	1956	2347	2738	3129	3520	0.495416	7189	0	391	3911	782	1173	1564	1956	2347	2738	3129	3520	1.5512	1.8648	1.8776	1.7928	1.8088	1.6432	1.6376	1.5392	1.6536	1.9176	1.6448	1.72102	2	0.302533	0.29062	0.28469	0.28297	0.285006	0.288	0.2864	0.296	0.290507	0.288332	0.29056	0.289602	0.290915	0.011803	0.000349348	-0.00728797	0.00616348	0.00598348	0.0183791	0.0210041	0.0127477	0.0083186	0.0094576	0.016284	0.00389655	0.0130925	0.0181257	0.0222368	-0.00192108	0.00235241	0.0127037	0.0157241	0.0166193	0.00280573	0.00416089	0.0242365	0.0154426	0.0262508	0.030901	0.0185967	0.0229708	0.0155587	0.0037498	0.00489849	0.00790911	0.0199823	0.00277635	0.00379611	0.00897847	-0.00663771	0.0113635	0.00888656	0.0113382	0.0243202	0.00967316	0.0164419	0.0167723	0.00920269	-0.010727	-0.00976079	0.0135442	0.0176717	0.0312864	0.0154006	0.0187246	0.0218807	-0.00812541	-0.0100433	0.00510552	0.0761164	0.0756628	0.0611426	0.0691643	0.0303514	0.0253566	0.000460405	0.0301562	0.0794398	0.0196554	0.00361932	-0.0105049	-0.0031348	-0.0418478	-0.0444617	-0.0731664	-0.0406722	0.00552943	-0.0478062	-0.0131472	-0.00611807	-0.0437136	-0.0489353	-0.0802469	-0.045473	0.00322658	-0.0504305	0.00497788	-0.0320924	-0.0337404	-0.0566766	-0.0328349	0.0180197	-0.0358245	-0.0384534	-0.0383056	-0.0670398	-0.0365984	0.00836956	-0.0374946	-0.00266473	-0.0334172	0.00193237	0.0478191	-0.00147059	-0.0333608	0.00393895	0.0499595	-0.000246548	0.0288779	0.0750801	0.0201012	0.0442495	-0.00602119	-0.0499964
7	3.65972	-1.40301	3.3644	4568	0	457	4568	914	1370	1827	2284	2741	3198	3654	4111	0.0395362	2314	0	457	4568	914	1370	1827	2284	2741	3198	3654	4111	1.3128	1.4536	1.4752	1.4328	1.448	1.3576	1.3336	1.404	1.6816	1.8736	1.66	1.49389	2	0.170533	0.16192	0.161443	0.159782	0.167127	0.159467	0.153067	0.2192	0.317387	0.31502	0.297813	0.207524	0.244455	0.156999	-0.00060828	0.000584878	0.008539	0.0283879	0.0215281	0.0222114	0.024262	0.0310407	0.0166239	0.0342103	0.0752746	0.068018	0.0684528	0.0753158	0.0475854	0.0642092	0.079832	0.0652284	0.0839798	0.036273	0.038819	0.350661	0.383768	0.391638	0.389103	0.385867	0.382526	0.389962	0.176157	0.262045	0.268372	0.256355	0.249681	0.226111	0.23095	0.196094	0.143422	0.197456	0.203376	0.188622	0.193782	0.177579	0.178118	0.200141	0.0229197	0.15229	0.229247	0.233624	0.221039	0.223212	0.202295	0.215163	0.256712	0.0272663	0.008608	0.0610012	0.0752584	0.0613599	0.0636401	0.0376873	0.00216138	-0.0933852	-0.000753012	0.0423157	0.0160256	0.00827557	-0.00285553	-0.0043369	-0.023608	-0.06071	-0.149214	-0.0673927	-0.0232689	-0.0540865	-0.00823828	-0.0145403	-0.0423687	-0.0700539	-0.181971	-0.0877915	-0.0426907	-0.0714102	-0.00611772	-0.0226218	-0.0541258	-0.163311	-0.0666238	-0.0270518	-0.0512175	-0.0309993	-0.0565134	-0.17352	-0.0656761	-0.0191878	-0.05625	-0.0185654	-0.137879	-0.0397059	-0.00400641	-0.0361111	-0.104545	-0.0147808	0.0288838	-0.00890208	0.103062	0.16017	0.119188	0.0336999	0.0223133	-0.00780803
8	3.38245	-1.70456	3.77499	2412	0	241	2412	482	724	965	1206	1447	1688	1930	2171	0.0197443	5956	0	241	2412	482	724	965	1206	1447	1688	1930	2171	1.3456	1.5808	1.608	1.5216	1.5712	1.4208	1.364	1.2392	1.5064	1.6776	1.5272	1.48749	2	0.190933	0.19882	0.20343	0.191612	0.211103	0.190773	0.165547	0.1312	0.2368	0.24747	0.24256	0.200932	0.264357	0.225988	0.0462053	0.0383205	0.0352708	0.0881092	0.0706058	0.0795302	0.0783598	0.0818181	0.0707806	0.100502	0.12936	0.119511	0.102379	0.147063	0.0513056	0.250196	0.223442	0.205842	0.257153	0.172027	0.173825	0.426809	0.35344	0.34609	0.385251	0.365028	0.420104	0.497724	0.308673	0.32671	0.323657	0.343253	0.32659	0.339167	0.416851	0.37723	0.251454	0.276259	0.275595	0.282379	0.278329	0.293302	0.353411	0.338276	0.073807	0.233253	0.264251	0.262655	0.273774	0.259234	0.282244	0.361624	0.387494	0.0972882	0.0347298	0.0822505	0.0856986	0.0710081	0.0608553	0.0087832	-0.0455399	-0.16171	-0.065942	0.0231153	-0.0209472	-0.000718391	-0.0137974	-0.0204	-0.0671667	-0.116071	-0.251987	-0.149981	-0.0618353	-0.107487	-0.0141326	-0.0153406	-0.0588803	-0.120567	-0.243951	-0.145153	-0.0610176	-0.111828	-0.00479413	-0.052213	-0.10155	-0.235766	-0.117188	-0.0476827	-0.103972	-0.0381508	-0.108887	-0.22695	-0.116386	-0.0362158	-0.0879523	-0.0573477	-0.180653	-0.0602241	0.015873	-0.0227882	-0.135802	-0.0245399	0.0640995	0.0183575	0.107172	0.175835	0.109346	0.0524605	0.0328983	-0.0151515
9	2.57252	-0.911855	2.4374	374	0	37	374	75	112	150	187	224	262	299	337	0.122502	274	0	37	374	75	112	150	187	224	262	299	337	1.1072	1.2104	1.2104	1.0968	1.1288	1.1152	1.1168	1.3816	1.5424	1.6608	1.4936	1.27855	2	0.0581333	0.0719	0.0690458	0.0470909	0.0503152	0.0558933	0.0533333	0.2124	0.24752	0.254708	0.221547	0.12199	0.161109	0.262158	0.0713262	0.0357123	0.0778615	0.382796	0.339614	0.328656	0.22206	0.209573	0.193946	0.380106	0.247818	0.2244	0.211605	0.407785	0.0827792	0.230966	0.202876	0.192873	0.399615	0.0927896	0.0489164	0.474284	0.595422	0.604195	0.652125	0.621104	0.541861	0.543144	0.214377	0.378337	0.386581	0.43188	0.377176	0.295189	0.29355	0.12733	0.142129	0.253663	0.255328	0.280791	0.233032	0.192132	0.188932	0.135145	0.0217543	0.181059	0.330357	0.337644	0.404606	0.336851	0.256857	0.253584	0.191505	0.0344007	0.0270829	0.148313	0.135825	-0.0285714	0.0788288	0.0490196	0.0612745	-0.169643	-0.0122549	0.078714	0.0710784	0.00459089	-0.140741	-0.0234375	-0.0687057	-0.0545213	-0.275	-0.141204	-0.0605722	-0.104167	-0.117612	-0.00733753	-0.0464853	-0.0390071	-0.227941	-0.141723	-0.0422017	-0.0722222	0.133721	0.0384615	0.0900901	-0.105556	-0.01875	0.0795455	0.0448718	-0.0977444	-0.0559701	-0.219697	-0.121951	-0.0536364	-0.0496032	0.0462185	-0.166667	-0.0833333	-0.00275482	-0.0416667	-0.177778	-0.0637255	0.0104377	-0.0482456	0.184285	0.231511	0.201205	0.0495928	0.0297735	-0.0216625
