Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	1.92868	-1.37677	4.31774	85	0	9	85	17	26	34	43	51	59	68	77	0.0419979	20785	0	9	85	17	26	34	43	51	59	68	77	1.2672	1.396	1.4416	1.3248	1.4104	1.3112	1.2976	1.2608	1.3648	1.528	1.3672	1.36087	2	0.1504	0.148873	0.158395	0.129127	0.163055	0.143893	0.137013	0.143467	0.166933	0.197063	0.1672	0.155038	0.273319	0.44146	0.382857	0.294327	0.390912	0.523948	0.548685	0.500004	0.452977	0.504466	0.466793	0.50936	0.486475	0.521241	0.484483	0.535577	0.299539	0.476833	0.506649	0.470886	0.523953	0.348289	0.343949	0.460399	0.498131	0.441306	0.503039	0.404243	0.429101	0.391553	0.452217	0.496547	0.460629	0.509572	0.426354	0.440512	0.411463	0.303684	0.399643	0.456054	0.43045	0.447269	0.401007	0.390712	0.364161	0.293827	0.223302	0.429256	0.477429	0.439884	0.49095	0.419316	0.423617	0.41337	0.352964	0.288876	0.250846	0.0347585	0.0833333	0.0360046	0.0989761	0.053528	0.0456577	0.0362903	0.0796159	0.141581	0.0757576	0.0765034	0.0208333	0.0849975	0.0251906	0.040038	0.0110424	0.0476097	0.127602	0.0521772	-0.0147156	0.0222708	-0.0212843	-0.0332614	-0.044482	0.00377229	0.0682666	-0.0110153	0.0564928	0.0192529	-0.00536723	-0.0184544	0.0083612	0.0829524	0.0252838	-0.0469484	-0.0462719	-0.0641822	-0.00724638	0.0490252	-0.0316518	0.000477555	-0.0129758	0.0648446	0.123598	0.037155	-0.0318383	0.031348	0.093448	0.0126183	0.0313433	0.103322	0.044359	0.0440263	-0.0154553	-0.054719
1	3.18714	-1.23618	3.49932	1539	0	154	1539	308	462	616	770	923	1077	1231	1385	0.0580524	3157	0	154	1539	308	462	616	770	923	1077	1231	1385	1.52	1.8416	1.8632	1.768	1.7728	1.6048	1.632	1.5072	1.6328	1.8896	1.6112	1.69484	2	0.2864	0.282613	0.281689	0.274848	0.276436	0.272747	0.281493	0.281867	0.282933	0.283179	0.271893	0.279645	0.288023	0.0309795	0.0120098	0.00342249	0.0244248	0.0441426	0.0518819	0.037007	0.03933	0.0371665	0.0340912	0.0394619	0.03941	0.0414485	0.0323332	0.0539712	0.0321905	0.0288489	0.0375615	0.0349175	0.0394311	0.0276422	0.0188513	0.0272738	0.0358741	0.0283449	0.0358279	0.02012	0.0191349	0.00683251	0.0236865	0.0346409	0.0261898	0.0296213	0.0230097	0.0295871	0.0208481	-0.00802759	0.0242998	0.0397494	0.0274518	0.037657	0.0337965	0.024471	0.021162	0.0102717	0.0144127	0.0307549	0.0408657	0.0263342	0.0370612	0.0289936	0.0411268	0.0209781	0.00692057	0.0184306	0.01154	0.0636724	0.0693673	0.0622475	0.0558036	0.0311245	0.0296919	-0.0155109	0.034573	0.0754711	0.0232398	0.00459456	-0.00904998	-0.0117986	-0.0363834	-0.0353002	-0.0826909	-0.0397946	0.00656996	-0.0448469	-0.0137373	-0.0186792	-0.0412186	-0.0366146	-0.0852038	-0.0407594	0.00240453	-0.0425502	-0.00798817	-0.0327177	-0.0243009	-0.0721374	-0.0310962	0.014437	-0.0299	-0.0237772	-0.0191366	-0.0606747	-0.0195364	0.0215686	-0.0233243	0.00496032	-0.0374861	0.00152439	0.0413379	-0.00991132	-0.0472038	-0.00620964	0.0381232	-0.0124492	0.0336851	0.0827785	0.0334711	0.0405699	-0.0025025	-0.0454924
2	2.69655	-1.35134	4.13723	497	0	50	497	99	149	199	249	298	348	398	447	0.0445303	13716	0	50	497	99	149	199	249	298	348	398	447	1.4568	1.7232	1.7696	1.632	1.6544	1.524	1.5536	1.4568	1.5656	1.7824	1.5608	1.6072	2	0.254	0.261453	0.271686	0.243588	0.246667	0.236267	0.253173	0.250933	0.256907	0.264218	0.255573	0.254042	0.285264	0.108528	0.0712447	0.0493755	0.0729775	0.153967	0.155062	0.14206	0.125079	0.131152	0.110278	0.156382	0.135573	0.138331	0.111612	0.158725	0.0890876	0.10725	0.107013	0.0909515	0.143822	0.0784385	0.0927336	0.106629	0.111349	0.0897551	0.143361	0.103602	0.108489	0.0841172	0.107908	0.120813	0.0979197	0.13917	0.09723	0.105129	0.0940322	0.0880878	0.0883849	0.114464	0.103515	0.136868	0.100438	0.0969224	0.0919008	0.0771651	0.0453352	0.091906	0.104787	0.094216	0.141717	0.0986337	0.113411	0.0954007	0.0671179	0.0628414	0.0533078	0.0633065	0.0679882	0.0456891	0.0525298	0.0319635	0.0503236	-0.000527426	0.0311284	0.0918107	0.033237	0.00780027	-0.0222418	-0.00857843	-0.0390827	-0.0188162	-0.068569	-0.033934	0.0244988	-0.0259202	-0.0275888	-0.0137411	-0.0377677	-0.0248279	-0.0706076	-0.040518	0.0204349	-0.0381526	0.0106104	-0.0219444	-0.00275157	-0.0529378	-0.0200642	0.0405012	-0.0166398	-0.0207379	-0.00626844	-0.05219	-0.0232767	0.0294463	-0.0191511	0.0172798	-0.0209924	-0.000294464	0.0565731	0.00899281	-0.0485481	-0.0154321	0.0476007	-0.0102041	0.0300798	0.0915204	0.0407509	0.0572458	0.00448934	-0.0503428
3	1.82941	-0.635885	3.00657	68	0	7	68	14	20	27	34	41	48	54	61	0.231268	1015	0	7	68	14	20	27	34	41	48	54	61	1.2384	1.38	1.4224	1.292	1.288	1.204	1.2272	1.1832	1.2536	1.424	1.2392	1.28655	2	0.129733	0.14252	0.153903	0.122352	0.106242	0.0904533	0.0990933	0.0986667	0.112533	0.138293	0.104693	0.118044	0.168521	0.265472	0.130971	0.104025	0.160971	0.367848	0.371124	0.351588	0.309354	0.309717	0.293647	0.376638	0.313415	0.292277	0.264865	0.375385	0.115428	0.261824	0.261349	0.240329	0.348003	0.134238	0.147381	0.264175	0.247272	0.230461	0.321262	0.181735	0.212406	0.146391	0.270591	0.271221	0.24753	0.337583	0.216444	0.20321	0.16169	0.0971541	0.258356	0.292862	0.282871	0.341851	0.212848	0.188126	0.163101	0.0819263	0.0575454	0.30029	0.283468	0.267187	0.36739	0.24542	0.253519	0.208083	0.159952	0.112314	0.0879178	0.0879278	0.0877855	0.0977273	0.12069	0.00520833	0.0635965	0	0.144279	0.152327	0.0366162	0.0109223	-0.0188272	0.044967	-0.0503692	-0.00637255	-0.0442308	0.0806925	0.0705923	-0.0100309	-0.0440252	0.0538647	-0.0574282	-0.0238889	-0.0717593	0.0639535	0.0850611	-0.00992063	0.0931373	-0.0440705	0.014245	0.00757576	0.0409226	0.121309	-0.0336538	-0.0477829	-0.0280374	-0.0987179	-0.00245098	0.0416476	-0.0569106	0.0175439	-0.026936	0.0462963	0.114248	0.0165165	-0.0233918	0.0511811	0.0770416	-0.034153	0.0451389	0.120477	0.0525641	0.0426662	-0.047081	-0.0852814
4	3.06435	-1.98902	2.74054	1160	0	116	1160	232	348	464	580	696	812	928	1044	0.0102559	550	0	116	1160	232	348	464	580	696	812	928	1044	1.2304	1.44	1.4736	1.3128	1.3192	1.2168	1.2312	1.1856	1.2976	1.576	1.2824	1.32415	2	0.1264	0.169473	0.17018	0.128824	0.128279	0.0970667	0.106347	0.103067	0.133067	0.212208	0.12528	0.136381	0.187817	0.189335	0.153042	0.104026	0.186277	0.234654	0.266773	0.235258	0.177305	0.218037	0.187681	0.254918	0.181571	0.1889	0.155578	0.231105	0.139067	0.179832	0.179784	0.154828	0.239159	0.153814	0.163902	0.169802	0.176318	0.136673	0.21157	0.166484	0.178281	0.122489	0.173214	0.194762	0.162148	0.229442	0.194627	0.184053	0.168704	0.145808	0.133446	0.213051	0.193511	0.220326	0.187515	0.139384	0.128319	0.107575	0.0851956	0.172913	0.18154	0.153371	0.224795	0.183629	0.165922	0.14871	0.150908	0.114712	0.0959779	0.075	0.0760829	0.0848554	0.0778509	0.0485395	0.0172276	-0.0159574	0.0238095	0.0844682	0.0583736	0.0253803	0.0211299	0.00348407	-0.0267479	-0.0513778	-0.0953341	-0.0189926	0.025974	-0.0211589	0.00699234	-0.0184599	-0.0425101	-0.0650206	-0.110755	-0.0368988	0.00681818	-0.039468	-0.0166667	-0.0566667	-0.0809028	-0.110725	-0.0432227	0.00409836	-0.0389566	-0.0269131	-0.0403439	-0.101087	-0.0204973	0.0191221	-0.027668	-0.0166667	-0.0708556	0.00240385	0.0449677	0.010467	-0.0364322	0.015625	0.0613302	0.0439394	0.0730198	0.112469	0.0878939	0.0439908	0.00870147	-0.0441669
5	1.75786	-0.742567	2.18793	57	0	6	57	11	17	23	29	34	40	46	51	0.180897	154	0	6	57	11	17	23	29	34	40	46	51	1.1936	1.3272	1.3672	1.2096	1.2272	1.1592	1.1768	1.1208	1.2112	1.3624	1.1856	1.23098	2	0.1068	0.128453	0.141333	0.0884848	0.0894788	0.0733867	0.0782933	0.0652	0.0932267	0.129562	0.0847467	0.0980878	0.15648	0.318767	0.1796	0.142523	0.205392	0.442428	0.408284	0.381985	0.393677	0.368955	0.335951	0.410413	0.41655	0.354564	0.316496	0.425846	0.178984	0.37028	0.324436	0.286386	0.383936	0.179391	0.212915	0.362018	0.292463	0.253215	0.376624	0.252224	0.303149	0.206005	0.365452	0.335038	0.297414	0.397135	0.302077	0.323565	0.235802	0.166075	0.328514	0.352708	0.331167	0.369226	0.290312	0.274858	0.21419	0.127644	0.122698	0.380758	0.337516	0.297529	0.399206	0.312679	0.342815	0.255298	0.19687	0.179762	0.138647	0.101863	0.11475	0.10034	0.09375	-0.0277778	0.0471014	0.0178571	-0.0520833	0.0625	0.0921053	0.0403026	0.0198864	0.00130208	-0.0625	-0.0661232	0.00833333	-0.0104167	0.146436	0.0729167	-0.0331675	0.0211988	-0.0231481	-0.0833333	-0.116959	-0.0213675	0.0641903	-0.0205761	0.0649718	0.0111111	0.0580357	0.0585586	0.0126812	0.0879028	0.0561224	-0.0557171	-0.0208333	-0.137626	-0.0487179	0.0444331	-0.0233918	0.0891813	-0.0543478	0.0035461	0.0986051	0.0116279	-0.0645161	0.00966184	0.129104	0.0222222	0.0699234	0.144788	0.0644444	0.0480868	0.00550964	-0.0898378
6	2.59363	-0.905992	3.12769	392	0	39	392	78	118	157	196	235	274	314	353	0.124168	1342	0	39	392	78	118	157	196	235	274	314	353	1.4168	1.7208	1.744	1.5432	1.5208	1.4264	1.42	1.352	1.4816	1.6712	1.4488	1.52233	2	0.231467	0.24894	0.236779	0.203733	0.187491	0.193333	0.186453	0.1932	0.21664	0.215221	0.199307	0.210233	0.232882	0.0801529	0.0435134	0.0147581	0.0464498	0.125568	0.128849	0.102227	0.121423	0.11221	0.0866642	0.108738	0.111745	0.105164	0.0821251	0.103209	0.0198006	0.0971657	0.0931032	0.0624751	0.0895992	0.0405741	0.0245205	0.0847701	0.0746713	0.0503456	0.0920503	0.0728632	0.0693083	0.0532194	0.0763795	0.094862	0.0779556	0.0941998	0.069141	0.0587347	0.0408629	0.020336	0.102612	0.113709	0.0895447	0.103978	0.0637245	0.0634045	0.0447586	0.0291123	0.0180129	0.0853392	0.0933223	0.0599842	0.0812047	0.0644415	0.064747	0.0547157	0.0282479	0.0230898	0.0259935	0.081062	0.0981651	0.0717822	0.070643	0.0212418	0.0648926	0.00306748	0.0458221	0.0966041	0.0284722	0.0270976	-0.0056516	-0.00643382	-0.0560224	-0.0194979	-0.0619033	-0.0322811	0.0165163	-0.0434524	-0.0250758	-0.0184353	-0.0702784	-0.0295212	-0.0732564	-0.049725	0.00303191	-0.0586729	0.00266792	-0.0445614	-0.013424	-0.061257	-0.0273252	0.0253863	-0.0360999	-0.0400198	-0.00707384	-0.0599274	-0.0285132	0.0150255	-0.0394284	0.0307407	-0.0149287	0.0175242	0.0621735	0.00786164	-0.0453333	-0.00764526	0.032564	-0.0238095	0.0316788	0.0789049	0.020938	0.04978	-0.00747863	-0.0509017
7	3.35651	-1.21889	4.34129	2273	0	227	2273	455	682	909	1137	1364	1591	1818	2046	0.0604102	21943	0	227	2273	455	682	909	1137	1364	1591	1818	2046	1.5136	1.8592	1.872	1.792	1.8048	1.6424	1.6736	1.5496	1.6592	1.9136	1.6416	1.72015	2	0.280267	0.292693	0.290933	0.285709	0.292788	0.289867	0.299787	0.302533	0.297493	0.29679	0.28832	0.292471	0.297935	0.019958	-0.000377685	0.0100365	0.00702868	0.037305	0.0343501	0.0289455	0.0235216	0.0244187	0.0191177	0.0280266	0.0187946	0.0301661	0.0215821	0.0189019	0.0107295	0.0127985	0.0188737	0.0150385	0.0306937	0.0136734	0.00261615	0.0211622	0.0256081	0.0233796	0.0383818	0.0267654	0.0291963	0.008031	0.0260336	0.0197974	0.0181715	0.0210059	0.019696	0.0206314	0.00571175	0.0171465	0.0206705	0.0189799	0.0114698	0.0271116	0.0184251	0.015449	0.0129867	0.0127471	0.0038827	0.0307869	0.0250888	0.0278267	0.0322406	0.0368135	0.0349258	0.0245909	0.0328464	0.0120821	0.0164493	0.0705219	0.0830618	0.0662739	0.0792713	0.039676	0.0376214	0.015343	0.0377923	0.0783426	0.0366833	0.00680313	-0.0105161	0.0022807	-0.0405661	-0.0358452	-0.0706003	-0.0367501	0.000947878	-0.0405064	-0.0170044	-0.00779727	-0.0491792	-0.0431664	-0.0766607	-0.0424098	-0.0061559	-0.0547435	0.01163	-0.0298762	-0.0279828	-0.0579762	-0.0203354	0.0103718	-0.0341149	-0.0392962	-0.0377475	-0.071075	-0.039079	0.00161954	-0.0457746	0.0044289	-0.0228864	0.00379867	0.0423235	-0.00462287	-0.0277778	-0.000230203	0.0381424	-0.0104167	0.0307914	0.0721292	0.0256104	0.036427	-0.0102381	-0.0459608
8	2.72408	-1.80045	4.66212	530	0	53	530	106	159	212	265	318	371	424	477	0.0158326	45932	0	53	530	106	159	212	265	318	371	424	477	1.4016	1.6384	1.6944	1.5312	1.588	1.4728	1.4824	1.3824	1.5144	1.7312	1.5144	1.54102	2	0.223333	0.22468	0.246306	0.205079	0.226848	0.216907	0.22112	0.210533	0.234773	0.254902	0.233227	0.227064	0.285983	0.205697	0.212203	0.113742	0.183321	0.278466	0.286018	0.235446	0.228494	0.255266	0.198536	0.250155	0.233778	0.243426	0.199075	0.26561	0.160764	0.219293	0.227987	0.176253	0.257604	0.181601	0.172494	0.212583	0.240484	0.162698	0.238551	0.225022	0.224539	0.21463	0.201449	0.209806	0.160997	0.234472	0.192955	0.200912	0.178603	0.159029	0.184925	0.229405	0.184646	0.224108	0.195967	0.194191	0.175384	0.161758	0.112087	0.176296	0.219034	0.158706	0.248892	0.200965	0.2	0.181652	0.179785	0.136602	0.121547	0.0784991	0.0916573	0.0649536	0.095143	0.0395418	0.0545356	0.0107143	0.0589474	0.109611	0.0527317	0.0185122	-0.015397	-0.000928875	-0.0512566	-0.0504424	-0.0919339	-0.026415	0.010335	-0.0399653	-0.0334305	-0.018546	-0.0738551	-0.0546418	-0.0961696	-0.0385653	0.0040553	-0.0447774	0.00831923	-0.0272961	-0.0286116	-0.054932	-0.0113567	0.0417142	-0.0188221	-0.0356942	-0.0415957	-0.0664642	-0.0183715	0.0267256	-0.0332462	-0.00428922	-0.0294985	0.0234834	0.0649713	0.0202703	-0.0453405	0.0209924	0.058147	0.0115481	0.0559006	0.112111	0.0540028	0.0395412	-0.00294464	-0.0487838
9	2.00443	-0.805572	2.03261	101	0	10	101	20	30	40	51	61	71	81	91	0.156469	108	0	10	101	20	30	40	51	61	71	81	91	1.1944	1.3832	1.4056	1.2112	1.208	1.1552	1.1488	1.12	1.1992	1.3768	1.1808	1.23484	2	0.105733	0.14028	0.14001	0.0864121	0.0801939	0.0706667	0.0655467	0.0637333	0.0860267	0.127439	0.0794667	0.0950463	0.141786	0.253337	0.116711	0.0615864	0.147086	0.36826	0.347259	0.312969	0.319476	0.306988	0.26842	0.365606	0.299936	0.260283	0.219873	0.346496	0.115481	0.292797	0.245661	0.204247	0.345327	0.160728	0.125342	0.23801	0.203313	0.158209	0.308026	0.190141	0.175366	0.14358	0.279899	0.26575	0.22502	0.345226	0.266312	0.244406	0.206145	0.0934734	0.244544	0.291521	0.264695	0.314915	0.239402	0.189895	0.165033	0.0637568	0.0924867	0.28745	0.265311	0.225506	0.358215	0.273278	0.25133	0.219052	0.122422	0.114272	0.0930053	0.104473	0.115698	0.145238	-0.0138889	-0.0238095	-0.0192308	-0.05	0.0238095	0.10303	-0.0208333	0.0298541	-0.0047619	-0.0100575	0.0287698	-0.0720486	-0.133333	0.0906863	-0.000189394	0.0267857	-0.0755814	-0.0745614	-0.0811966	-0.119048	-0.129085	-0.0424837	0.00534759	-0.0729167	0.0119048	-0.0401786	-0.0648148	-0.0540541	0.0323129	0.0616744	-0.00877193	-0.0408903	-0.046224	-0.0510204	-0.0641026	0.0311896	-0.0416667	-0.0125786	-0.0329457	0.0324074	0.0484848	0.040404	-0.0362319	0.0287356	0.0900482	0.0111111	0.0576132	0.0958647	0.013285	0.062194	-6.21725e-18	-0.0657546
