Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	2.75332	-1.81197	4.36249	567	0	57	567	113	170	227	284	340	397	454	510	0.015418	23040	0	57	567	113	170	227	284	340	397	454	510	1.3864	1.608	1.6568	1.4976	1.5656	1.4312	1.444	1.3768	1.496	1.688	1.4784	1.51171	2	0.213067	0.219107	0.234201	0.193685	0.217576	0.199627	0.200533	0.208133	0.22976	0.238809	0.2168	0.215572	0.270764	0.203296	0.160155	0.14021	0.172218	0.274413	0.269406	0.257749	0.202231	0.209226	0.198726	0.269115	0.220466	0.213728	0.206202	0.291442	0.176629	0.21433	0.209626	0.195187	0.269846	0.183364	0.19968	0.224309	0.187813	0.198574	0.27953	0.215093	0.216123	0.198667	0.170904	0.185675	0.180712	0.265995	0.185922	0.203397	0.183263	0.147794	0.17762	0.195705	0.197824	0.244951	0.192493	0.189743	0.176106	0.159985	0.117201	0.168848	0.182303	0.173454	0.255344	0.177529	0.202723	0.178621	0.156186	0.127055	0.119475	0.0577309	0.067257	0.0392498	0.0756579	0.0126812	0.0378788	-0.00337838	0.0346062	0.0905447	0.03365	-0.00098912	-0.0519667	-0.00941092	-0.0586634	-0.0352917	-0.0741773	-0.0390927	0.0205615	-0.0327947	-0.0341	-0.00163934	-0.0529964	-0.0423782	-0.0858218	-0.0378881	0.0164509	-0.033945	0.0472756	-0.00759219	0.0076567	-0.0218579	0.000864454	0.0555032	0.002772	-0.0448839	-0.0435824	-0.0837004	-0.0325321	0.0166667	-0.029601	0.00880902	-0.0107261	0.0237053	0.071281	0.0208333	-0.0471698	0.00959488	0.0671912	0.0057971	0.0461936	0.089315	0.0436782	0.0466667	-0.00461133	-0.0488329
1	3.45517	-1.37542	3.3206	2852	0	285	2852	570	856	1141	1426	1711	1996	2282	2567	0.0421289	2092	0	285	2852	570	856	1141	1426	1711	1996	2282	2567	1.536	1.8544	1.8792	1.7704	1.812	1.6488	1.6408	1.5392	1.6352	1.9096	1.6304	1.71418	2	0.293733	0.28512	0.287048	0.280848	0.283103	0.291413	0.28416	0.2968	0.2904	0.289704	0.283893	0.287839	0.293468	0.0256413	0.0123244	0.0101654	0.0171099	0.0455219	0.0417529	0.0457691	0.0358054	0.0304408	0.0237616	0.0433212	0.0362763	0.029871	0.0329771	0.0425429	0.0157656	0.0160781	0.0185154	0.0238044	0.0302665	0.0166295	0.0254064	0.0322299	0.0267689	0.0253887	0.0422282	0.0236814	0.0183303	0.0305776	0.0243848	0.0181514	0.0180575	0.0326383	0.0121322	0.014247	0.00801105	0.0133663	0.0225412	0.0232264	0.021815	0.0376386	0.0266625	0.0281388	0.00842512	0.0159299	0.00797914	0.0270034	0.0204395	0.0283222	0.0388358	0.0279148	0.0265905	0.0187932	0.0198863	0.0239009	0.0106358	0.0792011	0.0824676	0.0724852	0.0715138	0.0189637	0.0401479	0	0.0407258	0.0873819	0.0298103	0.00489874	-0.0108507	-0.00853861	-0.0573741	-0.0353194	-0.0756534	-0.03375	0.0045004	-0.049148	-0.0123423	-0.0133299	-0.0627584	-0.04175	-0.0829539	-0.041496	0.000817701	-0.0543225	0.0016835	-0.0493065	-0.0272374	-0.0661127	-0.0260831	0.0156858	-0.0387139	-0.0496081	-0.0276718	-0.0668083	-0.025353	0.0105984	-0.0428937	0.0247875	-0.0142561	0.0233667	0.0611414	0.00526064	-0.0327141	-0.0014245	0.037051	-0.01924	0.0375267	0.0836557	0.025	0.040567	-0.0178571	-0.0526277
2	2.63047	-0.794992	2.09846	427	0	43	427	85	128	171	214	256	299	342	384	0.160328	125	0	43	427	85	128	171	214	256	299	342	384	1.3616	1.6816	1.6856	1.3352	1.2904	1.2464	1.2568	1.2088	1.276	1.4248	1.2616	1.36625	2	0.1976	0.227853	0.222405	0.126909	0.104776	0.109813	0.115307	0.114133	0.117227	0.133926	0.116373	0.144211	0.171939	0.101327	0.025816	0.0115444	0.0435385	0.221097	0.180732	0.16317	0.169996	0.12344	0.104336	0.167998	0.134993	0.0858547	0.0744227	0.168767	0.0224248	0.111471	0.0736637	0.0536111	0.150653	0.0211599	0.00526316	0.0974715	0.0716716	0.0512847	0.167247	0.0773156	0.0800454	0.0360165	0.133413	0.0926551	0.0710035	0.16663	0.070298	0.0564463	0.0267857	0.0379222	0.140736	0.13952	0.11873	0.167037	0.0706502	0.0669683	0.0375457	0.0189179	0.00930308	0.108232	0.0862365	0.073925	0.164239	0.0863885	0.0813718	0.0456243	0.0574478	0.0412258	0.0212674	0.110706	0.112698	0.0820771	0.110427	0.100368	0.0824373	0.0231214	0.0814917	0.121652	0.0828901	0.00528975	-0.0103799	0.0157782	-0.00585399	-0.0176282	-0.0774522	-0.0242188	0.0295455	-0.0204757	-0.0162116	0.0180153	-0.0107897	-0.0207787	-0.0736883	-0.0232039	0.0253651	-0.0292887	0.0339744	0.00400291	-0.002849	-0.045935	0.00468975	0.0425113	0.00114155	-0.0358423	-0.038207	-0.0924242	-0.0379433	0.00874701	-0.0425764	-0.00829876	-0.0499154	-0.00617284	0.0499109	-0.0268293	-0.0543301	-0.00146843	0.0498651	-0.00550314	0.0551852	0.103268	0.0516827	0.0446033	-0.00816327	-0.0503538
3	1.77587	-0.96021	4.31064	60	0	6	60	12	18	24	30	36	42	48	54	0.109595	20447	0	6	60	12	18	24	30	36	42	48	54	1.28	1.4088	1.44	1.2736	1.4064	1.3056	1.348	1.3168	1.4024	1.544	1.3984	1.37491	2	0.154667	0.154887	0.16469	0.107261	0.164303	0.142987	0.16208	0.178533	0.18928	0.201274	0.183893	0.163987	0.262469	0.39756	0.25257	0.181139	0.247318	0.577459	0.556552	0.521967	0.421321	0.467031	0.429023	0.504747	0.444083	0.467365	0.431226	0.533422	0.21566	0.422084	0.460225	0.419432	0.521639	0.243902	0.256499	0.372741	0.427251	0.395508	0.515295	0.312264	0.312862	0.264367	0.383504	0.442061	0.40713	0.504766	0.362825	0.356183	0.310638	0.200956	0.358887	0.415886	0.38671	0.445379	0.352211	0.349307	0.312499	0.20493	0.147068	0.403849	0.446157	0.42145	0.523074	0.382405	0.385256	0.340417	0.246814	0.195439	0.186499	0.0491266	0.0811466	0.0395221	0.117027	0.0657439	0.100177	0.0927835	0.091092	0.147381	0.103535	0.0347095	-0.0318093	0.0376873	-0.0312833	0.0316184	0.0160256	0.0321447	0.0800463	0.0508616	-0.0459332	0.0286242	-0.0384883	0.00536518	-0.0074016	0.00728863	0.0557426	0.0142236	0.0541289	0.0240492	0.0836075	0.0409556	0.0682796	0.114542	0.0926816	-0.0283333	-0.00623053	-0.0182292	-0.00826631	0.056547	0.018287	0.038329	0.015752	0.0459082	0.101421	0.0674974	-0.0220037	0.0150685	0.067602	0.0252226	0.0094697	0.0703173	0.0273438	0.0460168	0.0168919	-0.0568756
4	2.59184	-1.6081	4.3403	391	0	39	391	78	117	156	196	235	274	313	352	0.0246549	21893	0	39	391	78	117	156	196	235	274	313	352	1.3848	1.6088	1.6672	1.4624	1.56	1.4112	1.4344	1.3544	1.4968	1.6888	1.48	1.50444	2	0.213333	0.229633	0.239184	0.179745	0.216909	0.19024	0.2032	0.1952	0.226133	0.242455	0.220213	0.214204	0.275487	0.215015	0.166882	0.131097	0.167665	0.336225	0.308249	0.292063	0.228619	0.221668	0.220884	0.298481	0.257455	0.224272	0.205185	0.318673	0.157227	0.233735	0.228899	0.21074	0.310638	0.195507	0.190231	0.238095	0.208701	0.198204	0.322256	0.212592	0.227726	0.214979	0.197486	0.203303	0.190791	0.302294	0.203624	0.206471	0.195536	0.150979	0.193984	0.211015	0.198511	0.265579	0.190528	0.187445	0.18034	0.154951	0.102383	0.183071	0.174204	0.166368	0.271132	0.182903	0.191738	0.19862	0.166076	0.107783	0.111321	0.0899805	0.111979	0.035077	0.110632	0.0512175	0.0481305	0.0135135	0.059878	0.123167	0.074228	0.0209137	-0.0560516	0.00984195	-0.045068	-0.0489113	-0.077951	-0.0229244	0.0274038	-0.012269	-0.0941938	-0.0120355	-0.0727253	-0.0683919	-0.106442	-0.050514	-0.00249045	-0.038258	0.0690617	0.0178431	0.0127365	-0.012261	0.0270223	0.0836088	0.0442927	-0.0541505	-0.0456124	-0.0957875	-0.0466477	0.00584274	-0.0282623	-0.001443	-0.0243421	0.010279	0.0653225	0.0284178	-0.0389558	0.0120027	0.064387	0.0253623	0.0409159	0.0942911	0.0531201	0.0505051	0.0132429	-0.0338936
5	3.21152	-1.75376	2.13657	1627	0	163	1627	325	488	651	814	976	1139	1302	1464	0.0176296	137	0	163	1627	325	488	651	814	976	1139	1302	1464	1.3712	1.6504	1.672	1.5064	1.5144	1.4352	1.3968	1.3224	1.46	1.704	1.4456	1.49804	2	0.206933	0.235773	0.229129	0.200218	0.18777	0.196907	0.18224	0.177333	0.209493	0.240478	0.1984	0.20588	0.235579	0.0917929	0.0779199	0.046777	0.0775215	0.140596	0.139872	0.124166	0.11538	0.108141	0.0907106	0.1289	0.0790178	0.078853	0.0672791	0.103616	0.0491053	0.101238	0.0868405	0.070438	0.0971118	0.0715084	0.0506566	0.0979656	0.0845031	0.0705105	0.130243	0.0959149	0.0658481	0.0835662	0.0864486	0.0897989	0.0739214	0.129352	0.0876262	0.0540037	0.0643312	0.0764613	0.0897676	0.10803	0.0941791	0.123023	0.0880797	0.0586797	0.0602394	0.052879	0.0390771	0.103734	0.0946403	0.0774819	0.127549	0.0894118	0.0678684	0.0692893	0.0875526	0.0558025	0.0485743	0.0790895	0.0855423	0.0663507	0.0921456	0.0510417	0.033801	0.00862069	0.0347752	0.0899844	0.0412415	0.0156847	-0.0132929	0.0185999	-0.0256917	-0.0382662	-0.0691333	-0.0359239	0.0109245	-0.0432856	-0.0210303	0.00775304	-0.0334841	-0.0474768	-0.0839734	-0.0539437	0.00281542	-0.0493704	0.0314885	-0.00632911	-0.0302707	-0.0567993	-0.0292367	0.024809	-0.0273605	-0.0403543	-0.0581597	-0.0855637	-0.0545738	-0.00361883	-0.0569532	-0.014763	-0.0537919	-0.0139517	0.0384551	-0.0168232	-0.0381471	-0.00599251	0.0477628	0.00383142	0.0287356	0.0800769	0.0386826	0.0539001	-0.00148478	-0.0499655
6	3.15732	-1.99149	3.47571	1437	0	144	1437	287	431	575	719	862	1006	1150	1293	0.0101979	2990	0	144	1437	287	431	575	719	862	1006	1150	1293	1.3768	1.6496	1.6592	1.5336	1.5416	1.4264	1.4288	1.348	1.4712	1.7272	1.4712	1.51215	2	0.209867	0.231227	0.22606	0.210679	0.204679	0.196213	0.196533	0.192667	0.21216	0.257323	0.2128	0.213655	0.25373	0.132141	0.0933453	0.0755359	0.13808	0.166074	0.179096	0.164951	0.131738	0.153909	0.130537	0.162698	0.130184	0.14877	0.136677	0.176116	0.119003	0.120806	0.135579	0.111269	0.162926	0.110372	0.112058	0.136195	0.143333	0.129381	0.164833	0.136893	0.172389	0.117678	0.0974425	0.123688	0.103262	0.143747	0.109715	0.124414	0.0864693	0.103852	0.0973527	0.143436	0.124307	0.151915	0.129406	0.133832	0.10679	0.108157	0.069889	0.095927	0.118092	0.117754	0.138344	0.113672	0.132139	0.0990022	0.125006	0.0718695	0.0745096	0.0793367	0.0975236	0.0672414	0.0702042	0.0186348	0.0429104	0.000692521	0.0574855	0.113169	0.0473856	0.0150463	-0.0243115	-0.0200212	-0.0683657	-0.050751	-0.0886918	-0.0262646	0.0207111	-0.0274352	-0.0412698	-0.0272694	-0.0824786	-0.0612071	-0.112067	-0.038592	0.00642792	-0.0463138	0.00927616	-0.0455648	-0.0210884	-0.0612164	0.0097137	0.0484823	-0.00220638	-0.0466731	-0.0309808	-0.067433	-0.00702811	0.0376051	-0.0122648	0.0122044	-0.0154321	0.0468384	0.08985	0.0256992	-0.0382997	0.0274643	0.0674099	0.0200302	0.0611947	0.113877	0.0619712	0.0380339	-0.0112755	-0.0474153
7	1.84577	-1.39467	3.31569	70	0	7	70	14	21	28	35	42	49	56	63	0.0403019	2069	0	7	70	14	21	28	35	42	49	56	63	1.1432	1.2752	1.3072	1.1288	1.232	1.1472	1.1272	1.1008	1.1888	1.332	1.1672	1.19542	2	0.0777333	0.113287	0.123953	0.0533697	0.094497	0.06528	0.0578667	0.0549333	0.0825067	0.13004	0.0754667	0.0844484	0.198675	0.53345	0.419537	0.323292	0.454039	0.713794	0.664951	0.606618	0.568339	0.595571	0.5397	0.676126	0.612595	0.583034	0.514457	0.710952	0.448481	0.598581	0.56324	0.490348	0.711137	0.493329	0.521451	0.55301	0.514997	0.4179	0.685556	0.503654	0.544989	0.529152	0.553491	0.552695	0.481541	0.691132	0.556176	0.57072	0.567461	0.389905	0.441553	0.526396	0.464878	0.574753	0.486062	0.452321	0.43985	0.290512	0.284638	0.544531	0.53592	0.454506	0.687607	0.527238	0.560777	0.553039	0.39783	0.413852	0.257566	0.0138514	0.1288	-0.0874317	0.121648	0.0551471	0.0683761	0.0108696	0.0914634	0.153788	0.0649225	0.0620783	-0.130068	0.0622917	0.0162602	-0.0126812	-0.0232372	0.0362903	0.0922619	0.0321365	-0.182588	-0.0255848	-0.0750591	-0.0751964	-0.0848765	-0.020202	0.0394026	-0.039899	0.17827	0.140046	0.102273	0.122312	0.218905	0.261962	0.204106	-0.0445261	-0.0463542	-0.0814394	0.0047619	0.0615691	-0.0267296	0.0251799	-0.108434	0.0232975	0.0582058	0.0643939	-0.0625	0.0350877	0.108326	0.0319149	0.0658915	0.12024	0.0459502	0.0735931	0.00694444	-0.0659384
8	2.66626	-0.69247	2.35121	464	0	46	464	93	139	186	232	278	325	371	418	0.203016	224	0	46	464	93	139	186	232	278	325	371	418	1.4528	1.7408	1.7544	1.4504	1.4216	1.3448	1.3384	1.2896	1.3664	1.5288	1.3504	1.45804	2	0.246667	0.245767	0.241386	0.16743	0.155382	0.153173	0.150933	0.156533	0.162507	0.169278	0.1584	0.182496	0.205053	0.0799049	0.031973	0.0250565	0.0289443	0.193435	0.142396	0.129103	0.159208	0.102327	0.0834647	0.139983	0.12597	0.0702334	0.0535791	0.122731	0.031864	0.115599	0.0659567	0.0538652	0.106232	0.0321309	0.0132103	0.0807114	0.0405944	0.0302558	0.116542	0.0476024	0.00837413	0.0124492	0.12461	0.0720264	0.0627231	0.124812	0.0710802	0.042233	0.0341824	-0.00417711	0.143274	0.102965	0.0941098	0.130155	0.0576266	0.0322764	0.0391412	0.00897416	0.0204787	0.119557	0.0758884	0.0597141	0.120599	0.0618682	0.0500813	0.0538336	0.0181337	0.0125274	0.00768395	0.113636	0.118438	0.0731764	0.0486919	0.0391534	0.0242518	0.00687285	0.0308839	0.0808013	0.0435982	0.00344866	-0.023972	-0.0352746	-0.0444979	-0.0601852	-0.0802817	-0.0517352	0.000815113	-0.0382398	-0.019686	-0.0289559	-0.0414594	-0.0540504	-0.0847339	-0.0494137	0.00021557	-0.0389462	-0.00874126	-0.0277045	-0.0341105	-0.0582359	-0.0306789	0.0253024	-0.0154827	-0.00633413	-0.0248574	-0.0468606	-0.022922	0.0300839	-0.0067804	-0.0195277	-0.0260736	-0.00710227	0.0433255	0.00821256	-0.00875876	0.00406504	0.0539079	0.0217803	0.0311905	0.0758516	0.0410217	0.048321	0.00970018	-0.0388237
9	2.4228	-0.41398	2.55124	265	0	27	265	53	80	106	133	159	186	212	239	0.385496	356	0	27	265	53	80	106	133	159	186	212	239	1.3544	1.6224	1.6368	1.408	1.3704	1.2848	1.304	1.252	1.312	1.4928	1.3064	1.39491	2	0.194267	0.20888	0.199535	0.14297	0.129042	0.127093	0.132267	0.136267	0.134987	0.144949	0.1328	0.153005	0.175156	0.0947889	0.0036465	0.00691455	0.0286268	0.176779	0.131324	0.124856	0.181914	0.137225	0.132333	0.11818	0.145845	0.0962746	0.0907469	0.0946088	0.0243202	0.128707	0.092999	0.0891995	0.0925564	0.026931	0.0244734	0.101812	0.0742864	0.0724344	0.093413	0.0639634	0.030813	0.0242242	0.136972	0.0928651	0.0901144	0.0938984	0.0838591	0.0586207	0.0479417	0.00805467	0.158081	0.136317	0.128326	0.107538	0.0830864	0.0637189	0.0594402	0.0195409	0.0114709	0.136076	0.101932	0.0966891	0.104862	0.104805	0.0811439	0.0707385	0.0319728	0.02788	0.0168606	0.105434	0.108174	0.0769231	0.0505181	0.0233918	0.0407609	0.0160819	0.0357815	0.081906	0.055709	0.010973	-0.0225588	-0.0244434	-0.0594233	-0.0493858	-0.0702408	-0.0231681	0.00568182	-0.0322695	-0.0235615	-0.0239808	-0.0522175	-0.0392682	-0.0626615	-0.0210145	0.00771508	-0.0262541	-0.00956284	-0.0382206	-0.0294486	-0.0432761	-0.0123698	0.0252036	-0.0165394	-0.0217865	-0.0257035	-0.0510204	-0.011175	0.0337243	-0.00890585	0.00787402	-0.0172811	0.0123188	0.0703535	0.03003	-0.0318841	0.0121457	0.0621258	0.0074224	0.0324454	0.0855263	0.0485232	0.0468031	0.00419664	-0.0438871
