Sim	LOG_CAPACITY	LOG_MIGRATION	LOG_N_ANCESTRAL	CAPACITY	DENSINIT0	DENSINIT1	DENSINIT10	DENSINIT2	DENSINIT3	DENSINIT4	DENSINIT5	DENSINIT6	DENSINIT7	DENSINIT8	DENSINIT9	MRATE	N_ANCESTRAL	k_0	k_1	k_10	k_2	k_3	k_4	k_5	k_6	k_7	k_8	k_9	K_1	K_2	K_3	K_4	K_5	K_6	K_7	K_8	K_9	K_10	K_11	mean_K	tot_K	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	mean_H	tot_H	FST	FST_2_1	FST_3_1	FST_3_2	FST_4_1	FST_4_2	FST_4_3	FST_5_1	FST_5_2	FST_5_3	FST_5_4	FST_6_1	FST_6_2	FST_6_3	FST_6_4	FST_6_5	FST_7_1	FST_7_2	FST_7_3	FST_7_4	FST_7_5	FST_7_6	FST_8_1	FST_8_2	FST_8_3	FST_8_4	FST_8_5	FST_8_6	FST_8_7	FST_9_1	FST_9_2	FST_9_3	FST_9_4	FST_9_5	FST_9_6	FST_9_7	FST_9_8	FST_10_1	FST_10_2	FST_10_3	FST_10_4	FST_10_5	FST_10_6	FST_10_7	FST_10_8	FST_10_9	FST_11_1	FST_11_2	FST_11_3	FST_11_4	FST_11_5	FST_11_6	FST_11_7	FST_11_8	FST_11_9	FST_11_10	psi1_2	psi1_3	psi1_4	psi1_5	psi1_6	psi1_7	psi1_8	psi1_9	psi1_10	psi1_11	psi2_3	psi2_4	psi2_5	psi2_6	psi2_7	psi2_8	psi2_9	psi2_10	psi2_11	psi3_4	psi3_5	psi3_6	psi3_7	psi3_8	psi3_9	psi3_10	psi3_11	psi4_5	psi4_6	psi4_7	psi4_8	psi4_9	psi4_10	psi4_11	psi5_6	psi5_7	psi5_8	psi5_9	psi5_10	psi5_11	psi6_7	psi6_8	psi6_9	psi6_10	psi6_11	psi7_8	psi7_9	psi7_10	psi7_11	psi8_9	psi8_10	psi8_11	psi9_10	psi9_11	psi10_11
0	3.36997	-0.644247	2.1858	2344	0	234	2344	469	703	938	1172	1406	1641	1875	2110	0.226857	153	0	234	2344	469	703	938	1172	1406	1641	1875	2110	1.5408	1.8792	1.8848	1.7528	1.832	1.6712	1.6584	1.5424	1.672	1.9168	1.68	1.73004	2	0.298533	0.30084	0.300016	0.281067	0.298739	0.300107	0.296427	0.296933	0.299947	0.299941	0.304907	0.297951	0.302534	0.0174372	0.0109782	0.0135881	0.00319876	0.0532722	0.0406707	0.0447002	0.0231497	0.0167859	0.015403	0.0426275	0.0264567	0.00945517	0.00872351	0.0498431	0.00426677	0.0226418	0.018261	0.0211797	0.0488725	0.00187232	-0.0062978	0.0134747	0.00891984	0.0162371	0.054352	0.0126931	-0.00493784	0.00806086	0.0169429	0.00843677	0.0109407	0.0386958	0.00685953	0.00799412	0.0101505	-0.00396878	0.0166234	0.0144075	0.0159638	0.0434241	0.012626	0.00777367	0.00805869	0.00159544	-0.00746452	0.0138475	0.0115129	0.00979413	0.0312702	0.00989737	-0.00197262	0.00162338	-0.00675943	-0.00200265	-0.00494657	0.0796667	0.0737353	0.0579223	0.0747653	0.0467543	0.0294271	0.00961538	0.0424553	0.0821655	0.0339314	-0.00162886	-0.0187569	-0.00494422	-0.0373623	-0.0481253	-0.0742989	-0.0307044	0.00199106	-0.0393546	-0.0168629	-0.00224921	-0.031699	-0.0428268	-0.0779886	-0.02886	0.00483154	-0.0338136	0.0140311	-0.0175497	-0.0265748	-0.0557199	-0.0113342	0.0202858	-0.0157917	-0.030202	-0.0385086	-0.0652639	-0.0239405	0.00833034	-0.0323353	-0.012981	-0.0336794	0.00418994	0.0400334	-0.00364797	-0.0227513	0.0157626	0.0473286	0.00697256	0.0478036	0.0733914	0.0374359	0.0299539	-0.00634921	-0.0367278
1	3.64675	-1.45958	1.86303	4433	0	443	4433	887	1330	1773	2217	2660	3103	3546	3990	0.0347069	73	0	443	4433	887	1330	1773	2217	2660	3103	3546	3990	1.5016	1.8568	1.8872	1.776	1.8136	1.6256	1.636	1.5064	1.6736	1.9128	1.6624	1.71382	2	0.2752	0.293073	0.29166	0.286739	0.288376	0.277547	0.2888	0.280667	0.305653	0.29262	0.292427	0.288433	0.294642	0.0167856	0.0181735	-0.0011514	0.00780471	0.0306888	0.0371098	0.0313882	0.0187926	0.0176323	0.0154267	0.0323719	0.0169953	0.0199082	0.0219976	0.0280943	0.0143848	0.0241777	0.0237798	0.0158943	0.0396881	0.0109993	0.0194829	0.0147702	0.00801839	0.00542202	0.0225599	0.0147432	0.0239518	0.0129605	0.0141148	0.0129115	0.00313211	0.0273167	0.0115716	0.00681199	0.0101243	-0.0139094	0.00824988	0.016258	0.0131294	0.0279343	0.0137581	0.00802493	0.0217579	0.00618071	-0.00317657	0.0220436	0.0134099	0.0125358	0.026695	0.0156346	0.0223815	0.0110708	0.00678913	-0.010422	0.0135202	0.0690553	0.0809333	0.0675912	0.0745614	0.0333333	0.0465278	0.00836431	0.0544568	0.0768398	0.0517573	0.0128449	-0.00777598	0.0008726	-0.0338802	-0.0299689	-0.0625895	-0.0266657	0.0101161	-0.0277031	-0.0179998	-0.0115693	-0.0484911	-0.0438808	-0.0751308	-0.0403215	-0.00309821	-0.0414368	0.00780662	-0.0294182	-0.0234819	-0.0550101	-0.0222502	0.0164745	-0.0196459	-0.033818	-0.0279167	-0.0647464	-0.0277778	0.00987351	-0.0278814	0.00742942	-0.0300112	0.0128205	0.0442206	0.00906863	-0.040492	0.00232775	0.0396955	0.00261531	0.0420011	0.0747384	0.0393056	0.0356872	-0.00249773	-0.0377038
2	3.21353	-1.71377	2.03032	1635	0	164	1635	327	491	654	818	981	1145	1308	1472	0.0193298	107	0	164	1635	327	491	654	818	981	1145	1308	1472	1.36	1.6736	1.6872	1.4976	1.5128	1.4016	1.4	1.3352	1.4424	1.692	1.4304	1.49389	2	0.195467	0.23178	0.224596	0.197115	0.190024	0.18672	0.181227	0.1852	0.195467	0.23066	0.189707	0.200724	0.228919	0.0877541	0.0546856	0.0333375	0.06543	0.154768	0.141643	0.138421	0.0718802	0.0868113	0.0745264	0.147187	0.0817559	0.0733396	0.0678137	0.152763	0.0530738	0.0813484	0.0813225	0.0710395	0.136914	0.0646334	0.0564395	0.0880051	0.0702472	0.0782664	0.144684	0.0895577	0.0904075	0.0748035	0.092541	0.07327	0.0719489	0.160118	0.0877885	0.0591685	0.0793396	0.0820117	0.069558	0.0899818	0.0845457	0.138413	0.0784484	0.0565066	0.0679439	0.054229	0.0404949	0.0644453	0.0540362	0.060241	0.131111	0.0595752	0.0547321	0.0701872	0.0615687	0.047439	0.0351836	0.0861936	0.0875138	0.0862355	0.0762579	0.0380435	0.0401476	0.011236	0.0439513	0.0850917	0.0542996	0.00838816	-0.0113776	-0.00988947	-0.0465235	-0.0438262	-0.0877747	-0.0426308	0.00247036	-0.0318159	-0.0110302	-0.0148277	-0.0480265	-0.0525374	-0.0898332	-0.0422869	0.00282302	-0.0283926	-0.00130208	-0.0393836	-0.0356615	-0.0882473	-0.0381708	0.0110543	-0.0224215	-0.0371901	-0.034334	-0.0769537	-0.0292982	0.0161097	-0.0165953	-0.00312256	-0.0359043	0.000403551	0.0452738	0.0199187	-0.0340314	0.00234742	0.0503758	0.0157385	0.0339662	0.0867552	0.0570629	0.0422827	0.0175038	-0.0269146
3	2.67856	-0.902562	3.40539	477	0	48	477	95	143	191	239	286	334	382	429	0.125152	2543	0	48	477	95	143	191	239	286	334	382	429	1.4712	1.7552	1.7816	1.5072	1.648	1.504	1.508	1.4208	1.5192	1.7488	1.5192	1.58029	2	0.2584	0.262767	0.260387	0.201455	0.232861	0.22752	0.2328	0.231067	0.232373	0.244024	0.23392	0.237961	0.263948	0.0957677	0.0319897	0.0196971	0.0309371	0.225826	0.195683	0.19387	0.0829218	0.0861808	0.0800896	0.20636	0.0864312	0.0751286	0.0824118	0.217066	0.020321	0.0745737	0.082689	0.0773887	0.217204	0.0408733	0.0247458	0.0757805	0.0670207	0.0637677	0.207122	0.0619115	0.0749408	0.0644221	0.0815527	0.0729114	0.0643634	0.207038	0.0623439	0.0637351	0.0706446	0.0198057	0.0899024	0.0862428	0.0814365	0.186947	0.0601426	0.0560165	0.0678195	0.0247307	0.0227856	0.0877621	0.0781424	0.076006	0.209842	0.0707169	0.0597356	0.0825441	0.0421227	0.03623	0.0194106	0.0691786	0.0818071	0.0206522	0.0812236	0.0235131	0.0320781	-0.00573394	0.0411565	0.0749802	0.0255349	0.0141989	-0.0439932	0.00773315	-0.0321438	-0.0307145	-0.0782098	-0.0222701	0.0115323	-0.032929	-0.0597857	-0.00577595	-0.0498179	-0.0469256	-0.0925926	-0.039657	-0.00467803	-0.0498392	0.051794	0.00892857	0.0209974	-0.0246454	0.0224968	0.0566061	0.013425	-0.0380208	-0.0369783	-0.0828738	-0.034202	0.00321697	-0.0418775	0.0036036	-0.0345188	0.00636132	0.0393798	-0.00631313	-0.0474465	0.00126502	0.0380594	-0.0106383	0.0492424	0.0775197	0.0453042	0.0284063	-0.00937689	-0.0374103
4	2.87807	-0.819833	1.73153	755	0	76	755	151	227	302	378	453	529	604	680	0.151414	54	0	76	755	151	227	302	378	453	529	604	680	1.424	1.7312	1.744	1.5264	1.5088	1.4032	1.404	1.3376	1.4312	1.6072	1.4224	1.50364	2	0.232267	0.240233	0.242044	0.213309	0.186545	0.180853	0.180907	0.186	0.189067	0.189881	0.188213	0.202665	0.224396	0.0794357	0.0294988	0.0193026	0.0226432	0.186107	0.185411	0.175346	0.0906645	0.063221	0.0619449	0.191741	0.0830088	0.04731	0.0448627	0.178364	0.0108483	0.0837132	0.0575037	0.0473662	0.19278	0.0349445	0.0286874	0.0787078	0.0382364	0.0323551	0.17675	0.0413693	0.0440098	0.0481707	0.0698939	0.0466733	0.0438676	0.175986	0.042671	0.040885	0.0531847	0.0101292	0.0853963	0.0693813	0.0596622	0.186359	0.0472127	0.0354429	0.0403354	0.0129389	0.0174636	0.0595261	0.0395157	0.0363273	0.172525	0.0256099	0.0184397	0.0389725	0.00806176	0.0022567	-0.00134642	0.0911268	0.0897933	0.0484973	0.0657895	0.0328704	0.0400815	0.00983607	0.0488029	0.0927419	0.0400095	0.00322363	-0.0245726	-0.0117959	-0.0435099	-0.0373899	-0.0666058	-0.0283367	0.0156521	-0.0319104	-0.0266906	-0.0124421	-0.0451034	-0.0372233	-0.0703524	-0.0334008	0.0115804	-0.0381802	0.0154004	-0.0227987	-0.00847124	-0.0444291	-0.000395883	0.0409062	-0.00569969	-0.0308266	-0.0287818	-0.0552785	-0.0232355	0.0231685	-0.0209205	0.00574713	-0.022899	0.0133495	0.0564074	0.00728155	-0.0398352	0.00486618	0.0489899	0.00240964	0.0313596	0.0839354	0.0373874	0.0458977	-0.000761035	-0.044497
5	2.83812	-0.444884	4.68707	689	0	69	689	138	207	276	345	413	482	551	620	0.359018	48649	0	69	689	138	207	276	345	413	482	551	620	1.5072	1.8464	1.8672	1.6504	1.7808	1.6288	1.6272	1.4896	1.628	1.8848	1.64	1.6864	2	0.276533	0.288807	0.294233	0.248655	0.281467	0.28048	0.27648	0.2692	0.27888	0.285247	0.284747	0.278612	0.293292	0.0464891	0.00800982	0.0117838	0.00928299	0.12556	0.0996261	0.112414	0.0490371	0.0344185	0.038005	0.0959049	0.0494307	0.0315841	0.0301822	0.104906	0.00786007	0.0624868	0.047766	0.0462014	0.1064	0.00922397	0.0127934	0.0600528	0.0383316	0.0403612	0.110304	0.029823	0.0354891	0.0559328	0.0653891	0.0421953	0.0421806	0.109125	0.0292126	0.0284391	0.0583572	0.0156386	0.0452662	0.0394098	0.043321	0.0914817	0.0218376	0.0282536	0.0363028	0.00850884	0.0128373	0.0451168	0.0325018	0.0311683	0.0930713	0.0280402	0.0280037	0.0304361	0.0128518	0.00364551	0.00453514	0.0850767	0.0864969	0.0627076	0.0857071	0.0509887	0.0555087	0.0115163	0.0554603	0.0990468	0.0629845	-0.00355741	-0.0322307	-0.00464989	-0.0399151	-0.0393166	-0.0829887	-0.0435654	0.0100555	-0.0323986	-0.0268693	-0.00297297	-0.0353662	-0.0361675	-0.0787313	-0.0411962	0.0105865	-0.0290069	0.0193413	-0.0141414	-0.012012	-0.053339	-0.00916422	0.0367012	-0.00503525	-0.0308761	-0.0286227	-0.0738059	-0.0289567	0.013218	-0.0250329	-0.00366569	-0.0400916	0.000248756	0.0464697	0.00317693	-0.041521	0.000252525	0.0478144	0.00844511	0.038526	0.0813102	0.0463119	0.0466425	0.00611845	-0.0372904
6	1.89348	-1.58382	2.14456	78	0	8	78	16	23	31	39	47	55	62	70	0.0260723	139	0	8	78	16	23	31	39	47	55	62	70	1.0656	1.196	1.2224	1.1096	1.156	1.0632	1.0392	1.0392	1.1112	1.2856	1.104	1.12655	2	0.0361333	0.0825133	0.0947294	0.0457212	0.0678545	0.02944	0.0181867	0.0212	0.0518933	0.119034	0.0478933	0.0558726	0.168607	0.588777	0.476656	0.359582	0.541114	0.717093	0.705465	0.668562	0.566861	0.628191	0.585143	0.729037	0.658935	0.604237	0.544154	0.763666	0.556088	0.658978	0.580115	0.515005	0.758511	0.575226	0.68685	0.502315	0.490957	0.414259	0.70616	0.520114	0.638598	0.643371	0.59318	0.603674	0.552127	0.744313	0.627463	0.682732	0.675956	0.501428	0.418196	0.562953	0.536666	0.624677	0.550442	0.495507	0.460374	0.326546	0.375562	0.54635	0.569912	0.51313	0.727771	0.595789	0.649617	0.634333	0.455846	0.533998	0.351396	0.0816327	0.037037	0.333333	0.25	-0.75	0	0.0115163	0.0554603	0.0990468	0.0629845	-0.00355741	-0.0322307	-0.00464989	-0.0399151	-0.0393166	-0.0829887	-0.0435654	0.0100555	-0.0323986	-0.0268693	-0.00297297	-0.0353662	-0.0361675	-0.0787313	-0.0411962	0.0105865	-0.0290069	0.0193413	-0.0141414	-0.012012	-0.053339	-0.00916422	0.0367012	-0.00503525	-0.0308761	-0.0286227	-0.0738059	-0.0289567	0.013218	-0.0250329	-0.00366569	-0.0400916	0.000248756	0.0464697	0.00317693	-0.041521	0.000252525	0.0478144	0.00844511	0.038526	0.0813102	0.0463119	0.0466425	0.00611845	-0.0372904
7	2.63415	-0.566153	2.40598	431	0	43	431	86	129	172	216	259	302	345	388	0.271549	255	0	43	431	86	129	172	216	259	302	345	388	1.4152	1.6808	1.6888	1.4008	1.3952	1.3064	1.3232	1.2712	1.3328	1.4904	1.3408	1.42233	2	0.228	0.226153	0.226761	0.17217	0.147224	0.137707	0.148427	0.149867	0.15312	0.162504	0.151307	0.173022	0.202863	0.121115	0.0219445	0.0131013	0.0243248	0.285474	0.261956	0.250893	0.140369	0.0908293	0.0855266	0.285259	0.135012	0.0867544	0.0772536	0.289969	0.0160813	0.111554	0.0675514	0.0683216	0.267708	0.0122318	0.0230653	0.0973085	0.0687848	0.0664733	0.274469	0.0662776	0.0676133	0.0604683	0.12499	0.075122	0.0760767	0.269968	0.08034	0.0956882	0.0657119	0.0409597	0.133381	0.102462	0.0997526	0.272245	0.0602733	0.065933	0.0452643	0.00323925	0.0232652	0.117645	0.0694977	0.0694155	0.275968	0.0511435	0.0784014	0.0588892	0.015321	0.0251067	0.00989251	0.0942045	0.0996732	0.016253	0.0734127	0.0575117	0.0377517	0.0111111	0.0409605	0.0812912	0.0418099	0.00814264	-0.0501566	-0.000821732	-0.0114526	-0.0287206	-0.0547118	-0.0231481	0.0156187	-0.0230293	-0.0626578	-0.00822326	-0.0283134	-0.0382128	-0.0675331	-0.0386606	0.00383665	-0.0393026	0.0533432	0.029195	0.0243506	0.00821168	0.022384	0.0669261	0.0201525	-0.0116279	-0.0293998	-0.0577325	-0.0258945	0.016224	-0.0200747	-0.0047081	-0.0386598	-0.0167206	0.0350604	-0.0115668	-0.0287068	0.00455927	0.0456865	0.00609756	0.0309446	0.0802594	0.0305643	0.0494813	0.0121382	-0.0434412
8	2.24522	-1.02148	4.54912	176	0	18	176	35	53	70	88	106	123	141	158	0.0951733	35409	0	18	176	35	53	70	88	106	123	141	158	1.4304	1.6408	1.6792	1.3552	1.5872	1.4568	1.4352	1.412	1.5336	1.7144	1.516	1.52371	2	0.235867	0.23934	0.237197	0.142291	0.223103	0.2144	0.199627	0.2276	0.24832	0.242306	0.235467	0.22232	0.282302	0.227579	0.0991475	0.0828926	0.104903	0.447536	0.399162	0.381734	0.191297	0.20579	0.190868	0.392113	0.229716	0.220309	0.208408	0.420819	0.0877413	0.243113	0.230308	0.23857	0.461	0.131165	0.140469	0.215527	0.208462	0.196041	0.428862	0.164502	0.185084	0.209735	0.186856	0.192778	0.195587	0.400353	0.156617	0.189538	0.186406	0.0732111	0.200041	0.213213	0.203353	0.353478	0.166194	0.185909	0.203509	0.10146	0.0649369	0.193744	0.198409	0.196208	0.411258	0.164493	0.178542	0.214192	0.119526	0.0942586	0.0871595	0.0751888	0.0752805	-0.0312768	0.10023	0.0336719	0.0200154	0.00923645	0.0724947	0.129086	0.0771062	0.012333	-0.127864	0.040625	-0.0290955	-0.0427267	-0.0482034	-0.00503256	0.0495821	0.0123055	-0.149219	0.0149105	-0.0577617	-0.0695244	-0.0786584	-0.0332956	0.0317758	-0.0174933	0.132196	0.0793651	0.0398914	0.0585292	0.109255	0.165894	0.112802	-0.0585366	-0.0750286	-0.0727273	-0.0341113	0.0276715	-0.0175993	-0.0197201	-0.00900383	0.0279525	0.0946772	0.0347503	0.0138889	0.0371528	0.0953036	0.0508591	0.018444	0.089075	0.0517182	0.0567795	0.0230496	-0.036874
9	2.15618	-1.08688	4.00271	143	0	14	143	29	43	57	72	86	100	114	129	0.0818687	10063	0	14	143	29	43	57	72	86	100	114	129	1.3352	1.5264	1.556	1.264	1.4736	1.3568	1.3456	1.2696	1.4032	1.5768	1.4024	1.40996	2	0.187067	0.200073	0.203686	0.109673	0.185224	0.164213	0.159467	0.148667	0.187787	0.204613	0.180373	0.175531	0.244812	0.276502	0.147412	0.0927622	0.14307	0.492803	0.433745	0.412495	0.254357	0.264871	0.244384	0.440116	0.285866	0.269521	0.250579	0.499999	0.13991	0.294323	0.271999	0.248768	0.483742	0.187438	0.181708	0.282621	0.269825	0.243667	0.495476	0.250614	0.291924	0.31808	0.234802	0.253922	0.229803	0.449452	0.247369	0.253112	0.258569	0.165259	0.229549	0.270696	0.240937	0.387039	0.243622	0.244169	0.244609	0.151852	0.113646	0.243274	0.25789	0.231971	0.436108	0.231436	0.250464	0.264769	0.190803	0.128409	0.116796	0.071643	0.0840263	-0.0612121	0.0726257	0.00494792	0.0199045	-0.00732601	0.0453394	0.103681	0.0462963	0.0167238	-0.125129	-0.00361111	-0.0683761	-0.0622824	-0.0830816	-0.0241707	0.0375198	-0.0293367	-0.155133	-0.019773	-0.0823659	-0.0834743	-0.107608	-0.0435835	0.0149719	-0.0429482	0.133982	0.06621	0.0541383	0.0578106	0.0978836	0.16917	0.0940514	-0.0571962	-0.0437365	-0.0910798	-0.0302846	0.0329721	-0.0283997	0.0123901	-0.0388532	0.0281625	0.0876862	0.0400188	-0.0359477	0.0380687	0.106874	0.0444126	0.0475225	0.114634	0.0582837	0.0638508	0.00771605	-0.0458891
